date,SOFR
2020-03-23,0.29498
2020-03-24,0.29498
2020-03-30,0.41297
2020-03-31,0.70796
2020-04-01,0.29498
2020-04-02,0.29498
2020-04-06,0.53097
2020-04-07,0.47197
2020-04-09,0.35398
2020-04-10,0.41297
2020-04-13,1.00294
2020-04-14,0.47197
2020-04-15,0.29498
2020-04-17,0.88495
2020-04-20,0.76696
2020-04-21,0.82595
2020-04-22,0.64896
2020-04-23,0.76696
2020-04-24,0.41297
2020-04-25,0.29498
2020-04-27,1.35693
2020-04-28,0.88495
2020-05-04,0.53097
2020-05-05,0.35398
2020-05-06,0.47197
2020-05-07,0.35398
2020-05-08,0.53097
2020-05-12,0.35398
2020-05-13,0.58997
2020-05-14,0.76696
2020-05-15,0.64896
2020-05-19,0.58997
2020-05-20,0.64896
2020-05-21,0.35398
2020-05-22,0.47197
2020-05-25,0.88495
2020-05-27,0.29498
2020-05-28,0.35398
2020-05-29,0.29498
2020-06-01,0.47197
2020-06-02,0.47197
2020-06-09,0.76696
2020-06-10,0.29498
2020-06-12,0.29498
2020-06-15,0.47197
2020-06-16,0.58997
2020-06-17,0.29498
2020-06-18,1.17994
2020-06-19,0.53097
2020-06-22,0.88495
2020-06-23,1.17994
2020-06-24,0.88495
2020-06-25,1.29793
2020-06-26,0.53097
2020-06-29,0.47197
2020-06-30,0.64896
2020-07-01,0.94395
2020-07-02,0.70796
2020-07-03,0.41297
2020-07-04,0.29498
2020-07-06,0.41297
2020-07-07,0.58997
2020-07-08,0.70796
2020-07-09,1.06194
2020-07-10,0.35398
2020-07-13,1.06194
2020-07-14,2.41887
2020-07-15,1.00294
2020-07-16,0.82595
2020-07-17,0.88495
2020-07-20,0.76696
2020-07-21,0.58997
2020-07-22,0.47197
2020-07-23,0.64896
2020-07-24,1.41592
2020-07-27,0.76696
2020-07-28,1.47492
2020-07-29,1.00294
2020-07-30,0.88495
2020-07-31,0.41297
2020-08-04,0.76696
2020-08-05,0.47197
2020-08-06,0.70796
2020-08-07,0.53097
2020-08-10,1.00294
2020-08-12,0.35398
2020-08-13,0.53097
2020-08-14,0.41297
2020-08-16,0.29498
2020-08-19,4.01179
2020-08-20,3.71681
2020-08-21,1.17994
2020-08-22,0.53097
2020-08-23,0.47197
2020-08-24,0.94395
2020-08-25,1.00294
2020-08-26,0.58997
2020-08-27,0.47197
2020-08-28,0.35398
2020-08-31,1.12094
2020-09-01,0.41297
2020-09-02,1.06194
2020-09-03,0.70796
2020-09-04,0.70796
2020-09-07,0.82595
2020-09-08,0.88495
2020-09-09,0.64896
2020-09-10,0.29498
2020-09-11,0.88495
2020-09-14,1.00294
2020-09-15,2.47787
2020-09-16,2.47787
2020-09-17,2.12389
2020-09-18,1.00294
2020-09-20,0.29498
2020-09-21,0.64896
2020-09-22,1.00294
2020-09-23,0.76696
2020-09-24,1.9469
2020-09-25,1.23893
2020-09-28,0.64896
2020-09-29,0.64896
2020-10-04,0.47197
2020-10-05,0.70796
2020-10-06,0.94395
2020-10-07,1.12094
2020-10-08,1.59292
2020-10-11,0.47197
2020-10-12,1.35693
2020-10-13,0.94395
2020-10-14,1.76991
2020-10-15,1.65191
2020-10-16,1.9469
