date,실시간미국선물지수
2020-03-20,66.65031
2020-03-21,18.7746
2020-03-22,11.62391
2020-03-23,100.0
2020-03-24,71.59861
2020-03-25,93.25208
2020-03-26,75.11651
2020-03-27,60.21998
2020-03-28,13.52035
2020-03-29,8.25705
2020-03-30,60.47688
2020-03-31,46.87391
2020-04-01,58.67985
2020-04-02,63.22536
2020-04-03,48.02545
2020-04-04,9.23432
2020-04-05,5.2194
2020-04-06,42.59433
2020-04-07,50.94821
2020-04-08,49.67661
2020-04-09,44.12672
2020-04-10,24.97256
2020-04-11,3.86
2020-04-12,3.82515
2020-04-13,41.9837
2020-04-14,27.71846
2020-04-15,24.49878
2020-04-16,34.62516
2020-04-17,27.71717
2020-04-18,5.98752
2020-04-19,3.48175
2020-04-20,38.10304
2020-04-21,41.68936
2020-04-22,41.53444
2020-04-23,35.23708
2020-04-24,29.10109
2020-04-25,5.2052
2020-04-26,2.49157
2020-04-27,32.21879
2020-04-28,25.7536
2020-04-29,19.52982
2020-04-30,13.84955
2020-05-01,18.60549
2020-05-02,5.65445
2020-05-03,2.84401
2020-05-04,27.9418
2020-05-05,19.05862
2020-05-06,24.86283
2020-05-07,21.24811
2020-05-08,15.88541
2020-05-09,3.68314
2020-05-10,1.82672
2020-05-11,20.42188
2020-05-12,19.34909
2020-05-13,20.62586
2020-05-14,24.9248
2020-05-15,17.76248
2020-05-16,3.39654
2020-05-17,1.41103
2020-05-18,15.9293
2020-05-19,18.61452
2020-05-20,16.37856
2020-05-21,15.23734
2020-05-22,15.26832
2020-05-23,2.50061
2020-05-24,1.0857
2020-05-25,10.84158
2020-05-26,11.62133
2020-05-27,12.23325
2020-05-28,13.46613
2020-05-29,11.0249
2020-05-30,2.34827
2020-05-31,1.0005
2020-06-01,12.41915
2020-06-02,11.30891
2020-06-03,9.84753
2020-06-04,11.02748
2020-06-05,8.64951
2020-06-06,1.87836
2020-06-07,0.88947
2020-06-08,10.86869
2020-06-09,12.29521
2020-06-10,10.99262
2020-06-11,15.41033
2020-06-12,27.88887
2020-06-13,3.41074
2020-06-14,1.45234
2020-06-15,33.69437
2020-06-16,24.88994
2020-06-17,21.53987
2020-06-18,19.94552
2020-06-19,14.43952
2020-06-20,3.12802
2020-06-21,1.40715
2020-06-22,16.20944
2020-06-23,17.07956
2020-06-24,18.17301
2020-06-25,29.14369
2020-06-26,16.38372
2020-06-27,4.03557
2020-06-28,1.95065
2020-06-29,30.90458
2020-06-30,21.75933
2020-07-01,21.9349
2020-07-02,16.45085
2020-07-03,13.29443
2020-07-04,2.82593
2020-07-05,1.35552
2020-07-06,13.60426
2020-07-07,16.86267
2020-07-08,16.03387
2020-07-09,13.83922
2020-07-10,13.95024
2020-07-11,2.35215
2020-07-12,1.01083
2020-07-13,11.71557
2020-07-14,17.76765
2020-07-15,14.26266
2020-07-16,17.61531
2020-07-17,13.13306
2020-07-18,2.27727
2020-07-19,0.88431
2020-07-20,13.38738
2020-07-21,11.43543
2020-07-22,13.89602
2020-07-23,12.78707
2020-07-24,15.59752
2020-07-25,3.3023
2020-07-26,1.04439
2020-07-27,11.75172
2020-07-28,11.5826
2020-07-29,12.58568
2020-07-30,14.88103
2020-07-31,11.78141
2020-08-01,2.05651
2020-08-02,0.67517
2020-08-03,8.86897
2020-08-04,9.72747
2020-08-05,9.44862
2020-08-06,9.9663
2020-08-07,9.21625
2020-08-08,1.85641
2020-08-09,0.71003
2020-08-10,9.295
2020-08-11,9.56352
2020-08-12,11.97247
2020-08-13,9.94952
2020-08-14,9.59321
2020-08-15,1.61629
2020-08-16,0.61966
2020-08-17,8.09826
2020-08-18,12.2539
2020-08-19,10.27097
2020-08-20,15.88283
2020-08-21,9.72231
2020-08-22,1.76088
2020-08-23,0.6997
2020-08-24,8.98
2020-08-25,9.92757
2020-08-26,10.1522
2020-08-27,10.31099
2020-08-28,7.97691
2020-08-29,1.38004
2020-08-30,0.45958
2020-08-31,8.28158
2020-09-01,8.71664
2020-09-02,7.72001
2020-09-03,9.62161
2020-09-04,22.8799
2020-09-05,3.86
2020-09-06,1.12056
2020-09-07,11.99442
2020-09-08,21.70382
2020-09-09,25.42053
2020-09-10,19.94035
2020-09-11,16.45085
2020-09-12,2.78591
2020-09-13,1.01212
2020-09-14,12.60892
2020-09-15,12.6257
2020-09-16,13.47258
2020-09-17,21.61603
2020-09-18,15.48004
2020-09-19,2.80657
2020-09-20,1.05988
2020-09-21,27.38023
2020-09-22,32.83846
2020-09-23,22.68883
2020-09-24,37.47563
2020-09-25,21.79419
2020-09-26,3.22613
2020-09-27,1.03019
2020-09-28,15.06822
2020-09-29,11.85757
2020-09-30,8.73988
2020-10-01,8.05566
2020-10-02,27.53643
2020-10-03,5.9488
2020-10-04,2.31084
2020-10-05,16.86138
2020-10-06,17.71472
2020-10-07,17.63468
2020-10-08,11.48061
2020-10-09,7.61544
2020-10-10,1.93516
2020-10-11,0.87786
2020-10-12,12.51339
2020-10-13,14.68868
2020-10-14,15.83764
2020-10-15,23.21038
2020-10-16,18.06844
2020-10-17,2.74977
2020-10-18,1.03665
2020-10-19,15.62463
2020-10-20,18.05424
2020-10-21,17.84123
2020-10-22,19.64988
2020-10-23,12.24487
2020-10-24,2.21918
2020-10-25,0.78491
2020-10-26,17.80637
2020-10-27,19.24452
2020-10-28,26.21835
2020-10-29,28.92423
2020-10-30,26.12927
2020-10-31,4.31572
2020-11-01,1.93258
2020-11-02,22.86957
2020-11-03,18.54352
2020-11-04,29.13466
2020-11-05,25.14813
2020-11-06,21.05446
2020-11-07,3.42494
2020-11-08,1.75184
2020-11-09,21.60829
2020-11-10,24.48974
2020-11-11,19.819
2020-11-12,19.18255
2020-11-13,15.39097
2020-11-14,2.48641
2020-11-15,1.05472
2020-11-16,14.73386
2020-11-17,16.25463
2020-11-18,15.83119
2020-11-19,16.82395
2020-11-20,12.54825
2020-11-21,2.46188
2020-11-22,1.0289
2020-11-23,12.0538
2020-11-24,12.4256
2020-11-25,15.16246
2020-11-26,11.64715
2020-11-27,8.79797
2020-11-28,1.87707
2020-11-29,0.79782
2020-11-30,12.97168
2020-12-01,11.85112
2020-12-02,12.06284
2020-12-03,11.41348
2020-12-04,8.67275
2020-12-05,1.77895
2020-12-06,0.7436
2020-12-07,10.76799
2020-12-08,12.71478
2020-12-09,10.7964
2020-12-10,13.8702
2020-12-11,10.58339
2020-12-12,2.27856
2020-12-13,0.94111
2020-12-14,10.71506
2020-12-15,11.33344
2020-12-16,10.46203
2020-12-17,10.2374
2020-12-18,8.63789
2020-12-19,2.15334
2020-12-20,0.75263
2020-12-21,19.83578
2020-12-22,20.65813
2020-12-23,13.97219
2020-12-24,8.75279
2020-12-25,2.13914
2020-12-26,0.70099
2020-12-27,0.76167
2020-12-28,8.46877
2020-12-29,8.67404
2020-12-30,7.61028
2020-12-31,3.59923
2021-01-01,1.52851
2021-01-02,0.60933
2021-01-03,0.72423
2021-01-04,8.72439
2021-01-05,14.05094
2021-01-06,22.5649
2021-01-07,14.70417
2021-01-08,9.90433
2021-01-09,2.32891
2021-01-10,0.9863
2021-01-11,16.01709
2021-01-12,17.24609
2021-01-13,14.19682
2021-01-14,12.769
2021-01-15,13.42998
2021-01-16,3.11898
2021-01-17,1.23287
2021-01-18,13.95799
2021-01-19,13.69979
2021-01-20,12.27198
2021-01-21,12.19839
2021-01-22,12.05251
2021-01-23,2.54967
2021-01-24,1.03406
2021-01-25,11.47028
2021-01-26,17.01759
2021-01-27,17.44232
2021-01-28,36.16013
2021-01-29,29.79563
2021-01-30,6.05336
2021-01-31,3.08155
2021-02-01,27.90565
2021-02-02,20.12883
2021-02-03,18.89466
2021-02-04,20.31473
2021-02-05,13.1834
2021-02-06,2.52901
2021-02-07,0.93595
2021-02-08,12.88906
2021-02-09,13.20664
2021-02-10,8.93223
2021-02-11,5.57183
2021-02-12,6.43033
2021-02-13,2.09653
2021-02-14,0.96952
2021-02-15,8.67662
2021-02-16,12.44368
2021-02-17,14.15551
2021-02-18,17.4733
2021-02-19,14.44985
2021-02-20,2.70458
2021-02-21,1.12185
2021-02-22,22.14146
2021-02-23,29.62135
2021-02-24,33.0321
2021-02-25,23.76421
2021-02-26,35.01374
2021-02-27,5.49695
2021-02-28,2.00875
2021-03-01,21.1203
2021-03-02,32.04193
2021-03-03,25.54963
2021-03-04,35.75863
2021-03-05,32.83458
2021-03-06,5.70609
2021-03-07,2.13397
2021-03-08,38.49033
2021-03-09,36.77076
2021-03-10,34.98534
2021-03-11,25.98985
2021-03-12,28.61439
2021-03-13,5.48663
2021-03-14,2.36118
2021-03-15,25.35856
2021-03-16,22.34285
2021-03-17,25.65549
2021-03-18,27.96116
2021-03-19,26.25192
2021-03-20,3.91293
2021-03-21,1.95324
2021-03-22,23.72161
2021-03-23,24.94416
2021-03-24,25.63741
2021-03-25,25.14555
2021-03-26,17.05761
2021-03-27,3.12802
2021-03-28,1.39941
2021-03-29,22.28734
2021-03-30,19.19417
2021-03-31,19.47947
2021-04-01,17.13894
2021-04-02,12.57536
2021-04-03,2.50448
2021-04-04,1.24191
2021-04-05,14.93396
2021-04-06,15.88412
2021-04-07,14.09999
2021-04-08,13.31896
2021-04-09,10.89451
2021-04-10,1.87061
2021-04-11,0.75521
2021-04-12,12.0835
2021-04-13,12.80902
2021-04-14,12.14417
2021-04-15,12.3546
2021-04-16,10.46074
2021-04-17,1.71957
2021-04-18,0.82751
2021-04-19,11.84208
2021-04-20,13.89602
2021-04-21,19.37103
2021-04-22,14.9714
2021-04-23,13.28797
2021-04-24,2.15979
2021-04-25,0.85204
2021-04-26,11.95956
2021-04-27,12.21905
2021-04-28,14.16971
2021-04-29,15.78084
2021-04-30,11.00037
2021-05-01,1.86287
2021-05-02,0.77845
2021-05-03,11.06492
2021-05-04,9.7378
2021-05-05,11.48061
2021-05-06,12.55728
2021-05-07,9.05875
2021-05-08,1.79057
2021-05-09,0.78878
2021-05-10,10.60662
2021-05-11,22.1505
2021-05-12,26.08022
2021-05-13,36.01425
2021-05-14,16.52057
2021-05-15,2.54321
2021-05-16,1.24966
2021-05-17,19.23161
2021-05-18,12.454
2021-05-19,16.31401
2021-05-20,20.96022
2021-05-21,13.81082
2021-05-22,2.8737
2021-05-23,1.60726
2021-05-24,14.5996
2021-05-25,13.4984
2021-05-26,13.77854
2021-05-27,14.34915
2021-05-28,10.36908
2021-05-29,2.07975
2021-05-30,1.11669
2021-05-31,9.53382
2021-06-01,12.51726
2021-06-02,12.75867
2021-06-03,14.15421
2021-06-04,12.41269
2021-06-05,1.95711
2021-06-06,0.97339
2021-06-07,12.63087
2021-06-08,12.38429
2021-06-09,12.70187
2021-06-10,11.95182
2021-06-11,8.82637
2021-06-12,1.70537
2021-06-13,0.69712
2021-06-14,8.93094
2021-06-15,10.25031
2021-06-16,11.09977
2021-06-17,13.97993
2021-06-18,10.19609
2021-06-19,2.49544
2021-06-20,1.15025
2021-06-21,17.53398
2021-06-22,13.62362
2021-06-23,11.44705
2021-06-24,10.80156
2021-06-25,8.68049
2021-06-26,1.83834
2021-06-27,0.78878
2021-06-28,9.71069
2021-06-29,10.61308
2021-06-30,10.41298
2021-07-01,10.22966
2021-07-02,8.1783
2021-07-03,1.43039
2021-07-04,0.62612
2021-07-05,7.57155
2021-07-06,9.39698
2021-07-07,10.91904
2021-07-08,20.35734
2021-07-09,16.21719
2021-07-10,1.98938
2021-07-11,0.70357
2021-07-12,12.54308
2021-07-13,11.32311
2021-07-14,12.454
2021-07-15,12.05509
2021-07-16,11.18111
2021-07-17,1.99326
2021-07-18,0.80814
2021-07-19,18.90628
2021-07-20,22.49648
2021-07-21,17.21769
2021-07-22,13.27377
2021-07-23,9.46282
2021-07-24,1.5014
2021-07-25,0.56931
2021-07-26,14.4421
2021-07-27,13.10853
2021-07-28,15.3432
2021-07-29,11.50901
2021-07-30,14.36206
2021-07-31,2.1301
2021-08-01,0.7862
2021-08-02,11.23016
2021-08-03,12.01507
2021-08-04,11.58131
2021-08-05,10.77961
2021-08-06,8.27771
2021-08-07,1.38134
2021-08-08,0.53446
2021-08-09,10.48785
2021-08-10,10.80672
2021-08-11,11.40186
2021-08-12,10.4091
2021-08-13,8.91416
2021-08-14,1.42652
2021-08-15,0.48927
2021-08-16,8.74504
2021-08-17,13.61846
2021-08-18,11.98409
2021-08-19,21.75675
2021-08-20,15.15085
2021-08-21,1.90805
2021-08-22,0.74489
2021-08-23,12.18548
2021-08-24,11.76592
2021-08-25,11.72073
2021-08-26,11.29987
2021-08-27,10.13025
2021-08-28,1.53625
2021-08-29,0.49056
2021-08-30,9.12975
2021-08-31,9.86044
2021-09-01,9.68616
2021-09-02,9.63581
