date,데이터분석
2020-03-20,44.8387
2020-03-21,25.16129
2020-03-22,29.67741
2020-03-23,40.64516
2020-03-24,37.74193
2020-03-25,44.8387
2020-03-26,38.70967
2020-03-27,32.58064
2020-03-28,22.90322
2020-03-29,32.90322
2020-03-30,46.12903
2020-03-31,43.87096
2020-04-01,44.19354
2020-04-02,43.54838
2020-04-03,40.0
2020-04-04,33.87096
2020-04-05,25.16129
2020-04-06,34.8387
2020-04-07,53.87096
2020-04-08,42.58064
2020-04-09,46.12903
2020-04-10,42.58064
2020-04-11,26.12903
2020-04-12,30.64516
2020-04-13,46.77419
2020-04-14,51.6129
2020-04-15,30.32258
2020-04-16,46.77419
2020-04-17,43.54838
2020-04-18,24.8387
2020-04-19,29.67741
2020-04-20,45.16129
2020-04-21,39.03225
2020-04-22,49.67741
2020-04-23,38.38709
2020-04-24,36.12903
2020-04-25,23.2258
2020-04-26,22.58064
2020-04-27,35.48387
2020-04-28,39.35483
2020-04-29,39.35483
2020-04-30,22.58064
2020-05-01,27.41935
2020-05-02,26.77419
2020-05-03,24.51612
2020-05-04,29.67741
2020-05-05,26.77419
2020-05-06,43.2258
2020-05-07,51.6129
2020-05-08,38.06451
2020-05-09,21.93548
2020-05-10,22.58064
2020-05-11,50.0
2020-05-12,47.74193
2020-05-13,53.2258
2020-05-14,45.48387
2020-05-15,45.16129
2020-05-16,22.90322
2020-05-17,31.93548
2020-05-18,54.19354
2020-05-19,57.09677
2020-05-20,45.80645
2020-05-21,48.38709
2020-05-22,40.64516
2020-05-23,27.74193
2020-05-24,36.45161
2020-05-25,45.80645
2020-05-26,50.32258
2020-05-27,50.0
2020-05-28,46.45161
2020-05-29,44.51612
2020-05-30,22.90322
2020-05-31,28.70967
2020-06-01,40.32258
2020-06-02,49.35483
2020-06-03,56.45161
2020-06-04,53.2258
2020-06-05,38.70967
2020-06-06,25.48387
2020-06-07,34.51612
2020-06-08,53.2258
2020-06-09,56.45161
2020-06-10,52.25806
2020-06-11,49.35483
2020-06-12,46.12903
2020-06-13,30.0
2020-06-14,40.64516
2020-06-15,51.29032
2020-06-16,51.29032
2020-06-17,49.67741
2020-06-18,51.93548
2020-06-19,49.67741
2020-06-20,34.19354
2020-06-21,36.12903
2020-06-22,53.2258
2020-06-23,51.93548
2020-06-24,53.2258
2020-06-25,56.12903
2020-06-26,43.87096
2020-06-27,28.70967
2020-06-28,30.64516
2020-06-29,43.87096
2020-06-30,56.12903
2020-07-01,42.58064
2020-07-02,40.64516
2020-07-03,36.77419
2020-07-04,21.29032
2020-07-05,22.25806
2020-07-06,44.8387
2020-07-07,47.74193
2020-07-08,46.77419
2020-07-09,47.41935
2020-07-10,30.96774
2020-07-11,18.06451
2020-07-12,27.09677
2020-07-13,57.09677
2020-07-14,51.29032
2020-07-15,57.09677
2020-07-16,54.51612
2020-07-17,39.03225
2020-07-18,27.74193
2020-07-19,37.09677
2020-07-20,58.06451
2020-07-21,48.38709
2020-07-22,40.0
2020-07-23,49.67741
2020-07-24,41.29032
2020-07-25,31.93548
2020-07-26,32.25806
2020-07-27,49.35483
2020-07-28,52.25806
2020-07-29,52.58064
2020-07-30,52.25806
2020-07-31,46.77419
2020-08-01,24.8387
