date,전업투자자
2020-03-20,16.47286
2020-03-21,11.4341
2020-03-22,18.99224
2020-03-23,19.96124
2020-03-24,15.50387
2020-03-25,17.44186
2020-03-26,25.38759
2020-03-27,22.09302
2020-03-28,22.48062
2020-03-29,24.2248
2020-03-30,24.8062
2020-03-31,25.58139
2020-04-01,20.54263
2020-04-02,22.48062
2020-04-03,20.34883
2020-04-04,22.28682
2020-04-05,26.16279
2020-04-06,27.51937
2020-04-07,22.48062
2020-04-08,23.06201
2020-04-09,25.77519
2020-04-10,20.34883
2020-04-11,26.93798
2020-04-12,29.26356
2020-04-13,21.89922
2020-04-14,23.8372
2020-04-15,21.51162
2020-04-16,25.58139
2020-04-17,19.57364
2020-04-18,20.93023
2020-04-19,28.68217
2020-04-20,28.87596
2020-04-21,21.51162
2020-04-22,19.57364
2020-04-23,21.12403
2020-04-24,23.06201
2020-04-25,18.21705
2020-04-26,26.16279
2020-04-27,22.48062
2020-04-28,22.67441
2020-04-29,15.89147
2020-04-30,18.79844
2020-05-01,20.73643
2020-05-02,18.41085
2020-05-03,22.86821
2020-05-04,22.67441
2020-05-05,19.76744
2020-05-06,19.37984
2020-05-07,24.031
2020-05-08,17.05426
2020-05-09,16.47286
2020-05-10,23.25581
2020-05-11,25.58139
2020-05-12,22.48062
2020-05-13,25.38759
2020-05-14,23.64341
2020-05-15,14.34108
2020-05-16,20.54263
2020-05-17,21.70542
2020-05-18,19.76744
2020-05-19,17.82945
2020-05-20,18.60465
2020-05-21,25.38759
2020-05-22,20.73643
2020-05-23,15.31007
2020-05-24,21.89922
2020-05-25,25.19379
2020-05-26,26.55038
2020-05-27,21.51162
2020-05-28,20.54263
2020-05-29,18.99224
2020-05-30,18.79844
2020-05-31,28.68217
2020-06-01,23.64341
2020-06-02,26.35658
2020-06-03,19.18604
2020-06-04,22.86821
2020-06-05,20.73643
2020-06-06,28.10077
2020-06-07,25.19379
2020-06-08,21.89922
2020-06-09,23.25581
2020-06-10,22.67441
2020-06-11,17.82945
2020-06-12,15.69767
2020-06-13,22.28682
2020-06-14,23.64341
2020-06-15,19.18604
2020-06-16,18.21705
2020-06-17,20.15503
2020-06-18,20.73643
2020-06-19,16.08527
2020-06-20,19.57364
2020-06-21,19.76744
2020-06-22,20.93023
2020-06-23,20.93023
2020-06-24,20.15503
2020-06-25,25.0
2020-06-26,20.73643
2020-06-27,18.02325
2020-06-28,18.79844
2020-06-29,17.82945
2020-06-30,18.41085
2020-07-01,17.63565
2020-07-02,13.75968
2020-07-03,14.14728
2020-07-04,21.89922
2020-07-05,22.48062
2020-07-06,21.51162
2020-07-07,21.89922
2020-07-08,24.2248
2020-07-09,22.48062
2020-07-10,19.18604
2020-07-11,19.37984
2020-07-12,27.13178
2020-07-13,25.38759
2020-07-14,25.0
2020-07-15,22.67441
2020-07-16,19.18604
2020-07-17,19.37984
2020-07-18,20.54263
2020-07-19,23.8372
2020-07-20,29.26356
2020-07-21,21.31782
2020-07-22,20.73643
2020-07-23,26.35658
2020-07-24,18.79844
2020-07-25,21.31782
2020-07-26,19.76744
