date,신규상장주
2020-03-20,2.06477
2020-03-21,1.25506
2020-03-22,0.68825
2020-03-23,2.38866
2020-03-24,2.95546
2020-03-25,2.71255
2020-03-26,2.5506
2020-03-27,2.42914
2020-03-28,1.21457
2020-03-29,1.45748
2020-03-30,1.78137
2020-03-31,2.34817
2020-04-01,2.75303
2020-04-02,2.87449
2020-04-03,3.1174
2020-04-04,1.37651
2020-04-05,1.90283
2020-04-06,3.03643
2020-04-07,3.92712
2020-04-08,3.48178
2020-04-09,4.21052
2020-04-10,3.68421
2020-04-11,2.02429
2020-04-12,2.38866
2020-04-13,2.87449
2020-04-14,3.23886
2020-04-15,1.37651
2020-04-16,3.44129
2020-04-17,3.31983
2020-04-18,2.67206
2020-04-19,2.71255
2020-04-20,3.72469
2020-04-21,2.91497
2020-04-22,3.56275
2020-04-23,4.77732
2020-04-24,2.99595
2020-04-25,1.33603
2020-04-26,1.29554
2020-04-27,3.27935
2020-04-28,3.1174
2020-04-29,3.36032
2020-04-30,1.74089
2020-05-01,1.17408
2020-05-02,1.17408
2020-05-03,1.57894
2020-05-04,2.2672
2020-05-05,1.61943
2020-05-06,2.834
2020-05-07,2.30769
2020-05-08,2.5506
2020-05-09,1.65991
2020-05-10,1.37651
2020-05-11,2.59109
2020-05-12,2.91497
2020-05-13,3.1174
2020-05-14,2.75303
2020-05-15,2.14574
2020-05-16,1.17408
2020-05-17,0.80971
2020-05-18,2.67206
2020-05-19,3.19838
2020-05-20,7.04453
2020-05-21,7.61133
2020-05-22,12.834
2020-05-23,5.30364
2020-05-24,4.00809
2020-05-25,6.43724
2020-05-26,5.4251
2020-05-27,4.85829
2020-05-28,3.19838
2020-05-29,2.59109
2020-05-30,1.65991
2020-05-31,2.42914
2020-06-01,3.84615
2020-06-02,3.76518
2020-06-03,3.07692
2020-06-04,3.4008
2020-06-05,3.48178
2020-06-06,2.63157
2020-06-07,2.91497
2020-06-08,3.96761
2020-06-09,4.04858
2020-06-10,4.04858
2020-06-11,3.23886
2020-06-12,3.07692
2020-06-13,1.65991
2020-06-14,2.79352
2020-06-15,3.03643
2020-06-16,3.68421
2020-06-17,7.24696
2020-06-18,5.1417
2020-06-19,3.31983
2020-06-20,2.2672
2020-06-21,1.74089
2020-06-22,6.72064
2020-06-23,4.77732
2020-06-24,4.37246
2020-06-25,2.75303
2020-06-26,2.30769
2020-06-27,1.09311
2020-06-28,1.09311
2020-06-29,1.74089
2020-06-30,2.2672
2020-07-01,6.96356
2020-07-02,8.34008
2020-07-03,5.26315
2020-07-04,1.417
2020-07-05,1.09311
2020-07-06,3.44129
2020-07-07,2.34817
2020-07-08,1.61943
2020-07-09,2.67206
2020-07-10,1.61943
2020-07-11,0.68825
2020-07-12,1.17408
2020-07-13,4.29149
2020-07-14,3.03643
2020-07-15,4.53441
2020-07-16,5.7085
2020-07-17,2.87449
2020-07-18,1.05263
2020-07-19,0.48582
2020-07-20,2.06477
2020-07-21,2.2672
2020-07-22,4.12955
2020-07-23,3.68421
2020-07-24,2.30769
2020-07-25,0.40485
2020-07-26,0.68825
2020-07-27,2.22672
2020-07-28,1.57894
2020-07-29,2.38866
2020-07-30,2.99595
2020-07-31,4.29149
2020-08-01,0.89068
2020-08-02,0.80971
2020-08-03,1.57894
2020-08-04,2.14574
2020-08-05,2.67206
2020-08-06,2.63157
2020-08-07,2.42914
2020-08-08,1.01214
2020-08-09,0.8502
2020-08-10,2.30769
2020-08-11,1.65991
2020-08-12,2.34817
2020-08-13,1.90283
2020-08-14,1.29554
2020-08-15,0.5668
2020-08-16,0.52631
2020-08-17,0.60728
2020-08-18,1.45748
2020-08-19,0.93117
2020-08-20,0.97165
2020-08-21,2.02429
2020-08-22,0.8502
2020-08-23,0.93117
2020-08-24,3.64372
