date,부동산리츠
2020-03-20,21.8241
2020-03-21,15.96091
2020-03-22,11.72638
2020-03-23,18.24104
2020-03-24,16.28664
2020-03-25,19.8697
2020-03-26,20.19543
2020-03-27,24.7557
2020-03-28,13.35504
2020-03-29,13.02931
2020-03-30,19.21824
2020-03-31,21.17263
2020-04-01,15.96091
2020-04-02,10.74918
2020-04-03,13.35504
2020-04-04,3.90879
2020-04-05,10.74918
2020-04-06,12.70358
2020-04-07,16.28664
2020-04-08,18.8925
2020-04-09,19.21824
2020-04-10,12.05211
2020-04-11,10.42345
2020-04-12,14.33224
2020-04-13,14.98371
2020-04-14,18.56677
2020-04-15,14.98371
2020-04-16,28.66449
2020-04-17,25.73289
2020-04-18,12.05211
2020-04-19,22.8013
2020-04-20,21.49837
2020-04-21,18.56677
2020-04-22,19.8697
2020-04-23,21.8241
2020-04-24,22.47557
2020-04-25,12.70358
2020-04-26,11.40065
2020-04-27,19.54397
2020-04-28,24.10423
2020-04-29,17.9153
2020-04-30,8.14332
2020-05-01,14.65798
2020-05-02,4.88599
2020-05-03,19.54397
2020-05-04,87.62214
2020-05-05,26.05863
2020-05-06,25.73289
2020-05-07,16.93811
2020-05-08,19.8697
2020-05-09,8.14332
2020-05-10,14.00651
2020-05-11,44.6254
2020-05-12,17.26384
2020-05-13,18.24104
2020-05-14,16.93811
2020-05-15,16.61237
2020-05-16,8.79478
2020-05-17,43.6482
2020-05-18,42.99674
2020-05-19,33.87622
2020-05-20,26.05863
2020-05-21,28.33876
2020-05-22,24.42996
2020-05-23,14.65798
2020-05-24,17.9153
2020-05-25,23.45276
2020-05-26,27.03583
2020-05-27,22.47557
2020-05-28,23.12703
2020-05-29,19.21824
2020-05-30,12.70358
2020-05-31,15.63517
2020-06-01,17.9153
2020-06-02,21.49837
2020-06-03,36.15635
2020-06-04,31.59609
2020-06-05,22.14983
2020-06-06,16.93811
2020-06-07,19.21824
2020-06-08,29.96742
2020-06-09,24.42996
2020-06-10,26.05863
2020-06-11,22.8013
2020-06-12,24.7557
2020-06-13,10.74918
2020-06-14,17.9153
2020-06-15,18.8925
2020-06-16,19.21824
2020-06-17,18.8925
2020-06-18,23.7785
2020-06-19,24.10423
2020-06-20,9.12052
2020-06-21,11.07491
2020-06-22,25.73289
2020-06-23,21.8241
2020-06-24,14.00651
2020-06-25,17.26384
2020-06-26,13.02931
2020-06-27,10.74918
2020-06-28,14.98371
2020-06-29,27.36156
2020-06-30,17.9153
2020-07-01,26.05863
2020-07-02,26.38436
2020-07-03,22.14983
2020-07-04,13.68078
2020-07-05,17.26384
2020-07-06,25.08143
2020-07-07,25.40716
2020-07-08,25.40716
2020-07-09,23.45276
2020-07-10,20.52117
2020-07-11,14.00651
2020-07-12,23.7785
2020-07-13,30.94462
2020-07-14,30.29315
2020-07-15,22.47557
2020-07-16,31.92182
2020-07-17,29.96742
2020-07-18,19.21824
2020-07-19,37.78501
2020-07-20,34.20195
2020-07-21,35.50488
2020-07-22,32.57328
2020-07-23,25.73289
2020-07-24,20.52117
2020-07-25,16.28664
2020-07-26,14.98371
2020-07-27,32.24755
2020-07-28,27.68729
2020-07-29,23.45276
2020-07-30,27.36156
2020-07-31,25.73289
2020-08-01,38.76221
2020-08-02,18.24104
2020-08-03,33.87622
2020-08-04,32.24755
2020-08-05,25.73289
2020-08-06,28.33876
2020-08-07,19.8697
2020-08-08,18.24104
2020-08-09,36.48208
2020-08-10,34.20195
2020-08-11,28.33876
2020-08-12,26.05863
2020-08-13,21.8241
2020-08-14,25.08143
2020-08-15,14.33224
2020-08-16,11.72638
2020-08-17,22.8013
2020-08-18,19.8697
2020-08-19,21.17263
2020-08-20,20.52117
2020-08-21,16.93811
2020-08-22,11.72638
2020-08-23,9.77198
2020-08-24,29.64169
2020-08-25,25.40716
2020-08-26,19.21824
2020-08-27,20.19543
2020-08-28,23.12703
2020-08-29,15.96091
2020-08-30,11.72638
2020-08-31,27.68729
2020-09-01,23.7785
2020-09-02,26.05863
2020-09-03,24.10423
2020-09-04,15.63517
2020-09-05,18.8925
2020-09-06,11.72638
2020-09-07,18.8925
2020-09-08,18.56677
2020-09-09,16.93811
2020-09-10,18.24104
2020-09-11,17.58957
2020-09-12,17.58957
2020-09-13,14.98371
2020-09-14,17.26384
2020-09-15,20.52117
2020-09-16,16.28664
2020-09-17,16.93811
2020-09-18,25.40716
2020-09-19,12.37785
2020-09-20,11.72638
2020-09-21,16.28664
2020-09-22,21.8241
2020-09-23,19.21824
2020-09-24,13.35504
2020-09-25,12.05211
2020-09-26,8.14332
2020-09-27,9.77198
2020-09-28,13.68078
2020-09-29,9.12052
2020-09-30,9.44625
2020-10-01,7.49185
2020-10-02,10.42345
2020-10-03,6.18892
2020-10-04,10.09771
2020-10-05,16.28664
2020-10-06,18.56677
2020-10-07,20.19543
2020-10-08,9.77198
2020-10-09,10.09771
2020-10-10,9.44625
2020-10-11,13.68078
2020-10-12,17.9153
2020-10-13,14.33224
2020-10-14,33.22475
2020-10-15,20.8469
2020-10-16,14.65798
2020-10-17,7.49185
2020-10-18,12.05211
2020-10-19,18.24104
2020-10-20,18.24104
2020-10-21,26.71009
2020-10-22,17.26384
2020-10-23,13.02931
2020-10-24,8.14332
2020-10-25,7.49185
2020-10-26,16.28664
2020-10-27,15.63517
2020-10-28,19.54397
2020-10-29,13.35504
2020-10-30,12.05211
2020-10-31,8.14332
2020-11-01,6.18892
2020-11-02,14.98371
2020-11-03,11.40065
2020-11-04,11.72638
2020-11-05,13.02931
2020-11-06,12.37785
2020-11-07,3.90879
2020-11-08,12.05211
2020-11-09,16.61237
2020-11-10,15.63517
2020-11-11,18.24104
2020-11-12,15.30944
2020-11-13,21.17263
2020-11-14,7.49185
2020-11-15,5.21172
2020-11-16,16.28664
2020-11-17,19.21824
2020-11-18,26.71009
2020-11-19,16.28664
2020-11-20,16.28664
2020-11-21,12.37785
2020-11-22,13.02931
2020-11-23,15.96091
2020-11-24,18.8925
2020-11-25,17.58957
2020-11-26,19.21824
2020-11-27,20.19543
2020-11-28,18.8925
2020-11-29,17.58957
2020-11-30,24.42996
2020-12-01,29.31596
