date,CMARP
2020-03-20,9.35524
2020-03-21,4.5512
2020-03-22,4.04551
2020-03-23,13.71681
2020-03-24,9.73451
2020-03-25,10.68268
2020-03-26,11.63084
2020-03-27,10.87231
2020-03-28,4.17193
2020-03-29,4.42477
2020-03-30,9.98735
2020-03-31,9.22882
2020-04-01,7.07964
2020-04-02,7.45891
2020-04-03,5.94184
2020-04-04,2.40202
2020-04-05,2.08596
2020-04-06,5.62579
2020-04-07,6.13147
2020-04-08,5.49936
2020-04-09,5.94184
2020-04-10,5.1201
2020-04-11,2.14917
2020-04-12,2.78128
2020-04-13,5.1201
2020-04-14,5.1201
2020-04-15,2.02275
2020-04-16,5.1201
2020-04-17,4.17193
2020-04-18,1.58027
2020-04-19,1.95954
2020-04-20,5.81542
2020-04-21,5.18331
2020-04-22,4.86725
2020-04-23,5.18331
2020-04-24,5.18331
2020-04-25,2.21238
2020-04-26,1.51706
2020-04-27,5.43615
2020-04-28,2.65486
2020-04-29,3.79266
2020-04-30,1.64348
2020-05-01,0.75853
2020-05-02,0.63211
2020-05-03,0.88495
2020-05-04,4.86725
2020-05-05,2.46523
2020-05-06,3.66624
2020-05-07,3.66624
2020-05-08,3.72945
2020-05-09,1.26422
2020-05-10,1.20101
2020-05-11,3.9823
2020-05-12,3.35018
2020-05-13,3.85587
2020-05-14,2.8445
2020-05-15,2.33881
2020-05-16,1.39064
2020-05-17,1.01137
2020-05-18,3.03413
2020-05-19,4.5512
2020-05-20,3.91908
2020-05-21,4.93046
2020-05-22,4.80404
2020-05-23,2.40202
2020-05-24,2.14917
2020-05-25,5.56257
2020-05-26,5.49936
2020-05-27,4.61441
2020-05-28,4.29835
2020-05-29,5.56257
2020-05-30,2.02275
2020-05-31,1.51706
2020-06-01,4.5512
2020-06-02,4.67762
2020-06-03,4.61441
2020-06-04,4.5512
2020-06-05,4.74083
2020-06-06,2.33881
2020-06-07,1.83312
2020-06-08,7.52212
2020-06-09,7.9646
2020-06-10,6.06826
2020-06-11,4.93046
2020-06-12,4.61441
2020-06-13,1.7067
2020-06-14,2.33881
2020-06-15,3.35018
2020-06-16,4.74083
2020-06-17,5.43615
2020-06-18,4.29835
2020-06-19,2.59165
2020-06-20,2.08596
2020-06-21,3.35018
2020-06-22,4.67762
2020-06-23,2.71807
2020-06-24,4.36156
2020-06-25,3.28697
2020-06-26,3.16055
2020-06-27,1.76991
2020-06-28,2.33881
2020-06-29,2.8445
