date,사모펀드
2020-03-20,2.57609
2020-03-21,2.16893
2020-03-22,1.58363
2020-03-23,1.75589
2020-03-24,2.09454
2020-03-25,1.89683
2020-03-26,1.77155
2020-03-27,2.11412
2020-03-28,1.39179
2020-03-29,1.07859
2020-03-30,1.47597
2020-03-31,1.62082
2020-04-01,2.34511
2020-04-02,1.88117
2020-04-03,1.53078
2020-04-04,1.09621
2020-04-05,0.99442
2020-04-06,1.71283
2020-04-07,1.61104
2020-04-08,1.64627
2020-04-09,2.59958
2020-04-10,2.49388
2020-04-11,1.33502
2020-04-12,1.40158
2020-04-13,1.83811
2020-04-14,1.84985
2020-04-15,1.11578
2020-04-16,1.59342
2020-04-17,1.59342
2020-04-18,1.48771
2020-04-19,1.51512
2020-04-20,1.68542
2020-04-21,2.02211
2020-04-22,1.83224
2020-04-23,2.85406
2020-04-24,3.52158
2020-04-25,2.0045
2020-04-26,4.0227
2020-04-27,3.96789
2020-04-28,2.97934
2020-04-29,25.83732
2020-04-30,1.25085
2020-05-01,1.08838
2020-05-02,0.78692
2020-05-03,1.15689
2020-05-04,1.57776
2020-05-05,1.48184
2020-05-06,1.62278
2020-05-07,1.48184
2020-05-08,1.42899
2020-05-09,1.44465
2020-05-10,1.11774
2020-05-11,1.68934
2020-05-12,1.51903
2020-05-13,1.47792
2020-05-14,2.11803
2020-05-15,1.75589
2020-05-16,0.85543
2020-05-17,0.85543
2020-05-18,1.32915
2020-05-19,1.44073
2020-05-20,1.60125
2020-05-21,1.30566
2020-05-22,1.4466
2020-05-23,0.88871
2020-05-24,0.95918
2020-05-25,1.33894
2020-05-26,1.90858
2020-05-27,1.64823
2020-05-28,1.54644
2020-05-29,1.24889
2020-05-30,1.48771
2020-05-31,1.39962
2020-06-01,1.83811
2020-06-02,2.03778
2020-06-03,1.76176
2020-06-04,2.67005
2020-06-05,1.90858
2020-06-06,1.09621
2020-06-07,0.96897
2020-06-08,1.4466
2020-06-09,1.49358
2020-06-10,1.53078
2020-06-11,1.7324
2020-06-12,1.47792
2020-06-13,2.53303
2020-06-14,0.85543
2020-06-15,1.14515
2020-06-16,1.31153
2020-06-17,1.72849
2020-06-18,2.01233
2020-06-19,3.2534
2020-06-20,1.93403
2020-06-21,0.9905
2020-06-22,1.83615
2020-06-23,2.75423
2020-06-24,4.68043
2020-06-25,4.31633
2020-06-26,3.86806
2020-06-27,1.81266
2020-06-28,2.2394
2020-06-29,5.3636
2020-06-30,12.86287
2020-07-01,5.28726
2020-07-02,4.6589
2020-07-03,4.95253
2020-07-04,3.20642
2020-07-05,2.61524
2020-07-06,5.30488
2020-07-07,4.14211
2020-07-08,3.59009
2020-07-09,2.93824
2020-07-10,2.01037
2020-07-11,1.14123
2020-07-12,1.14123
2020-07-13,2.06518
2020-07-14,3.15161
2020-07-15,2.1611
2020-07-16,2.42536
2020-07-17,2.63482
2020-07-18,1.0825
2020-07-19,5.71792
2020-07-20,6.84936
2020-07-21,6.6125
2020-07-22,5.04453
2020-07-23,15.13947
2020-07-24,3.86219
2020-07-25,1.3037
2020-07-26,1.47597
2020-07-27,2.30204
2020-07-28,2.25898
2020-07-29,5.25986
2020-07-30,1.90271
2020-07-31,2.13369
2020-08-01,4.42204
2020-08-02,1.34873
2020-08-03,2.29225
2020-08-04,1.98101
2020-08-05,2.0965
2020-08-06,1.69717
2020-08-07,1.74415
2020-08-08,1.02574
2020-08-09,4.27914
2020-08-10,1.99275
2020-08-11,1.94773
2020-08-12,1.77351
2020-08-13,1.64431
2020-08-14,2.14544
2020-08-15,0.96701
2020-08-16,0.73994
2020-08-17,1.03357
2020-08-18,1.49554
2020-08-19,1.81658
2020-08-20,1.56405
2020-08-21,1.3683
2020-08-22,1.03357
2020-08-23,1.38788
2020-08-24,1.86551
2020-08-25,3.29842
2020-08-26,3.66448
2020-08-27,1.9673
2020-08-28,1.54839
2020-08-29,1.38592
2020-08-30,1.71283
2020-08-31,2.08476
2020-09-01,1.60712
2020-09-02,1.69717
2020-09-03,2.0828
2020-09-04,2.11999
2020-09-05,1.1471
2020-09-06,1.12557
2020-09-07,2.4097
2020-09-08,2.49584
2020-09-09,1.92032
2020-09-10,1.91249
2020-09-11,1.80483
2020-09-12,1.16276
2020-09-13,3.35519
2020-09-14,1.86551
2020-09-15,2.29813
2020-09-16,1.88313
2020-09-17,2.02799
2020-09-18,2.396
