date,재테크
2020-03-20,70.1447
2020-03-21,57.42574
2020-03-22,57.95887
2020-03-23,74.1051
2020-03-24,69.1546
2020-03-25,70.03046
2020-03-26,72.96268
2020-03-27,65.76542
2020-03-28,51.71363
2020-03-29,55.67402
2020-03-30,65.8035
2020-03-31,65.46077
2020-04-01,68.46915
2020-04-02,63.89946
2020-04-03,55.67402
2020-04-04,49.42878
2020-04-05,51.94211
2020-04-06,65.65118
2020-04-07,70.44935
2020-04-08,64.39451
2020-04-09,58.26351
2020-04-10,58.492
2020-04-11,44.02132
2020-04-12,55.5217
2020-04-13,63.89946
2020-04-14,59.90099
2020-04-15,63.29017
2020-04-16,65.23229
2020-04-17,64.69916
2020-04-18,49.84767
2020-04-19,53.38918
2020-04-20,63.6329
2020-04-21,71.24904
2020-04-22,63.8233
2020-04-23,64.96572
2020-04-24,52.32292
2020-04-25,43.79284
2020-04-26,45.2399
2020-04-27,56.13099
2020-04-28,54.56968
2020-04-29,50.53313
2020-04-30,47.10586
2020-05-01,43.75476
2020-05-02,47.18202
2020-05-03,46.0396
2020-05-04,53.3511
2020-05-05,54.60776
2020-05-06,58.79664
2020-05-07,49.69535
2020-05-08,46.23
2020-05-09,40.97486
2020-05-10,44.2498
2020-05-11,54.07463
2020-05-12,58.33968
2020-05-13,53.1607
2020-05-14,43.98324
2020-05-15,37.81416
2020-05-16,32.17821
2020-05-17,34.69154
2020-05-18,52.51332
2020-05-19,51.29474
2020-05-20,54.56968
2020-05-21,57.84463
2020-05-22,53.76999
2020-05-23,50.26656
2020-05-24,57.00685
2020-05-25,66.14623
2020-05-26,64.66108
2020-05-27,60.51028
2020-05-28,55.14089
2020-05-29,51.33282
2020-05-30,46.30616
2020-05-31,55.75019
2020-06-01,59.13937
2020-06-02,63.29017
2020-06-03,64.66108
2020-06-04,66.22239
2020-06-05,59.6725
2020-06-06,43.869
2020-06-07,48.55293
2020-06-08,70.37319
2020-06-09,66.56511
2020-06-10,63.32825
2020-06-11,59.55826
2020-06-12,54.03655
2020-06-13,41.24143
2020-06-14,53.08453
2020-06-15,61.91926
2020-06-16,57.27341
2020-06-17,58.64432
2020-06-18,51.86595
2020-06-19,46.19192
2020-06-20,38.38537
2020-06-21,45.54455
2020-06-22,57.23533
2020-06-23,58.79664
2020-06-24,61.00533
2020-06-25,56.7022
2020-06-26,48.55293
2020-06-27,37.12871
2020-06-28,44.82102
2020-06-29,53.04645
2020-06-30,56.43564
2020-07-01,48.47677
2020-07-02,53.12261
2020-07-03,47.98172
2020-07-04,38.84234
2020-07-05,60.62452
2020-07-06,63.09977
2020-07-07,63.21401
2020-07-08,60.16755
2020-07-09,56.35948
2020-07-10,48.47677
2020-07-11,39.68012
2020-07-12,48.62909
2020-07-13,62.07159
2020-07-14,61.34805
2020-07-15,61.80502
2020-07-16,51.5613
2020-07-17,47.90555
2020-07-18,39.10891
2020-07-19,44.51637
2020-07-20,55.63594
2020-07-21,59.97715
2020-07-22,61.34805
2020-07-23,64.623
2020-07-24,54.49352
2020-07-25,44.89718
2020-07-26,50.95201
2020-07-27,68.01218
2020-07-28,67.25057
2020-07-29,62.10967
2020-07-30,53.76999
2020-07-31,50.26656
2020-08-01,40.51789
2020-08-02,48.51485
2020-08-03,54.41736
2020-08-04,58.60624
2020-08-05,56.7022
2020-08-06,51.25666
2020-08-07,53.1607
2020-08-08,43.10738
2020-08-09,49.27646
2020-08-10,65.72734
2020-08-11,65.30845
2020-08-12,56.05483
2020-08-13,57.04493
2020-08-14,48.55293
2020-08-15,39.87052
2020-08-16,41.66031
2020-08-17,49.80959
2020-08-18,56.09291
2020-08-19,51.78979
2020-08-20,52.85605
2020-08-21,50.3808
2020-08-22,40.97486
2020-08-23,43.79284
2020-08-24,59.32977
2020-08-25,59.90099
2020-08-26,55.97867
2020-08-27,54.03655
2020-08-28,55.5217
2020-08-29,42.15536
2020-08-30,53.46534
2020-08-31,64.47067
2020-09-01,68.1645
2020-09-02,67.55521
2020-09-03,65.27037
2020-09-04,58.41584
2020-09-05,49.46686
2020-09-06,66.56511
2020-09-07,88.27113
2020-09-08,72.9246
2020-09-09,62.98552
2020-09-10,65.27037
2020-09-11,59.44402
2020-09-12,45.58263
2020-09-13,48.66717
2020-09-14,60.20563
2020-09-15,66.71744
2020-09-16,65.8035
2020-09-17,56.05483
2020-09-18,49.88575
2020-09-19,42.68849
2020-09-20,41.85072
2020-09-21,53.99847
2020-09-22,53.38918
2020-09-23,54.98857
2020-09-24,33.5872
2020-09-25,41.27951
2020-09-26,38.7281
2020-09-27,37.39527
2020-09-28,45.73495
2020-09-29,41.96496
2020-09-30,47.10586
2020-10-01,37.24295
2020-10-02,41.62223
2020-10-03,49.50495
2020-10-04,54.64584
2020-10-05,63.89946
2020-10-06,60.09139
2020-10-07,58.18735
2020-10-08,51.06626
2020-10-09,41.12718
2020-10-10,39.94668
2020-10-11,43.67859
2020-10-12,53.99847
2020-10-13,53.76999
2020-10-14,51.82787
2020-10-15,58.91089
2020-10-16,46.15384
2020-10-17,34.72962
2020-10-18,41.05102
2020-10-19,51.3709
2020-10-20,52.20868
2020-10-21,51.82787
2020-10-22,49.50495
2020-10-23,40.74638
2020-10-24,38.46153
2020-10-25,38.9185
2020-10-26,51.44706
2020-10-27,49.31454
2020-10-28,49.92383
2020-10-29,45.50647
2020-10-30,37.85224
2020-10-31,29.58872
2020-11-01,39.56587
2020-11-02,47.56283
2020-11-03,46.07768
2020-11-04,44.17364
2020-11-05,43.52627
2020-11-06,44.89718
2020-11-07,34.19649
2020-11-08,39.79436
2020-11-09,52.51332
2020-11-10,54.91241
2020-11-11,47.18202
2020-11-12,53.57958
2020-11-13,46.72505
2020-11-14,35.68164
2020-11-15,41.77456
2020-11-16,61.04341
2020-11-17,58.79664
2020-11-18,59.10129
2020-11-19,52.77989
2020-11-20,52.77989
2020-11-21,41.92688
2020-11-22,47.86747
2020-11-23,56.58796
2020-11-24,56.13099
2020-11-25,66.56511
2020-11-26,53.88423
2020-11-27,57.12109
2020-11-28,43.33587
2020-11-29,50.79969
2020-11-30,57.95887
2020-12-01,64.16603
2020-12-02,66.83168
2020-12-03,61.50038
2020-12-04,64.31835
2020-12-05,49.96191
2020-12-06,72.88651
2020-12-07,76.2757
2020-12-08,78.82711
2020-12-09,79.58872
2020-12-10,79.77913
2020-12-11,68.20258
2020-12-12,53.1607
2020-12-13,67.25057
2020-12-14,70.41127
2020-12-15,73.19116
2020-12-16,66.18431
2020-12-17,65.07996
2020-12-18,55.94059
2020-12-19,45.31607
2020-12-20,50.68545
2020-12-21,63.55674
2020-12-22,57.15917
2020-12-23,56.09291
2020-12-24,51.78979
2020-12-25,45.69687
2020-12-26,53.23686
2020-12-27,66.26047
2020-12-28,79.20792
2020-12-29,86.67174
2020-12-30,75.55217
2020-12-31,71.55369
2021-01-01,74.56207
2021-01-02,78.37014
2021-01-03,90.93678
2021-01-04,92.91698
2021-01-05,91.77456
2021-01-06,96.72505
2021-01-07,86.78598
2021-01-08,92.65041
2021-01-09,79.20792
2021-01-10,81.64508
2021-01-11,100.0
2021-01-12,87.28103
2021-01-13,87.01447
2021-01-14,82.06397
2021-01-15,70.52551
2021-01-16,60.81492
2021-01-17,66.75552
2021-01-18,75.476
2021-01-19,78.59862
2021-01-20,79.05559
2021-01-21,81.18811
2021-01-22,77.95125
2021-01-23,63.74714
2021-01-24,70.48743
2021-01-25,82.06397
2021-01-26,85.71972
2021-01-27,77.15156
2021-01-28,77.15156
2021-01-29,68.39299
2021-01-30,54.03655
2021-01-31,60.853
2021-02-01,65.23229
2021-02-02,70.60167
2021-02-03,67.09824
2021-02-04,67.40289
2021-02-05,61.99543
2021-02-06,50.57121
2021-02-07,56.74028
2021-02-08,63.6329
2021-02-09,63.67098
2021-02-10,56.13099
2021-02-11,43.48819
2021-02-12,53.80807
2021-02-13,54.22696
2021-02-14,65.9939
2021-02-15,74.37166
2021-02-16,72.58187
2021-02-17,68.50723
2021-02-18,68.81188
2021-02-19,58.6824
2021-02-20,50.11424
2021-02-21,52.66565
2021-02-22,66.67936
2021-02-23,67.13632
2021-02-24,61.38613
2021-02-25,65.11805
2021-02-26,53.19878
2021-02-27,42.84082
2021-02-28,47.86747
2021-03-01,59.52018
2021-03-02,61.04341
2021-03-03,58.03503
2021-03-04,62.33815
2021-03-05,49.61919
2021-03-06,41.81264
2021-03-07,50.60929
2021-03-08,55.67402
2021-03-09,60.92916
2021-03-10,64.24219
2021-03-11,60.96725
2021-03-12,57.04493
2021-03-13,44.97334
2021-03-14,49.88575
2021-03-15,60.92916
2021-03-16,60.6626
2021-03-17,57.53998
2021-03-18,63.48057
2021-03-19,57.00685
2021-03-20,48.51485
2021-03-21,52.13252
2021-03-22,60.853
2021-03-23,61.19573
2021-03-24,67.47905
2021-03-25,62.14775
2021-03-26,51.78979
2021-03-27,42.76466
2021-03-28,51.86595
2021-03-29,61.61462
2021-03-30,63.09977
2021-03-31,58.56816
2021-04-01,55.10281
2021-04-02,57.19725
2021-04-03,49.96191
2021-04-04,52.5514
2021-04-05,62.68088
2021-04-06,63.17593
2021-04-07,60.09139
