date,하이닉스주가
2020-03-20,29.83752
2020-03-21,3.34321
2020-03-22,2.02994
2020-03-23,27.78132
2020-03-24,28.0102
2020-03-25,26.08532
2020-03-26,25.57127
2020-03-27,21.95414
2020-03-28,2.57401
2020-03-29,1.65096
2020-03-30,21.00484
2020-03-31,19.38013
2020-04-01,20.30693
2020-04-02,19.14749
2020-04-03,15.46283
2020-04-04,1.77854
2020-04-05,1.13691
2020-04-06,15.00506
2020-04-07,16.01816
2020-04-08,15.03508
2020-04-09,13.23027
2020-04-10,12.94135
2020-04-11,1.24948
2020-04-12,0.96056
2020-04-13,13.22652
2020-04-14,11.76691
2020-04-15,1.59093
2020-04-16,11.40294
2020-04-17,13.32783
2020-04-18,1.18944
2020-04-19,0.90052
2020-04-20,12.47607
2020-04-21,13.01639
2020-04-22,12.70121
2020-04-23,14.7274
2020-04-24,10.28104
2020-04-25,1.05061
2020-04-26,0.74293
2020-04-27,10.6525
2020-04-28,10.22475
2020-04-29,10.30355
2020-04-30,1.08813
2020-05-01,1.69224
2020-05-02,0.64537
2020-05-03,0.45026
2020-05-04,8.86645
2020-05-05,1.07313
2020-05-06,9.16663
2020-05-07,7.80083
2020-05-08,8.32989
2020-05-09,0.73167
2020-05-10,0.56283
2020-05-11,8.20982
2020-05-12,7.97718
2020-05-13,9.1066
2020-05-14,9.29796
2020-05-15,8.77265
2020-05-16,0.6904
2020-05-17,0.46902
2020-05-18,8.97152
2020-05-19,9.49682
2020-05-20,8.65633
2020-05-21,8.44996
2020-05-22,7.75955
2020-05-23,0.65288
2020-05-24,0.55532
2020-05-25,7.7483
2020-05-26,7.90214
2020-05-27,8.11601
2020-05-28,9.49307
2020-05-29,8.32614
2020-05-30,0.68665
2020-05-31,0.6116
2020-06-01,8.90398
2020-06-02,8.39743
2020-06-03,13.00889
2020-06-04,11.26786
2020-06-05,10.06716
2020-06-06,0.90803
2020-06-07,0.61536
2020-06-08,9.99962
2020-06-09,9.2792
2020-06-10,8.52125
2020-06-11,8.64507
2020-06-12,8.70136
2020-06-13,0.82173
2020-06-14,0.47652
2020-06-15,9.15537
2020-06-16,8.85895
2020-06-17,8.71637
2020-06-18,7.94341
2020-06-19,7.14419
2020-06-20,0.6041
2020-06-21,0.44651
2020-06-22,6.95283
2020-06-23,6.68642
2020-06-24,7.61322
2020-06-25,6.75021
2020-06-26,5.9735
2020-06-27,0.48403
2020-06-28,0.37522
2020-06-29,6.30745
2020-06-30,7.53067
2020-07-01,6.49506
2020-07-02,6.03354
2020-07-03,5.60954
2020-07-04,0.45401
2020-07-05,0.32268
2020-07-06,6.84402
2020-07-07,6.26618
2020-07-08,6.42377
2020-07-09,6.96033
2020-07-10,5.85719
2020-07-11,0.46527
2020-07-12,0.40523
2020-07-13,6.4763
2020-07-14,5.9735
2020-07-15,7.81959
2020-07-16,7.01662
2020-07-17,6.42377
2020-07-18,0.59284
2020-07-19,0.37897
2020-07-20,6.1311
2020-07-21,7.06164
2020-07-22,6.74646
2020-07-23,8.19481
2020-07-24,6.45379
2020-07-25,0.67914
2020-07-26,0.40523
2020-07-27,6.63389
2020-07-28,7.52316
2020-07-29,7.53442
2020-07-30,8.88146
2020-07-31,7.35056
2020-08-01,0.63412
2020-08-02,0.50279
2020-08-03,7.47439
2020-08-04,7.40309
2020-08-05,7.4969
2020-08-06,7.40685
2020-08-07,7.24925
2020-08-08,0.64913
2020-08-09,0.63037
2020-08-10,8.00345
2020-08-11,8.42369
2020-08-12,7.5757
2020-08-13,7.95842
2020-08-14,6.84402
2020-08-15,0.58909
2020-08-16,0.48028
2020-08-17,1.40332
2020-08-18,7.89088
2020-08-19,11.42171
2020-08-20,13.47791
2020-08-21,12.67119
2020-08-22,1.14817
2020-08-23,0.70916
2020-08-24,9.80826
2020-08-25,8.40118
2020-08-26,9.56436
2020-08-27,9.00904
2020-08-28,8.05973
2020-08-29,0.69791
2020-08-30,0.57408
2020-08-31,8.28861
2020-09-01,7.72578
2020-09-02,6.69018
2020-09-03,9.05782
2020-09-04,8.33739
2020-09-05,0.63412
2020-09-06,0.46527
2020-09-07,7.19672
2020-09-08,7.10667
2020-09-09,7.46688
2020-09-10,7.29428
2020-09-11,6.67517
2020-09-12,0.6829
2020-09-13,0.81798
2020-09-14,7.9284
2020-09-15,8.6976
2020-09-16,7.93966
2020-09-17,7.66575
2020-09-18,7.79332
2020-09-19,0.76544
2020-09-20,0.49529
2020-09-21,8.02221
2020-09-22,7.662
2020-09-23,8.30362
2020-09-24,9.49307
2020-09-25,8.11601
2020-09-26,0.70541
