date,장외주식거래
2020-03-20,21.30281
2020-03-21,8.80281
2020-03-22,8.97887
2020-03-23,15.49295
2020-03-24,18.1338
2020-03-25,24.11971
2020-03-26,22.35915
2020-03-27,26.93661
2020-03-28,13.02816
2020-03-29,8.4507
2020-03-30,18.66197
2020-03-31,21.65492
2020-04-01,22.71126
2020-04-02,21.12676
2020-04-03,15.14084
2020-04-04,7.2183
2020-04-05,7.57042
2020-04-06,15.3169
2020-04-07,19.89436
2020-04-08,14.0845
2020-04-09,16.19718
2020-04-10,12.14788
2020-04-11,9.68309
2020-04-12,9.50704
2020-04-13,13.55633
2020-04-14,17.25352
2020-04-15,9.68309
2020-04-16,11.09154
2020-04-17,14.78873
2020-04-18,10.91549
2020-04-19,11.44366
2020-04-20,17.95774
2020-04-21,16.9014
2020-04-22,20.59859
2020-04-23,19.01408
2020-04-24,13.02816
2020-04-25,8.62676
2020-04-26,8.97887
2020-04-27,14.26056
2020-04-28,16.19718
2020-04-29,15.49295
2020-04-30,8.4507
2020-05-01,6.16197
2020-05-02,2.46478
2020-05-03,2.64084
2020-05-04,10.91549
2020-05-05,9.50704
2020-05-06,11.2676
2020-05-07,9.15492
2020-05-08,13.55633
2020-05-09,7.57042
2020-05-10,5.45774
2020-05-11,13.02816
2020-05-12,12.14788
2020-05-13,13.38028
2020-05-14,13.90845
2020-05-15,15.14084
2020-05-16,6.16197
2020-05-17,5.28169
2020-05-18,17.78169
2020-05-19,11.44366
2020-05-20,19.89436
2020-05-21,19.54225
2020-05-22,16.19718
2020-05-23,7.39436
2020-05-24,7.74647
2020-05-25,16.37323
2020-05-26,21.47887
2020-05-27,18.1338
2020-05-28,18.1338
2020-05-29,17.78169
2020-05-30,6.69014
2020-05-31,7.39436
2020-06-01,15.14084
2020-06-02,16.19718
2020-06-03,16.54929
2020-06-04,13.38028
2020-06-05,15.84507
2020-06-06,9.50704
2020-06-07,6.86619
2020-06-08,17.25352
2020-06-09,21.12676
2020-06-10,19.7183
2020-06-11,19.54225
2020-06-12,17.60563
2020-06-13,7.04225
2020-06-14,9.15492
2020-06-15,14.96478
2020-06-16,25.17605
2020-06-17,18.66197
2020-06-18,22.88732
2020-06-19,16.72535
2020-06-20,10.38732
2020-06-21,7.04225
2020-06-22,16.02112
2020-06-23,21.30281
2020-06-24,25.70422
2020-06-25,19.36619
2020-06-26,21.12676
2020-06-27,6.69014
2020-06-28,9.33098
2020-06-29,16.02112
2020-06-30,16.54929
2020-07-01,15.3169
2020-07-02,25.88028
2020-07-03,22.18309
2020-07-04,11.44366
2020-07-05,8.62676
2020-07-06,24.82394
2020-07-07,23.06338
2020-07-08,24.64788
2020-07-09,23.41549
2020-07-10,25.70422
2020-07-11,10.03521
2020-07-12,9.68309
2020-07-13,21.65492
2020-07-14,19.19014
2020-07-15,24.29577
2020-07-16,19.36619
2020-07-17,25.88028
2020-07-18,13.55633
2020-07-19,10.91549
2020-07-20,21.83098
2020-07-21,32.57042
2020-07-22,29.57746
2020-07-23,30.6338
2020-07-24,22.35915
2020-07-25,11.97183
2020-07-26,14.26056
2020-07-27,20.77464
2020-07-28,18.66197
2020-07-29,21.30281
2020-07-30,22.88732
2020-07-31,18.1338
2020-08-01,7.2183
2020-08-02,6.86619
2020-08-03,18.83802
2020-08-04,21.83098
2020-08-05,20.59859
2020-08-06,21.47887
2020-08-07,16.37323
2020-08-08,10.38732
2020-08-09,5.28169
2020-08-10,16.72535
2020-08-11,19.54225
2020-08-12,20.9507
2020-08-13,22.18309
2020-08-14,20.42253
2020-08-15,7.2183
2020-08-16,5.98591
2020-08-17,10.91549
2020-08-18,17.78169
2020-08-19,14.0845
2020-08-20,14.61267
2020-08-21,13.02816
2020-08-22,8.4507
2020-08-23,3.87323
2020-08-24,11.79577
2020-08-25,17.25352
2020-08-26,20.07042
2020-08-27,18.66197
2020-08-28,16.37323
2020-08-29,5.6338
2020-08-30,10.56338
2020-08-31,17.07746
2020-09-01,24.64788
2020-09-02,30.98591
2020-09-03,27.11267
2020-09-04,19.01408
2020-09-05,12.14788
2020-09-06,13.02816
2020-09-07,19.36619
2020-09-08,18.83802
2020-09-09,28.52112
2020-09-10,33.27464
2020-09-11,30.10563
2020-09-12,11.79577
