date,갭투자
2020-03-20,0.43252
2020-03-21,0.40436
2020-03-22,0.40098
2020-03-23,0.47982
2020-03-24,0.48207
2020-03-25,0.39985
2020-03-26,0.49334
2020-03-27,0.55078
2020-03-28,0.34015
2020-03-29,0.42688
2020-03-30,0.42914
2020-03-31,0.34691
2020-04-01,0.40323
2020-04-02,0.41787
2020-04-03,0.39535
2020-04-04,0.28947
2020-04-05,0.38633
2020-04-06,0.50685
2020-04-07,0.44828
2020-04-08,0.54853
2020-04-09,0.46293
2020-04-10,0.41224
2020-04-11,0.33227
2020-04-12,0.35029
2020-04-13,0.43702
2020-04-14,0.38296
2020-04-15,0.35254
2020-04-16,0.43026
2020-04-17,0.42013
2020-04-18,0.3762
2020-04-19,0.43702
2020-04-20,0.54966
2020-04-21,0.50798
2020-04-22,0.49559
2020-04-23,0.61611
2020-04-24,0.42914
2020-04-25,0.37845
2020-04-26,0.39084
2020-04-27,0.42013
2020-04-28,0.43927
2020-04-29,0.37958
2020-04-30,0.34353
2020-05-01,0.34804
2020-05-02,0.36831
2020-05-03,0.34916
2020-05-04,0.37394
2020-05-05,0.37057
2020-05-06,0.43589
2020-05-07,0.44941
2020-05-08,0.38971
2020-05-09,0.28947
2020-05-10,0.3165
2020-05-11,0.58795
2020-05-12,0.72987
2020-05-13,0.50235
2020-05-14,0.43364
2020-05-15,0.38183
2020-05-16,0.34804
2020-05-17,0.38746
2020-05-18,0.45054
2020-05-19,0.45842
2020-05-20,0.57218
2020-05-21,0.55416
2020-05-22,0.4618
2020-05-23,0.37732
2020-05-24,0.43026
2020-05-25,0.55641
2020-05-26,0.54628
2020-05-27,0.6071
2020-05-28,0.5688
2020-05-29,0.50911
2020-05-30,0.44265
2020-05-31,0.43815
2020-06-01,0.51924
2020-06-02,0.54515
2020-06-03,0.71974
2020-06-04,0.5474
2020-06-05,0.43702
2020-06-06,0.40999
2020-06-07,0.46631
2020-06-08,0.76592
2020-06-09,0.7738
2020-06-10,1.32571
2020-06-11,1.16352
2020-06-12,0.71748
2020-06-13,0.62512
2020-06-14,2.94992
2020-06-15,18.78308
2020-06-16,12.75033
2020-06-17,100.0
2020-06-18,30.34173
2020-06-19,6.33912
2020-06-20,3.47705
2020-06-21,4.26663
2020-06-22,5.2229
2020-06-23,4.92892
2020-06-24,17.38753
2020-06-25,2.30114
2020-06-26,1.98351
2020-06-27,1.82582
2020-06-28,2.0601
2020-06-29,1.87312
2020-06-30,1.68615
2020-07-01,1.47327
2020-07-02,1.61181
2020-07-03,1.29756
2020-07-04,1.26151
2020-07-05,1.29643
2020-07-06,2.21666
2020-07-07,1.68953
2020-07-08,2.52303
2020-07-09,3.21686
2020-07-10,1.78865
2020-07-11,1.09594
2020-07-12,1.17591
2020-07-13,1.1241
2020-07-14,0.92473
2020-07-15,0.98443
2020-07-16,0.88193
2020-07-17,1.03962
2020-07-18,0.75578
2020-07-19,1.0644
2020-07-20,1.04187
2020-07-21,0.95852
2020-07-22,0.79182
2020-07-23,0.92811
2020-07-24,0.90108
2020-07-25,0.6882
2020-07-26,0.80421
2020-07-27,0.88418
2020-07-28,1.96548
2020-07-29,1.51832
2020-07-30,0.8763
2020-07-31,1.00696
2020-08-01,0.98105
2020-08-02,1.34374
2020-08-03,5.81536
2020-08-04,3.03214
2020-08-05,1.49579
2020-08-06,1.1286
2020-08-07,0.9574
2020-08-08,0.71861
2020-08-09,0.94726
2020-08-10,0.87179
2020-08-11,0.85602
2020-08-12,0.75916
2020-08-13,0.85602
2020-08-14,1.00245
2020-08-15,0.69946
2020-08-16,0.526
2020-08-17,0.60597
2020-08-18,1.12072
2020-08-19,0.84138
2020-08-20,0.78619
2020-08-21,0.6285
2020-08-22,0.5474
2020-08-23,0.54853
2020-08-24,2.78434
2020-08-25,1.71769
2020-08-26,0.83124
2020-08-27,0.64202
2020-08-28,1.18379
2020-08-29,0.95965
2020-08-30,0.59696
2020-08-31,0.71748
2020-09-01,0.75916
2020-09-02,0.88756
2020-09-03,0.6454
2020-09-04,0.56542
2020-09-05,0.62963
2020-09-06,0.74339
2020-09-07,0.81435
2020-09-08,0.68707
2020-09-09,0.77042
2020-09-10,0.72762
2020-09-11,0.95402
2020-09-12,0.85039
2020-09-13,0.67806
