date,막국수
2020-03-20,11.40561
2020-03-21,24.38234
2020-03-22,27.10482
2020-03-23,14.94363
2020-03-24,12.50899
2020-03-25,13.2046
2020-03-26,12.43703
2020-03-27,13.31254
2020-03-28,17.37826
2020-03-29,23.0271
2020-03-30,13.78028
2020-03-31,18.07387
2020-04-01,11.65747
2020-04-02,12.90477
2020-04-03,12.71288
2020-04-04,20.37658
2020-04-05,25.97745
2020-04-06,12.64092
2020-04-07,11.94531
2020-04-08,12.91676
2020-04-09,13.24058
2020-04-10,13.31254
2020-04-11,20.62844
2020-04-12,21.15615
2020-04-13,17.4982
2020-04-14,15.27944
2020-04-15,24.33437
2020-04-16,13.68433
2020-04-17,12.06524
2020-04-18,25.60566
2020-04-19,20.43655
2020-04-20,10.65003
2020-04-21,10.73398
2020-04-22,10.18229
2020-04-23,13.04869
2020-04-24,13.45646
2020-04-25,22.52338
2020-04-26,29.61141
2020-04-27,14.39194
2020-04-28,16.4188
2020-04-29,16.86255
2020-04-30,33.78508
2020-05-01,46.85775
2020-05-02,38.1986
2020-05-03,44.86687
2020-05-04,31.71024
2020-05-05,30.03118
2020-05-06,19.54905
2020-05-07,19.58503
2020-05-08,20.41256
2020-05-09,15.5193
2020-05-10,23.50683
2020-05-11,15.96306
2020-05-12,13.96018
2020-05-13,16.10698
2020-05-14,20.3526
2020-05-15,11.71743
2020-05-16,23.80666
2020-05-17,37.95874
2020-05-18,14.9916
2020-05-19,12.02926
2020-05-20,13.81626
2020-05-21,15.86711
2020-05-22,16.86255
2020-05-23,31.6023
2020-05-24,27.58455
2020-05-25,14.87167
2020-05-26,17.22235
2020-05-27,22.4874
2020-05-28,18.82945
2020-05-29,20.10074
2020-05-30,39.51786
2020-05-31,43.17582
2020-06-01,18.93739
2020-06-02,17.58215
2020-06-03,21.65987
2020-06-04,23.61477
2020-06-05,25.55768
2020-06-06,42.66011
2020-06-07,48.44087
2020-06-08,28.95178
2020-06-09,31.91412
2020-06-10,25.67762
2020-06-11,27.33269
2020-06-12,21.42
2020-06-13,47.94914
2020-06-14,43.79947
2020-06-15,28.32813
2020-06-16,25.43775
2020-06-17,22.82321
2020-06-18,20.18469
2020-06-19,22.57136
2020-06-20,38.71431
2020-06-21,56.52434
2020-06-22,30.22307
2020-06-23,24.77812
2020-06-24,13.33653
2020-06-25,14.59582
2020-06-26,17.61813
2020-06-27,36.21971
2020-06-28,48.08107
2020-06-29,15.48332
2020-06-30,13.50443
2020-07-01,14.272
2020-07-02,21.56392
2020-07-03,19.22523
2020-07-04,32.81362
2020-07-05,40.46533
2020-07-06,22.97913
2020-07-07,19.4531
2020-07-08,22.16358
2020-07-09,22.91916
2020-07-10,15.95106
2020-07-11,32.99352
2020-07-12,28.72391
2020-07-13,12.55696
