date,유로환율
2020-03-20,100.0
2020-03-21,37.41143
2020-03-22,28.37147
2020-03-23,74.5538
2020-03-24,63.35382
2020-03-25,61.92697
2020-03-26,53.19064
2020-03-27,50.87758
2020-03-28,24.69327
2020-03-29,21.16813
2020-03-30,47.17717
2020-03-31,44.41235
2020-04-01,43.09165
2020-04-02,44.37285
2020-04-03,41.50188
2020-04-04,20.80772
2020-04-05,19.56602
2020-04-06,39.09995
2020-04-07,40.67491
2020-04-08,37.94712
2020-04-09,35.81426
2020-04-10,34.24424
2020-04-11,18.21076
2020-04-12,19.16857
2020-04-13,33.73571
2020-04-14,31.59051
2020-04-15,20.7855
2020-04-16,31.53126
2020-04-17,32.18544
2020-04-18,17.15174
2020-04-19,16.99622
2020-04-20,31.65716
2020-04-21,35.42669
2020-04-22,33.23212
2020-04-23,31.5831
2020-04-24,29.4453
2020-04-25,15.96682
2020-04-26,15.88042
2020-04-27,29.37125
2020-04-28,30.58332
2020-04-29,28.42825
2020-04-30,18.17127
2020-05-01,17.59115
2020-05-02,15.31264
2020-05-03,16.08037
2020-05-04,30.30931
2020-05-05,21.2101
2020-05-06,33.15312
2020-05-07,28.22335
2020-05-08,25.95225
2020-05-09,14.3104
2020-05-10,13.65869
2020-05-11,26.41882
2020-05-12,26.70023
2020-05-13,25.43632
2020-05-14,25.87819
2020-05-15,24.48344
2020-05-16,13.79199
2020-05-17,14.15981
2020-05-18,27.03596
2020-05-19,29.41568
2020-05-20,30.22785
2020-05-21,28.48996
2020-05-22,28.70226
2020-05-23,15.45088
2020-05-24,15.44841
2020-05-25,29.46999
2020-05-26,29.07008
2020-05-27,28.52699
2020-05-28,31.23256
2020-05-29,32.39033
2020-05-30,17.0135
2020-05-31,15.31758
2020-06-01,33.00747
2020-06-02,31.78552
2020-06-03,30.9857
2020-06-04,30.10195
2020-06-05,34.08625
2020-06-06,16.05815
2020-06-07,15.78908
2020-06-08,33.00994
2020-06-09,34.69846
2020-06-10,31.20294
2020-06-11,27.66545
2020-06-12,27.86047
2020-06-13,14.41901
2020-06-14,13.98948
2020-06-15,27.32972
2020-06-16,29.97605
2020-06-17,29.29719
2020-06-18,27.79876
2020-06-19,26.02137
2020-06-20,14.24621
2020-06-21,12.96502
2020-06-22,25.97694
2020-06-23,27.19889
2020-06-24,27.09027
2020-06-25,27.30257
2020-06-26,26.43363
2020-06-27,13.51304
2020-06-28,12.89343
2020-06-29,26.25095
2020-06-30,28.73929
2020-07-01,26.84341
2020-07-02,24.52047
2020-07-03,24.02429
2020-07-04,13.95245
2020-07-05,13.53526
2020-07-06,24.84386
2020-07-07,24.6365
2020-07-08,26.03865
2020-07-09,25.38448
2020-07-10,22.68878
2020-07-11,13.72781
2020-07-12,13.42417
