date,프랜차이즈
2020-03-20,14.68877
2020-03-21,11.07042
2020-03-22,10.96273
2020-03-23,18.28559
2020-03-24,15.27029
2020-03-25,16.84255
2020-03-26,15.33491
2020-03-27,16.84255
2020-03-28,10.96273
2020-03-29,11.60887
2020-03-30,15.24876
2020-03-31,15.18414
2020-04-01,15.74413
2020-04-02,14.51647
2020-04-03,14.77493
2020-04-04,9.47663
2020-04-05,10.05815
2020-04-06,22.09778
2020-04-07,22.01163
2020-04-08,17.12255
2020-04-09,18.65173
2020-04-10,17.07947
2020-04-11,12.64268
2020-04-12,14.17187
2020-04-13,20.15937
2020-04-14,20.18091
2020-04-15,13.26728
2020-04-16,18.5225
2020-04-17,17.27331
2020-04-18,11.52272
2020-04-19,13.76265
2020-04-20,17.81175
2020-04-21,18.19944
2020-04-22,18.80249
2020-04-23,16.51949
2020-04-24,15.07645
2020-04-25,12.19039
2020-04-26,13.78419
2020-04-27,17.31639
2020-04-28,20.03015
2020-04-29,17.68253
2020-04-30,12.96575
2020-05-01,13.07344
2020-05-02,12.34115
2020-05-03,11.50118
2020-05-04,14.96877
2020-05-05,13.43958
2020-05-06,17.68253
2020-05-07,16.7564
2020-05-08,15.22722
2020-05-09,11.09196
2020-05-10,12.94421
2020-05-11,18.54404
2020-05-12,18.93172
2020-05-13,18.11328
2020-05-14,18.13482
2020-05-15,16.32565
2020-05-16,11.82425
2020-05-17,12.59961
2020-05-18,17.03639
2020-05-19,16.00258
2020-05-20,17.79022
2020-05-21,17.05793
2020-05-22,16.28257
2020-05-23,12.14731
2020-05-24,10.98427
2020-05-25,15.63644
2020-05-26,15.74413
2020-05-27,17.03639
2020-05-28,14.88261
2020-05-29,12.8796
2020-05-30,9.04587
2020-05-31,10.70428
2020-06-01,15.74413
2020-06-02,17.10101
2020-06-03,16.30411
2020-06-04,15.46413
2020-06-05,15.59336
2020-06-06,10.74736
2020-06-07,12.36269
2020-06-08,21.12858
2020-06-09,21.55933
2020-06-10,15.76566
2020-06-11,17.59638
2020-06-12,16.64871
2020-06-13,12.03962
2020-06-14,13.20267
2020-06-15,17.63945
2020-06-16,18.5225
2020-06-17,18.09175
2020-06-18,18.60865
2020-06-19,17.51023
2020-06-20,13.46112
2020-06-21,11.75963
2020-06-22,19.40555
2020-06-23,19.03941
2020-06-24,18.71634
2020-06-25,18.3502
2020-06-26,16.49795
2020-06-27,11.04889
2020-06-28,11.80271
2020-06-29,16.08873
2020-06-30,15.67951
2020-07-01,15.39952
2020-07-02,15.48567
2020-07-03,13.91341
2020-07-04,10.20891
2020-07-05,12.03962
2020-07-06,16.32565
2020-07-07,16.36872
2020-07-08,22.83006
2020-07-09,20.1163
2020-07-10,13.95649
2020-07-11,10.51044
2020-07-12,11.13504
2020-07-13,16.34718
2020-07-14,15.11953
2020-07-15,15.22722
2020-07-16,15.01184
2020-07-17,16.19642
2020-07-18,10.16584
2020-07-19,11.26426
2020-07-20,16.97178
2020-07-21,16.26103
2020-07-22,15.91643
2020-07-23,15.59336
2020-07-24,14.1934
2020-07-25,10.46737
2020-07-26,11.37195
2020-07-27,16.36872
2020-07-28,15.27029
