date,지원금
2020-03-20,1.89096
2020-03-21,0.95985
2020-03-22,0.79029
2020-03-23,2.15248
2020-03-24,3.917
2020-03-25,2.78472
2020-03-26,2.23007
2020-03-27,2.91117
2020-03-28,2.66114
2020-03-29,3.59513
2020-03-30,26.8069
2020-03-31,17.63083
2020-04-01,11.52685
2020-04-02,8.56395
2020-04-03,18.65965
2020-04-04,7.22763
2020-04-05,3.91413
2020-04-06,11.30557
2020-04-07,8.48636
2020-04-08,6.79943
2020-04-09,7.52938
2020-04-10,5.56944
2020-04-11,2.6439
2020-04-12,2.30192
2020-04-13,5.12113
2020-04-14,4.62683
2020-04-15,3.08359
2020-04-16,7.76216
2020-04-17,6.02638
2020-04-18,3.14969
2020-04-19,4.27335
2020-04-20,7.97769
2020-04-21,5.77061
2020-04-22,8.12138
2020-04-23,8.99502
2020-04-24,8.449
2020-04-25,4.45153
2020-04-26,3.70146
2020-04-27,8.90881
2020-04-28,9.30539
2020-04-29,8.88294
2020-04-30,8.51222
2020-05-01,7.32821
2020-05-02,4.04345
2020-05-03,5.36253
2020-05-04,15.10762
2020-05-05,8.29669
2020-05-06,10.63597
2020-05-07,10.83139
2020-05-08,8.85133
2020-05-09,4.66994
2020-05-10,4.37968
2020-05-11,13.05859
2020-05-12,10.67333
2020-05-13,8.98065
2020-05-14,6.44308
2020-05-15,5.39126
2020-05-16,3.39109
2020-05-17,2.43986
2020-05-18,5.0694
2020-05-19,4.19001
2020-05-20,3.31637
2020-05-21,3.04049
2020-05-22,2.68126
2020-05-23,1.56335
2020-05-24,1.48863
2020-05-25,3.16693
2020-05-26,2.78184
2020-05-27,2.39388
2020-05-28,2.16397
2020-05-29,2.04327
2020-05-30,1.3823
2020-05-31,1.76451
2020-06-01,8.28232
2020-06-02,5.3108
2020-06-03,4.33658
2020-06-04,4.08081
2020-06-05,3.10371
2020-06-06,1.9858
2020-06-07,1.62657
2020-06-08,3.08934
2020-06-09,2.71862
2020-06-10,3.14107
2020-06-11,2.68126
2020-06-12,2.17547
2020-06-13,1.41966
2020-06-14,2.06339
2020-06-15,3.89401
2020-06-16,2.6985
2020-06-17,2.40825
2020-06-18,1.96568
2020-06-19,1.79325
2020-06-20,0.98859
2020-06-21,1.38517
2020-06-22,2.93703
2020-06-23,2.3364
2020-06-24,1.86222
2020-06-25,1.60933
2020-06-26,1.6237
2020-06-27,0.97996
2020-06-28,0.87076
2020-06-29,1.95131
2020-06-30,1.93694
2020-07-01,1.76451
2020-07-02,1.71279
2020-07-03,1.60933
2020-07-04,0.97134
2020-07-05,0.86501
2020-07-06,1.76739
2020-07-07,1.66681
2020-07-08,1.73578
2020-07-09,1.49725
2020-07-10,1.2616
2020-07-11,0.75868
2020-07-12,0.74719
2020-07-13,1.6237
2020-07-14,1.55185
2020-07-15,1.64094
2020-07-16,1.86797
2020-07-17,1.48288
2020-07-18,0.81903
2020-07-19,0.87363
2020-07-20,1.59496
2020-07-21,1.88234
2020-07-22,1.48288
2020-07-23,1.34494
2020-07-24,1.15814
2020-07-25,0.592
2020-07-26,0.80179
2020-07-27,1.38517
2020-07-28,1.31333
2020-07-29,1.38517
2020-07-30,1.2501
2020-07-31,1.29608
2020-08-01,0.75006
2020-08-02,0.68684
2020-08-03,1.27884
2020-08-04,1.19837
2020-08-05,1.16101
2020-08-06,1.13802
2020-08-07,1.03169
2020-08-08,0.6466
2020-08-09,0.7012
2020-08-10,1.41966
2020-08-11,1.37942
2020-08-12,1.56622
2020-08-13,2.38813
2020-08-14,2.27031
2020-08-15,1.06905
2020-08-16,0.83053
2020-08-17,1.0087
2020-08-18,1.52599
2020-08-19,3.23303
2020-08-20,2.66977
2020-08-21,2.86518
