date,이율높은예금
2020-03-20,15.0289
2020-03-21,7.8998
2020-03-22,5.97302
2020-03-23,13.68015
2020-03-24,14.64354
2020-03-25,17.72639
2020-03-26,16.95568
2020-03-27,16.95568
2020-03-28,8.09248
2020-03-29,7.70712
2020-03-30,11.36801
2020-03-31,16.763
2020-04-01,15.99229
2020-04-02,13.68015
2020-04-03,9.05587
2020-04-04,10.98265
2020-04-05,10.01926
2020-04-06,17.91907
2020-04-07,18.11175
2020-04-08,14.64354
2020-04-09,11.75337
2020-04-10,12.3314
2020-04-11,9.24855
2020-04-12,7.12909
2020-04-13,17.91907
2020-04-14,13.48747
2020-04-15,10.78998
2020-04-16,13.10211
2020-04-17,12.90944
2020-04-18,11.75337
2020-04-19,7.32177
2020-04-20,13.68015
2020-04-21,15.60693
2020-04-22,15.22157
2020-04-23,11.36801
2020-04-24,18.88246
2020-04-25,7.8998
2020-04-26,8.67052
2020-04-27,13.87283
2020-04-28,10.78998
2020-04-29,11.17533
2020-04-30,7.70712
2020-05-01,9.44123
2020-05-02,6.93641
2020-05-03,10.5973
2020-05-04,16.57032
2020-05-05,10.40462
2020-05-06,14.06551
2020-05-07,15.41425
2020-05-08,11.36801
2020-05-09,5.97302
2020-05-10,8.09248
2020-05-11,13.10211
2020-05-12,13.29479
2020-05-13,17.14836
2020-05-14,11.75337
2020-05-15,13.29479
2020-05-16,9.24855
2020-05-17,7.12909
2020-05-18,13.68015
2020-05-19,12.3314
2020-05-20,15.60693
2020-05-21,12.3314
2020-05-22,12.71676
2020-05-23,5.97302
2020-05-24,11.36801
2020-05-25,15.22157
2020-05-26,18.11175
2020-05-27,13.87283
2020-05-28,10.98265
2020-05-29,11.94605
2020-05-30,3.85356
2020-05-31,6.74373
2020-06-01,14.25818
2020-06-02,13.87283
2020-06-03,13.87283
2020-06-04,8.67052
2020-06-05,10.5973
2020-06-06,6.1657
2020-06-07,5.58766
2020-06-08,12.90944
2020-06-09,12.90944
2020-06-10,13.48747
2020-06-11,12.52408
2020-06-12,10.98265
2020-06-13,9.82658
2020-06-14,8.67052
2020-06-15,13.29479
2020-06-16,11.36801
2020-06-17,10.5973
2020-06-18,9.05587
2020-06-19,9.44123
2020-06-20,6.35838
2020-06-21,6.35838
2020-06-22,15.99229
2020-06-23,14.25818
2020-06-24,13.29479
2020-06-25,16.95568
2020-06-26,14.64354
2020-06-27,7.12909
2020-06-28,8.09248
2020-06-29,15.41425
2020-06-30,16.95568
2020-07-01,11.75337
2020-07-02,11.36801
2020-07-03,13.87283
2020-07-04,6.1657
2020-07-05,7.8998
2020-07-06,15.60693
2020-07-07,16.95568
2020-07-08,15.22157
2020-07-09,13.48747
2020-07-10,13.68015
2020-07-11,6.74373
2020-07-12,8.86319
2020-07-13,13.87283
2020-07-14,11.56069
2020-07-15,13.87283
2020-07-16,11.56069
2020-07-17,7.70712
2020-07-18,4.04624
2020-07-19,5.39499
2020-07-20,14.06551
2020-07-21,11.75337
2020-07-22,13.87283
2020-07-23,8.28516
2020-07-24,8.09248
2020-07-25,7.51445
2020-07-26,7.32177
2020-07-27,10.98265
2020-07-28,11.94605
2020-07-29,10.78998
2020-07-30,11.17533
2020-07-31,15.0289
2020-08-01,6.35838
2020-08-02,7.8998
2020-08-03,14.83622
2020-08-04,11.17533
2020-08-05,13.29479
2020-08-06,9.24855
2020-08-07,9.44123
2020-08-08,4.04624
2020-08-09,6.93641
2020-08-10,11.75337
2020-08-11,10.01926
2020-08-12,9.44123
2020-08-13,12.90944
2020-08-14,8.86319
2020-08-15,5.97302
2020-08-16,4.04624
2020-08-17,4.43159
2020-08-18,9.44123
2020-08-19,14.25818
2020-08-20,11.36801
2020-08-21,9.82658
2020-08-22,5.00963
2020-08-23,6.55105
2020-08-24,9.63391
2020-08-25,15.22157
2020-08-26,11.94605
2020-08-27,11.56069
2020-08-28,9.44123
2020-08-29,4.62427
2020-08-30,7.51445
2020-08-31,10.01926
2020-09-01,12.71676
2020-09-02,12.13872
2020-09-03,9.82658
2020-09-04,15.60693
2020-09-05,6.1657
2020-09-06,7.32177
2020-09-07,10.01926
2020-09-08,8.09248
2020-09-09,11.17533
2020-09-10,11.17533
2020-09-11,10.40462
2020-09-12,5.20231
2020-09-13,7.51445
2020-09-14,12.13872
2020-09-15,11.75337
2020-09-16,13.29479
2020-09-17,8.47784
2020-09-18,9.05587
2020-09-19,5.58766
2020-09-20,5.78034
2020-09-21,10.01926
2020-09-22,11.94605
2020-09-23,15.99229
2020-09-24,10.01926
2020-09-25,9.05587
2020-09-26,7.32177
2020-09-27,5.97302
2020-09-28,7.70712
2020-09-29,13.29479
2020-09-30,3.08285
2020-10-01,3.4682
2020-10-02,4.43159
2020-10-03,2.11946
2020-10-04,6.93641
2020-10-05,14.83622
2020-10-06,8.86319
2020-10-07,10.5973
2020-10-08,9.05587
2020-10-09,7.32177
2020-10-10,5.00963
2020-10-11,7.32177
2020-10-12,8.67052
2020-10-13,7.70712
2020-10-14,9.63391
2020-10-15,11.17533
2020-10-16,7.51445
2020-10-17,3.27552
2020-10-18,1.92678
2020-10-19,10.40462
2020-10-20,9.05587
2020-10-21,9.63391
2020-10-22,11.75337
2020-10-23,12.52408
2020-10-24,2.50481
2020-10-25,5.58766
2020-10-26,11.75337
2020-10-27,9.82658
2020-10-28,10.21194
2020-10-29,7.32177
2020-10-30,11.36801
2020-10-31,3.66088
2020-11-01,6.74373
2020-11-02,9.82658
2020-11-03,11.75337
2020-11-04,9.44123
2020-11-05,8.67052
2020-11-06,8.28516
2020-11-07,4.04624
2020-11-08,6.35838
2020-11-09,9.82658
2020-11-10,8.67052
2020-11-11,8.67052
2020-11-12,10.5973
2020-11-13,12.52408
2020-11-14,3.27552
2020-11-15,5.39499
2020-11-16,8.67052
2020-11-17,10.21194
2020-11-18,11.56069
2020-11-19,9.44123
2020-11-20,9.44123
2020-11-21,6.55105
2020-11-22,5.97302
2020-11-23,9.63391
2020-11-24,13.10211
2020-11-25,13.29479
2020-11-26,16.57032
2020-11-27,10.40462
2020-11-28,5.97302
2020-11-29,10.01926
2020-11-30,9.24855
2020-12-01,10.40462
2020-12-02,11.75337
2020-12-03,11.56069
2020-12-04,10.5973
2020-12-05,2.31213
2020-12-06,7.12909
2020-12-07,10.78998
2020-12-08,7.70712
2020-12-09,9.05587
2020-12-10,12.13872
2020-12-11,10.21194
2020-12-12,8.28516
2020-12-13,4.43159
2020-12-14,11.17533
2020-12-15,13.87283
2020-12-16,12.3314
2020-12-17,14.64354
2020-12-18,11.94605
2020-12-19,6.55105
2020-12-20,6.74373
2020-12-21,15.22157
2020-12-22,13.10211
2020-12-23,9.24855
2020-12-24,11.75337
2020-12-25,6.74373
2020-12-26,7.12909
2020-12-27,8.47784
2020-12-28,17.14836
2020-12-29,15.79961
2020-12-30,13.87283
2020-12-31,12.52408
2021-01-01,11.56069
2021-01-02,11.94605
2021-01-03,17.34104
2021-01-04,16.763
2021-01-05,23.69942
2021-01-06,21.00192
2021-01-07,18.88246
2021-01-08,14.45086
2021-01-09,11.75337
2021-01-10,13.68015
2021-01-11,23.69942
2021-01-12,21.57996
2021-01-13,28.70905
2021-01-14,32.75529
2021-01-15,24.85549
2021-01-16,13.68015
2021-01-17,16.763
2021-01-18,24.47013
2021-01-19,26.97495
2021-01-20,25.6262
2021-01-21,27.55298
2021-01-22,21.77263
2021-01-23,17.14836
2021-01-24,16.18497
2021-01-25,26.78227
2021-01-26,26.97495
2021-01-27,24.47013
2021-01-28,25.04816
2021-01-29,26.58959
2021-01-30,12.13872
2021-01-31,11.94605
2021-02-01,26.39691
2021-02-02,30.82851
2021-02-03,25.81888
2021-02-04,30.0578
2021-02-05,25.04816
2021-02-06,17.72639
2021-02-07,10.98265
2021-02-08,27.55298
2021-02-09,26.20423
2021-02-10,17.14836
2021-02-11,12.3314
2021-02-12,10.21194
2021-02-13,13.29479
2021-02-14,21.1946
2021-02-15,33.52601
2021-02-16,25.6262
2021-02-17,25.43352
2021-02-18,25.43352
2021-02-19,26.01156
2021-02-20,16.18497
2021-02-21,15.60693
2021-02-22,27.74566
2021-02-23,22.35067
2021-02-24,24.08477
2021-02-25,20.23121
2021-02-26,28.51637
2021-02-27,14.83622
2021-02-28,14.45086
2021-03-01,20.03853
2021-03-02,30.82851
2021-03-03,24.85549
2021-03-04,25.6262
2021-03-05,26.01156
2021-03-06,14.83622
2021-03-07,16.57032
2021-03-08,27.3603
2021-03-09,21.38728
2021-03-10,28.51637
2021-03-11,20.61657
2021-03-12,21.96531
2021-03-13,9.24855
2021-03-14,15.99229
2021-03-15,24.85549
2021-03-16,21.38728
2021-03-17,20.03853
2021-03-18,15.41425
2021-03-19,17.14836
2021-03-20,10.98265
2021-03-21,8.47784
2021-03-22,20.23121
2021-03-23,25.24084
2021-03-24,21.00192
2021-03-25,21.57996
2021-03-26,15.99229
2021-03-27,9.05587
2021-03-28,13.48747
2021-03-29,16.57032
2021-03-30,23.69942
2021-03-31,21.96531
2021-04-01,22.54335
2021-04-02,13.29479
2021-04-03,10.40462
2021-04-04,9.44123
2021-04-05,15.99229
2021-04-06,14.25818
