date,사망자재산조회
2020-03-20,34.44108
2020-03-21,10.87613
2020-03-22,13.59516
2020-03-23,43.20241
2020-03-24,44.71299
2020-03-25,35.64954
2020-03-26,35.64954
2020-03-27,33.23262
2020-03-28,13.29305
2020-03-29,16.91842
2020-03-30,43.20241
2020-03-31,36.55589
2020-04-01,38.06646
2020-04-02,37.76435
2020-04-03,32.02416
2020-04-04,10.87613
2020-04-05,13.59516
2020-04-06,45.0151
2020-04-07,39.57703
2020-04-08,48.64048
2020-04-09,32.62839
2020-04-10,35.95166
2020-04-11,14.80362
2020-04-12,14.19939
2020-04-13,43.50453
2020-04-14,45.61933
2020-04-15,19.93957
2020-04-16,43.20241
2020-04-17,41.99395
2020-04-18,20.5438
2020-04-19,18.73111
2020-04-20,49.84894
2020-04-21,45.61933
2020-04-22,41.99395
2020-04-23,29.00302
2020-04-24,22.05438
2020-04-25,19.33534
2020-04-26,14.80362
2020-04-27,53.47432
2020-04-28,58.61027
2020-04-29,57.70392
2020-04-30,26.88821
2020-05-01,45.61933
2020-05-02,23.26283
2020-05-03,23.86706
2020-05-04,67.67371
2020-05-05,39.27492
2020-05-06,70.99697
2020-05-07,71.6012
2020-05-08,59.51661
2020-05-09,25.98187
2020-05-10,26.5861
2020-05-11,79.7583
2020-05-12,71.90332
2020-05-13,69.78851
2020-05-14,62.23564
2020-05-15,61.93353
2020-05-16,25.98187
2020-05-17,38.36858
2020-05-18,71.29909
2020-05-19,65.86102
2020-05-20,65.55891
2020-05-21,58.91238
2020-05-22,61.63141
2020-05-23,26.5861
2020-05-24,29.30513
2020-05-25,89.42598
2020-05-26,76.43504
2020-05-27,66.46525
2020-05-28,62.83987
2020-05-29,62.83987
2020-05-30,31.11782
2020-05-31,29.30513
2020-06-01,76.43504
2020-06-02,67.06948
2020-06-03,64.95468
2020-06-04,60.72507
2020-06-05,55.58912
2020-06-06,29.30513
2020-06-07,37.16012
2020-06-08,77.34138
2020-06-09,60.12084
2020-06-10,59.51661
2020-06-11,65.25679
2020-06-12,56.49546
2020-06-13,24.16918
2020-06-14,32.32628
2020-06-15,75.83081
2020-06-16,67.67371
2020-06-17,51.35951
2020-06-18,58.61027
2020-06-19,44.71299
2020-06-20,24.77341
2020-06-21,29.00302
2020-06-22,67.06948
2020-06-23,65.86102
2020-06-24,56.49546
2020-06-25,58.00604
2020-06-26,58.61027
2020-06-27,20.24169
2020-06-28,32.02416
2020-06-29,64.65256
2020-06-30,61.93353
2020-07-01,64.95468
2020-07-02,47.43202
2020-07-03,41.99395
2020-07-04,25.98187
2020-07-05,24.47129
2020-07-06,67.97583
2020-07-07,72.50755
2020-07-08,62.23564
2020-07-09,64.04833
2020-07-10,46.82779
2020-07-11,27.79456
2020-07-12,29.00302
2020-07-13,54.07854
2020-07-14,54.98489
2020-07-15,62.23564
2020-07-16,51.66163
2020-07-17,47.43202
2020-07-18,21.14803
2020-07-19,18.73111
2020-07-20,50.45317
2020-07-21,65.55891
2020-07-22,87.61329
2020-07-23,61.3293
2020-07-24,59.2145
2020-07-25,25.98187
2020-07-26,27.19033
2020-07-27,75.22658
2020-07-28,78.24773
2020-07-29,71.6012
2020-07-30,63.74622
2020-07-31,55.89123
2020-08-01,26.5861
2020-08-02,32.02416
2020-08-03,67.06948
2020-08-04,66.46525
2020-08-05,66.46525
2020-08-06,68.88217
2020-08-07,50.45317
2020-08-08,29.30513
2020-08-09,25.37764
2020-08-10,84.89425
2020-08-11,68.58006
2020-08-12,61.02719
2020-08-13,52.56797
2020-08-14,55.58912
2020-08-15,21.14803
2020-08-16,24.16918
2020-08-17,38.67069
2020-08-18,64.04833
2020-08-19,66.76737
2020-08-20,61.3293
2020-08-21,52.56797
2020-08-22,23.86706
2020-08-23,23.26283
2020-08-24,73.11178
2020-08-25,66.16314
2020-08-26,57.40181
2020-08-27,61.02719
2020-08-28,45.61933
2020-08-29,21.45015
2020-08-30,21.14803
2020-08-31,41.99395
2020-09-01,34.7432
2020-09-02,36.858
2020-09-03,29.90936
2020-09-04,31.72205
2020-09-05,13.59516
2020-09-06,14.19939
2020-09-07,40.78549
2020-09-08,35.04531
2020-09-09,36.25377
2020-09-10,33.23262
2020-09-11,40.18126
2020-09-12,15.40785
2020-09-13,18.12688
2020-09-14,35.04531
2020-09-15,36.25377
2020-09-16,47.1299
2020-09-17,57.40181
2020-09-18,38.67069
2020-09-19,14.19939
2020-09-20,13.29305
2020-09-21,38.67069
2020-09-22,37.16012
2020-09-23,45.92145
2020-09-24,48.94259
