date,SCF
2020-03-20,4.22245
2020-03-21,2.67765
2020-03-22,0.7209
2020-03-23,4.42842
2020-03-24,4.63439
2020-03-25,4.73738
2020-03-26,3.60453
2020-03-27,3.08959
2020-03-28,2.05973
2020-03-29,1.13285
2020-03-30,3.39855
2020-03-31,4.22245
2020-04-01,3.39855
2020-04-02,4.32543
2020-04-03,2.98661
2020-04-04,1.85375
2020-04-05,0.92687
2020-04-06,4.22245
2020-04-07,3.8105
2020-04-08,4.53141
2020-04-09,4.63439
2020-04-10,2.98661
2020-04-11,2.05973
2020-04-12,1.54479
2020-04-13,3.39855
2020-04-14,3.50154
2020-04-15,1.64778
2020-04-16,4.22245
2020-04-17,3.8105
2020-04-18,2.16271
2020-04-19,3.08959
2020-04-20,3.70751
2020-04-21,4.63439
2020-04-22,3.8105
2020-04-23,5.25231
2020-04-24,3.08959
2020-04-25,1.85375
2020-04-26,2.47167
2020-04-27,4.42842
2020-04-28,2.67765
2020-04-29,3.39855
2020-04-30,3.19258
2020-05-01,1.64778
2020-05-02,1.85375
2020-05-03,2.57466
2020-05-04,3.8105
2020-05-05,3.29557
2020-05-06,2.98661
2020-05-07,5.25231
2020-05-08,3.60453
2020-05-09,2.05973
2020-05-10,1.44181
2020-05-11,2.98661
2020-05-12,3.60453
2020-05-13,2.88362
2020-05-14,4.32543
2020-05-15,4.01647
2020-05-16,0.82389
2020-05-17,1.95674
2020-05-18,4.42842
2020-05-19,2.78063
2020-05-20,5.45829
2020-05-21,4.01647
2020-05-22,3.70751
2020-05-23,1.44181
2020-05-24,5.25231
2020-05-25,5.87023
2020-05-26,3.8105
2020-05-27,3.19258
2020-05-28,4.42842
2020-05-29,3.60453
2020-05-30,2.36869
2020-05-31,1.64778
2020-06-01,13.90319
2020-06-02,5.3553
2020-06-03,3.91349
2020-06-04,3.8105
2020-06-05,3.70751
2020-06-06,2.36869
2020-06-07,1.75077
2020-06-08,4.94335
2020-06-09,11.74047
2020-06-10,6.38516
2020-06-11,4.42842
2020-06-12,4.94335
2020-06-13,2.36869
2020-06-14,2.98661
2020-06-15,5.87023
2020-06-16,3.70751
2020-06-17,3.39855
2020-06-18,4.32543
2020-06-19,3.70751
2020-06-20,1.64778
2020-06-21,2.36869
2020-06-22,5.76725
2020-06-23,4.53141
2020-06-24,4.01647
2020-06-25,2.88362
2020-06-26,5.3553
2020-06-27,1.23583
2020-06-28,2.36869
2020-06-29,3.50154
2020-06-30,2.88362
2020-07-01,3.60453
2020-07-02,4.42842
2020-07-03,2.57466
2020-07-04,1.13285
2020-07-05,1.33882
2020-07-06,3.91349
2020-07-07,2.98661
2020-07-08,4.73738
2020-07-09,5.14933
2020-07-10,1.85375
2020-07-11,1.54479
2020-07-12,2.57466
2020-07-13,3.8105
2020-07-14,2.88362
2020-07-15,3.8105
2020-07-16,3.19258
2020-07-17,3.8105
2020-07-18,0.92687
2020-07-19,0.82389
2020-07-20,3.08959
2020-07-21,2.05973
2020-07-22,2.67765
2020-07-23,2.88362
2020-07-24,3.8105
2020-07-25,1.44181
2020-07-26,1.23583
2020-07-27,2.98661
2020-07-28,3.91349
2020-07-29,2.05973
2020-07-30,3.19258
2020-07-31,4.11946
2020-08-01,1.44181
2020-08-02,0.92687
2020-08-03,2.98661
2020-08-04,2.36869
2020-08-05,4.11946
2020-08-06,2.98661
2020-08-07,3.50154
2020-08-08,1.44181
2020-08-09,1.64778
2020-08-10,2.78063
2020-08-11,3.39855
2020-08-12,16.06591
2020-08-13,4.84037
2020-08-14,2.36869
2020-08-15,2.05973
2020-08-16,1.75077
2020-08-17,1.54479
2020-08-18,3.60453
2020-08-19,5.3553
2020-08-20,2.47167
2020-08-21,3.08959
2020-08-22,1.44181
2020-08-23,1.13285
2020-08-24,4.01647
2020-08-25,3.19258
2020-08-26,3.19258
2020-08-27,3.39855
2020-08-28,2.67765
2020-08-29,0.92687
2020-08-30,1.44181
2020-08-31,4.32543
2020-09-01,3.39855
2020-09-02,2.57466
2020-09-03,2.67765
2020-09-04,2.47167
2020-09-05,0.92687
2020-09-06,1.23583
2020-09-07,3.08959
2020-09-08,5.25231
2020-09-09,3.50154
2020-09-10,4.94335
2020-09-11,2.88362
2020-09-12,1.75077
2020-09-13,1.23583
2020-09-14,4.94335
2020-09-15,4.73738
2020-09-16,3.39855
2020-09-17,4.22245
2020-09-18,3.29557
2020-09-19,2.05973
2020-09-20,1.64778
2020-09-21,2.78063
2020-09-22,2.57466
2020-09-23,4.84037
2020-09-24,3.50154
2020-09-25,3.39855
2020-09-26,1.23583
2020-09-27,1.95674
2020-09-28,2.88362
2020-09-29,2.16271
2020-09-30,0.61791
2020-10-01,1.13285
2020-10-02,1.85375
2020-10-03,2.2657
2020-10-04,1.64778
2020-10-05,2.2657
2020-10-06,2.98661
2020-10-07,3.70751
2020-10-08,2.57466
2020-10-09,2.47167
2020-10-10,1.13285
2020-10-11,1.85375
2020-10-12,3.39855
2020-10-13,2.67765
2020-10-14,2.88362
2020-10-15,4.94335
2020-10-16,2.47167
2020-10-17,1.13285
2020-10-18,1.64778
2020-10-19,2.36869
2020-10-20,4.53141
2020-10-21,2.98661
2020-10-22,3.08959
2020-10-23,3.39855
2020-10-24,2.16271
2020-10-25,3.29557
2020-10-26,3.39855
2020-10-27,2.47167
2020-10-28,3.60453
2020-10-29,2.88362
2020-10-30,3.19258
2020-10-31,1.54479
2020-11-01,1.75077
2020-11-02,3.50154
2020-11-03,3.39855
2020-11-04,2.16271
2020-11-05,3.19258
2020-11-06,3.8105
2020-11-07,1.95674
2020-11-08,1.95674
2020-11-09,4.22245
2020-11-10,2.98661
2020-11-11,3.8105
2020-11-12,4.01647
2020-11-13,3.08959
2020-11-14,2.16271
2020-11-15,1.95674
2020-11-16,4.22245
2020-11-17,3.50154
2020-11-18,3.19258
2020-11-19,2.67765
2020-11-20,2.36869
2020-11-21,2.57466
2020-11-22,1.95674
2020-11-23,3.50154
2020-11-24,3.39855
2020-11-25,4.22245
2020-11-26,4.11946
2020-11-27,2.47167
2020-11-28,1.75077
2020-11-29,2.16271
2020-11-30,3.50154
2020-12-01,4.53141
2020-12-02,4.73738
2020-12-03,2.16271
2020-12-04,3.50154
2020-12-05,2.88362
2020-12-06,1.02986
2020-12-07,3.29557
2020-12-08,5.04634
2020-12-09,4.01647
2020-12-10,3.70751
2020-12-11,3.50154
2020-12-12,1.64778
2020-12-13,0.82389
2020-12-14,2.57466
2020-12-15,3.60453
2020-12-16,2.47167
2020-12-17,3.29557
2020-12-18,2.47167
2020-12-19,1.44181
2020-12-20,0.51493
2020-12-21,3.29557
2020-12-22,1.33882
2020-12-23,1.75077
2020-12-24,1.75077
2020-12-25,0.92687
2020-12-26,0.7209
2020-12-27,1.23583
2020-12-28,3.29557
2020-12-29,2.57466
2020-12-30,2.2657
2020-12-31,2.2657
2021-01-01,0.92687
2021-01-02,1.33882
2021-01-03,0.92687
2021-01-04,2.98661
2021-01-05,3.60453
2021-01-06,3.8105
2021-01-07,3.60453
2021-01-08,2.98661
2021-01-09,0.7209
2021-01-10,0.7209
2021-01-11,3.50154
2021-01-12,3.19258
2021-01-13,3.08959
2021-01-14,2.78063
2021-01-15,3.70751
2021-01-17,0.61791
2021-01-18,2.2657
2021-01-19,3.08959
2021-01-20,2.16271
2021-01-21,2.98661
2021-01-22,2.47167
2021-01-23,0.61791
2021-01-24,1.44181
2021-01-25,2.47167
2021-01-26,2.88362
2021-01-27,1.54479
2021-01-28,4.53141
2021-01-29,2.36869
2021-01-30,0.51493
2021-01-31,1.44181
2021-02-01,3.60453
2021-02-02,1.13285
2021-02-03,2.78063
2021-02-04,2.2657
2021-02-05,1.64778
2021-02-06,1.02986
2021-02-07,1.75077
2021-02-08,2.16271
2021-02-09,2.2657
2021-02-10,1.64778
2021-02-11,0.51493
2021-02-12,0.82389
2021-02-14,1.44181
2021-02-15,4.01647
2021-02-16,3.91349
2021-02-17,3.08959
2021-02-18,3.29557
2021-02-19,2.98661
2021-02-21,0.7209
2021-02-22,3.8105
2021-02-23,2.36869
2021-02-24,4.01647
2021-02-25,2.57466
2021-02-26,3.70751
2021-02-27,1.02986
2021-02-28,1.33882
2021-03-01,0.82389
2021-03-02,4.32543
2021-03-03,4.73738
2021-03-04,2.88362
2021-03-05,3.08959
2021-03-06,1.02986
2021-03-07,1.02986
2021-03-08,2.78063
