date,자동차보험료계산기
2020-03-20,46.33204
2020-03-21,29.72972
2020-03-22,38.99613
2020-03-23,45.75289
2020-03-24,45.17374
2020-03-25,44.59459
2020-03-26,37.45173
2020-03-27,29.72972
2020-03-28,30.69498
2020-03-29,41.11969
2020-03-30,51.5444
2020-03-31,40.73359
2020-04-01,39.76833
2020-04-02,47.87644
2020-04-03,38.80308
2020-04-04,41.69884
2020-04-05,39.96138
2020-04-06,47.68339
2020-04-07,48.64864
2020-04-08,51.1583
2020-04-09,48.45559
2020-04-10,44.01544
2020-04-11,38.80308
2020-04-12,36.48648
2020-04-13,52.3166
2020-04-14,46.71814
2020-04-15,39.76833
2020-04-16,49.03474
2020-04-17,48.06949
2020-04-18,37.06563
2020-04-19,37.83783
2020-04-20,55.59845
2020-04-21,49.22779
2020-04-22,47.10424
2020-04-23,50.19305
2020-04-24,38.03088
2020-04-25,32.81853
2020-04-26,37.83783
2020-04-27,53.66795
2020-04-28,42.66409
2020-04-29,43.62934
2020-04-30,32.81853
2020-05-01,34.94208
2020-05-02,30.69498
2020-05-03,34.94208
2020-05-04,50.96525
2020-05-05,42.47104
2020-05-06,58.8803
2020-05-07,45.94594
2020-05-08,45.17374
2020-05-09,38.61003
2020-05-10,37.25868
2020-05-11,52.50965
2020-05-12,45.94594
2020-05-13,46.52509
2020-05-14,52.12355
2020-05-15,47.87644
2020-05-16,38.99613
2020-05-17,38.41698
2020-05-18,51.5444
2020-05-19,55.21235
2020-05-20,47.29729
2020-05-21,47.68339
2020-05-22,46.52509
2020-05-23,35.13513
2020-05-24,40.34749
2020-05-25,53.0888
2020-05-26,47.29729
2020-05-27,54.2471
2020-05-28,40.15444
2020-05-29,38.03088
2020-05-30,33.59073
2020-05-31,36.48648
2020-06-01,48.45559
2020-06-02,47.29729
2020-06-03,44.20849
2020-06-04,42.47104
2020-06-05,33.20463
2020-06-06,35.71428
2020-06-07,33.97683
2020-06-08,47.29729
2020-06-09,44.20849
2020-06-10,47.29729
2020-06-11,43.82239
2020-06-12,37.45173
2020-06-13,27.41312
2020-06-14,33.01158
2020-06-15,47.68339
2020-06-16,44.59459
2020-06-17,41.89189
2020-06-18,31.66023
2020-06-19,34.55598
2020-06-20,28.95752
2020-06-21,33.78378
2020-06-22,44.20849
2020-06-23,42.66409
2020-06-24,45.75289
2020-06-25,44.40154
2020-06-26,34.94208
2020-06-27,25.67567
2020-06-28,33.59073
2020-06-29,51.5444
2020-06-30,44.40154
2020-07-01,43.24324
2020-07-02,44.20849
2020-07-03,36.29343
2020-07-04,27.99227
2020-07-05,38.03088
2020-07-06,40.54054
2020-07-07,40.73359
2020-07-08,47.29729
2020-07-09,41.31274
2020-07-10,36.87258
2020-07-11,31.85328
2020-07-12,37.64478
2020-07-13,50.3861
2020-07-14,48.06949
2020-07-15,53.861
2020-07-16,45.94594
2020-07-17,41.50579
2020-07-18,27.99227
2020-07-19,29.53667
2020-07-20,44.01544
2020-07-21,47.10424
2020-07-22,44.01544
2020-07-23,43.82239
2020-07-24,38.80308
2020-07-25,33.78378
2020-07-26,31.27413
2020-07-27,40.73359
2020-07-28,49.80694
2020-07-29,42.08494
2020-07-30,38.41698
2020-07-31,35.13513
2020-08-01,29.72972
2020-08-02,27.79922
2020-08-03,38.99613
2020-08-04,38.41698
2020-08-05,37.83783
2020-08-06,37.83783
2020-08-07,40.92664
2020-08-08,21.62162
2020-08-09,29.53667
2020-08-10,38.80308
2020-08-11,45.17374
2020-08-12,44.40154
2020-08-13,41.31274
2020-08-14,38.99613
2020-08-15,30.69498
2020-08-16,32.23938
2020-08-17,40.73359
2020-08-18,43.24324
2020-08-19,43.24324
2020-08-20,40.34749
2020-08-21,37.64478
2020-08-22,31.08108
2020-08-23,33.01158
2020-08-24,37.45173
2020-08-25,48.45559
2020-08-26,36.48648
2020-08-27,47.49034
2020-08-28,41.89189
2020-08-29,36.29343
2020-08-30,30.69498
2020-08-31,43.82239
2020-09-01,37.83783
2020-09-02,41.89189
2020-09-03,34.94208
2020-09-04,39.76833
2020-09-05,34.16988
2020-09-06,35.52123
2020-09-07,38.03088
2020-09-08,42.85714
2020-09-09,49.03474
2020-09-10,43.82239
2020-09-11,36.10038
2020-09-12,28.76447
2020-09-13,29.92277
2020-09-14,40.54054
2020-09-15,44.78764
2020-09-16,41.11969
2020-09-17,40.73359
2020-09-18,35.71428
2020-09-19,26.44787
2020-09-20,31.46718
2020-09-21,41.69884
2020-09-22,48.64864
2020-09-23,41.50579
2020-09-24,41.31274
2020-09-25,36.48648
