date,주식매매일지
2020-03-20,36.50793
2020-03-21,32.14285
2020-03-22,19.44444
2020-03-23,30.15873
2020-03-24,30.15873
2020-03-25,35.71428
2020-03-26,46.03174
2020-03-27,43.25396
2020-03-28,27.38095
2020-03-29,30.55555
2020-03-30,39.68253
2020-03-31,48.01587
2020-04-01,53.57142
2020-04-02,45.23809
2020-04-03,30.55555
2020-04-04,27.38095
2020-04-05,27.77777
2020-04-06,44.04761
2020-04-07,48.80952
2020-04-08,48.80952
2020-04-09,38.88888
2020-04-10,37.30158
2020-04-11,30.55555
2020-04-12,25.79365
2020-04-13,31.3492
2020-04-14,44.44444
2020-04-15,25.0
2020-04-16,61.11111
2020-04-17,58.33333
2020-04-18,33.73015
2020-04-19,38.49206
2020-04-20,57.9365
2020-04-21,46.42857
2020-04-22,42.46031
2020-04-23,38.49206
2020-04-24,28.57142
2020-04-25,29.7619
2020-04-26,23.80952
2020-04-27,36.11111
2020-04-28,43.65079
2020-04-29,28.96825
2020-04-30,21.03174
2020-05-01,15.47619
2020-05-02,19.44444
2020-05-03,15.47619
2020-05-04,26.5873
2020-05-05,23.41269
2020-05-06,23.80952
2020-05-07,23.01587
2020-05-08,30.95238
2020-05-09,19.44444
2020-05-10,22.61904
2020-05-11,29.7619
2020-05-12,36.11111
2020-05-13,29.36507
2020-05-14,25.39682
2020-05-15,31.74603
2020-05-16,33.33333
2020-05-17,21.42857
2020-05-18,31.74603
2020-05-19,34.12698
2020-05-20,41.66666
2020-05-21,34.12698
2020-05-22,40.87301
2020-05-23,25.0
2020-05-24,31.3492
2020-05-25,38.88888
2020-05-26,42.85714
2020-05-27,40.47619
2020-05-28,34.12698
2020-05-29,35.31746
2020-05-30,19.04761
2020-05-31,20.63492
2020-06-01,34.92063
2020-06-02,38.88888
2020-06-03,33.73015
2020-06-04,33.73015
2020-06-05,32.9365
2020-06-06,25.39682
2020-06-07,28.57142
2020-06-08,39.68253
2020-06-09,42.06349
2020-06-10,33.33333
2020-06-11,34.5238
2020-06-12,29.7619
2020-06-13,26.98412
2020-06-14,22.22222
2020-06-15,24.60317
2020-06-16,35.71428
2020-06-17,32.53968
2020-06-18,25.39682
2020-06-19,23.01587
2020-06-20,23.01587
2020-06-21,21.82539
2020-06-22,23.41269
2020-06-23,34.92063
2020-06-24,32.9365
2020-06-25,30.15873
2020-06-26,28.96825
2020-06-27,20.23809
2020-06-28,18.65079
2020-06-29,25.79365
2020-06-30,36.11111
2020-07-01,35.71428
2020-07-02,32.14285
2020-07-03,38.09523
2020-07-04,23.41269
2020-07-05,31.3492
2020-07-06,45.63492
2020-07-07,56.74603
2020-07-08,47.22222
2020-07-09,38.49206
2020-07-10,34.12698
2020-07-11,27.77777
2020-07-12,36.50793
2020-07-13,55.95238
2020-07-14,50.79365
2020-07-15,40.47619
2020-07-16,42.85714
2020-07-17,36.50793
2020-07-18,30.15873
2020-07-19,29.7619
