date,3D프린터출력
2020-03-20,14.28571
2020-03-21,4.43349
2020-03-22,2.46305
2020-03-23,13.30049
2020-03-24,13.30049
2020-03-25,18.2266
2020-03-26,10.34482
2020-03-27,16.25615
2020-03-28,5.91133
2020-03-29,6.40394
2020-03-30,14.77832
2020-03-31,17.24137
2020-04-01,17.24137
2020-04-02,19.70443
2020-04-03,13.30049
2020-04-04,7.38916
2020-04-05,7.88177
2020-04-06,22.66009
2020-04-07,19.70443
2020-04-08,19.21182
2020-04-09,19.21182
2020-04-10,14.77832
2020-04-11,12.31527
2020-04-12,5.41871
2020-04-13,16.74876
2020-04-14,17.24137
2020-04-15,10.34482
2020-04-16,15.76354
2020-04-17,16.25615
2020-04-18,3.44827
2020-04-19,8.86699
2020-04-20,20.19704
2020-04-21,18.2266
2020-04-22,32.51231
2020-04-23,35.46798
2020-04-24,30.54187
2020-04-25,11.33004
2020-04-26,10.83743
2020-04-27,13.30049
2020-04-28,21.18226
2020-04-29,17.24137
2020-04-30,16.25615
2020-05-01,10.83743
2020-05-02,2.95566
2020-05-03,9.85221
2020-05-04,26.60098
2020-05-05,9.3596
2020-05-06,20.19704
2020-05-07,17.24137
2020-05-08,15.76354
2020-05-09,12.31527
2020-05-10,6.89655
2020-05-11,21.18226
2020-05-12,16.74876
2020-05-13,17.24137
2020-05-14,16.25615
2020-05-15,20.68965
2020-05-16,10.83743
2020-05-17,13.30049
2020-05-18,22.16748
2020-05-19,23.1527
2020-05-20,20.68965
2020-05-21,25.61576
2020-05-22,13.7931
2020-05-23,8.37438
2020-05-24,12.31527
2020-05-25,17.24137
2020-05-26,16.74876
2020-05-27,16.74876
2020-05-28,25.12315
2020-05-29,15.27093
2020-05-30,10.83743
2020-05-31,8.86699
2020-06-01,9.85221
2020-06-02,12.31527
2020-06-03,20.68965
2020-06-04,11.82266
2020-06-05,8.86699
2020-06-06,7.38916
2020-06-07,6.40394
2020-06-08,10.83743
2020-06-09,21.67487
2020-06-10,18.71921
2020-06-11,19.70443
2020-06-12,13.7931
2020-06-13,9.3596
2020-06-14,6.89655
2020-06-15,17.73399
2020-06-16,18.71921
2020-06-17,22.66009
2020-06-18,17.24137
2020-06-19,22.16748
2020-06-20,12.80788
2020-06-21,10.34482
2020-06-22,25.61576
2020-06-23,24.13793
2020-06-24,21.67487
2020-06-25,18.2266
2020-06-26,17.73399
2020-06-27,10.83743
2020-06-28,10.83743
2020-06-29,16.25615
2020-06-30,16.74876
2020-07-01,13.7931
2020-07-02,15.27093
2020-07-03,16.74876
2020-07-04,5.91133
2020-07-05,8.37438
2020-07-06,20.68965
2020-07-07,19.70443
2020-07-08,23.64532
2020-07-09,19.21182
2020-07-10,16.74876
2020-07-11,6.89655
2020-07-12,13.30049
2020-07-13,16.74876
2020-07-14,15.76354
2020-07-15,16.74876
2020-07-16,15.27093
2020-07-17,17.24137
2020-07-18,11.82266
2020-07-19,5.91133
2020-07-20,12.80788
2020-07-21,23.1527
2020-07-22,21.67487
2020-07-23,25.61576
2020-07-24,15.27093
2020-07-25,5.41871
2020-07-26,5.41871
2020-07-27,15.27093
2020-07-28,16.25615
2020-07-29,16.25615
2020-07-30,21.18226
2020-07-31,19.70443
2020-08-01,3.94088
2020-08-02,4.43349
2020-08-03,14.77832
2020-08-04,23.64532
2020-08-05,18.2266
2020-08-06,17.24137
2020-08-07,17.24137
2020-08-08,8.86699
2020-08-09,7.88177
2020-08-10,13.7931
2020-08-11,15.76354
2020-08-12,22.66009
2020-08-13,15.76354
2020-08-14,13.7931
2020-08-15,6.89655
2020-08-16,4.43349
2020-08-17,13.7931
2020-08-18,17.24137
2020-08-19,15.76354
2020-08-20,19.21182
2020-08-21,15.76354
2020-08-22,12.80788
2020-08-23,10.83743
2020-08-24,15.76354
2020-08-25,23.1527
2020-08-26,17.24137
2020-08-27,16.74876
2020-08-28,17.73399
2020-08-29,2.46305
2020-08-30,6.40394
2020-08-31,8.37438
2020-09-01,7.88177
2020-09-02,9.3596
2020-09-03,10.34482
2020-09-04,9.85221
2020-09-05,10.34482
2020-09-06,9.3596
2020-09-07,12.31527
2020-09-08,16.25615
2020-09-09,20.68965
2020-09-10,25.61576
2020-09-11,22.16748
2020-09-12,15.27093
2020-09-13,10.83743
2020-09-14,28.07881
2020-09-15,17.24137
2020-09-16,15.76354
2020-09-17,16.74876
2020-09-18,12.31527
2020-09-19,10.34482
2020-09-20,11.33004
2020-09-21,19.21182
2020-09-22,25.61576
2020-09-23,14.77832
2020-09-24,19.21182
2020-09-25,17.73399
2020-09-26,7.88177
2020-09-27,9.3596
2020-09-28,18.2266
2020-09-29,6.89655
2020-09-30,2.95566
2020-10-01,9.3596
2020-10-02,3.94088
2020-10-04,12.80788
2020-10-05,18.2266
2020-10-06,19.21182
2020-10-07,22.16748
2020-10-08,20.19704
2020-10-09,7.38916
2020-10-10,4.9261
2020-10-11,12.80788
2020-10-12,21.18226
2020-10-13,14.28571
2020-10-14,18.71921
2020-10-15,16.74876
2020-10-16,15.27093
2020-10-17,12.31527
2020-10-18,12.80788
2020-10-19,23.1527
2020-10-20,20.68965
2020-10-21,14.28571
2020-10-22,16.25615
2020-10-23,12.31527
2020-10-24,12.31527
2020-10-25,9.85221
2020-10-26,20.19704
2020-10-27,21.18226
2020-10-28,21.18226
2020-10-29,15.27093
2020-10-30,18.71921
2020-10-31,6.40394
2020-11-01,7.88177
2020-11-02,18.71921
2020-11-03,15.76354
2020-11-04,11.33004
2020-11-05,14.77832
2020-11-06,10.83743
2020-11-07,10.83743
2020-11-08,10.83743
2020-11-09,19.70443
2020-11-10,6.89655
