date,S&P500
2020-03-20,19.68608
2020-03-21,12.92453
2020-03-22,6.02553
2020-03-23,16.15234
2020-03-24,20.4886
2020-03-25,19.61957
2020-03-26,17.38494
2020-03-27,14.64041
2020-03-28,7.635
2020-03-29,3.71109
2020-03-30,9.67899
2020-03-31,11.99787
2020-04-01,12.23286
2020-04-02,11.51458
2020-04-03,8.98288
2020-04-04,5.32943
2020-04-05,2.77556
2020-04-06,7.96754
2020-04-07,11.45694
2020-04-08,9.90955
2020-04-09,10.57905
2020-04-10,9.35532
2020-04-11,4.22984
2020-04-12,3.04158
2020-04-13,7.05861
2020-04-14,8.97401
2020-04-15,6.9256
2020-04-16,7.81679
2020-04-17,8.70355
2020-04-18,5.3649
2020-04-19,2.96621
2020-04-20,6.56202
2020-04-21,9.56814
2020-04-22,9.31542
2020-04-23,7.69708
2020-04-24,6.89013
2020-04-25,4.21654
2020-04-26,2.34991
2020-04-27,5.4314
2020-04-28,6.97437
2020-04-29,6.93446
2020-04-30,5.81271
2020-05-01,4.95699
2020-05-02,3.63571
2020-05-03,2.61151
2020-05-04,5.25405
2020-05-05,5.4314
2020-05-06,6.26496
2020-05-07,6.48222
2020-05-08,5.57772
2020-05-09,3.56034
2020-05-10,2.08388
2020-05-11,4.87274
2020-05-12,6.12308
2020-05-13,5.71073
2020-05-14,6.52212
2020-05-15,6.10091
2020-05-16,3.62241
2020-05-17,1.82672
2020-05-18,3.91061
2020-05-19,7.36898
2020-05-20,6.58419
2020-05-21,6.07874
2020-05-22,5.42254
2020-05-23,3.10809
2020-05-24,1.85776
2020-05-25,4.45597
2020-05-26,6.54872
2020-05-27,6.98324
2020-05-28,7.10738
2020-05-29,6.25166
2020-05-30,3.72439
2020-05-31,1.89323
2020-06-01,5.10774
2020-06-02,6.57976
2020-06-03,6.84135
2020-06-04,6.71277
2020-06-05,6.6906
2020-06-06,4.25201
2020-06-07,2.30114
2020-06-08,5.99893
2020-06-09,7.44878
2020-06-10,7.2936
2020-06-11,7.90103
2020-06-12,9.86964
2020-06-13,4.4471
2020-06-14,1.86219
2020-06-15,9.42626
2020-06-16,11.59439
2020-06-17,8.49073
2020-06-18,7.51086
2020-06-19,6.51325
2020-06-20,4.11013
2020-06-21,1.9686
2020-06-22,4.63775
2020-06-23,6.6906
2020-06-24,6.39797
2020-06-25,8.21583
2020-06-26,7.06748
2020-06-27,5.15207
2020-06-28,2.33218
2020-06-29,5.71073
2020-06-30,8.2114
2020-07-01,7.5818
2020-07-02,8.27347
2020-07-03,7.14729
2020-07-04,3.19677
2020-07-05,2.2169
2020-07-06,6.77041
2020-07-07,9.17353
2020-07-08,8.56167
2020-07-09,7.9099
2020-07-10,7.17389
2020-07-11,5.0767
2020-07-12,3.01055
2020-07-13,6.68617
2020-07-14,10.73423
2020-07-15,9.13806
2020-07-16,7.37341
2020-07-17,6.09204
2020-07-18,3.84854
2020-07-19,2.29227
2020-07-20,5.99893
2020-07-21,9.36419
2020-07-22,10.35293
2020-07-23,16.13904
2020-07-24,9.35089
2020-07-25,4.97029
2020-07-26,2.87753
2020-07-27,6.296
2020-07-28,9.1691
2020-07-29,8.48186
2020-07-30,8.57054
2020-07-31,8.32668
2020-08-01,4.39389
2020-08-02,2.35434
2020-08-03,5.1166
2020-08-04,7.59953
2020-08-05,7.78575
2020-08-06,6.87682
2020-08-07,7.45765
2020-08-08,4.722
2020-08-09,2.93074
2020-08-10,7.635
2020-08-11,9.10703
2020-08-12,10.39726
2020-08-13,9.1425
2020-08-14,7.35567
2020-08-15,4.63775
2020-08-16,2.17256
2020-08-17,3.99929
2020-08-18,8.02518
2020-08-19,10.20218
2020-08-20,8.66808
2020-08-21,8.35328
2020-08-22,4.8018
2020-08-23,2.96621
2020-08-24,5.12991
2020-08-25,7.65274
2020-08-26,7.81679
2020-08-27,8.02075
2020-08-28,6.91229
2020-08-29,4.13673
2020-08-30,2.95734
2020-08-31,6.46891
2020-09-01,10.57462
2020-09-02,12.95113
2020-09-03,12.40134
2020-09-04,19.65505
2020-09-05,43.13203
2020-09-06,6.24279
2020-09-07,10.4549
2020-09-08,14.18817
2020-09-09,20.59501
2020-09-10,11.01356
2020-09-11,9.82974
2020-09-12,6.93446
2020-09-13,3.51157
2020-09-14,6.48222
2020-09-15,8.75676
2020-09-16,8.02518
2020-09-17,8.8942
