date,엔켐주가
2020-03-25,0.01817
2020-04-07,0.02422
2020-05-04,0.01514
2020-05-27,0.02119
2020-05-29,0.01514
2020-05-30,0.01514
2020-06-01,0.03028
2020-06-02,0.02422
2020-06-03,0.01514
2020-06-04,0.03936
2020-06-05,0.02422
2020-06-07,0.01817
2020-06-08,0.01817
2020-06-11,0.01817
2020-06-15,0.01514
2020-06-18,0.02422
2020-06-28,0.02119
2020-07-07,0.01817
2020-07-10,0.01817
2020-08-12,0.02422
2020-08-13,0.01817
2020-08-18,0.01817
2020-08-19,0.01514
2020-08-20,0.02119
2020-08-25,0.01817
2020-08-30,0.03331
2020-09-03,0.01514
2020-09-12,0.01514
2020-09-13,0.01514
2020-09-18,0.01514
2020-09-25,0.02422
2020-11-07,0.01514
2020-11-17,0.03028
2020-11-18,0.04239
2020-11-19,0.03331
2020-11-22,0.01514
2020-11-23,0.02119
2020-11-24,0.02119
2020-11-25,0.01514
2020-11-26,0.01514
2020-11-27,0.03936
2020-11-28,0.06056
2020-11-29,0.05148
2020-11-30,0.03028
2020-12-01,0.01817
2020-12-02,0.04239
2020-12-03,0.02422
2020-12-04,0.05148
2020-12-07,0.02119
2020-12-08,0.02119
2020-12-09,0.02119
2020-12-10,0.01514
2020-12-11,0.01817
2020-12-13,0.01514
2020-12-14,0.01514
2020-12-15,0.04239
2020-12-17,0.03028
2020-12-18,0.05148
2020-12-19,0.04845
2020-12-20,0.08176
2020-12-21,0.06359
2020-12-22,0.04239
2020-12-23,0.02725
2020-12-25,0.01817
2021-01-04,0.02725
2021-01-06,0.01514
2021-01-07,0.03331
2021-01-08,0.01514
2021-01-09,0.02422
2021-01-11,0.01817
2021-01-12,0.03634
2021-01-13,0.03331
2021-01-14,0.02725
2021-01-15,0.03936
2021-01-16,0.02422
2021-01-17,0.01817
2021-01-18,0.01817
2021-01-19,0.02119
2021-01-20,0.02422
2021-01-21,0.02422
2021-01-22,0.03634
2021-01-24,0.02725
2021-01-25,0.01514
2021-01-26,0.02725
2021-01-27,0.03331
2021-01-28,0.02119
2021-01-29,0.02119
2021-01-30,0.01817
2021-02-02,0.03331
2021-02-04,0.01514
2021-03-23,0.01817
2021-04-26,0.04845
2021-04-27,0.06359
2021-04-28,0.05148
2021-04-29,0.01514
2021-05-01,0.02422
2021-05-05,0.02422
2021-05-06,0.01817
2021-05-07,0.03331
2021-05-13,0.01514
2021-05-15,0.01514
2021-05-17,0.02422
2021-05-19,0.01514
2021-05-20,0.03634
2021-05-21,0.02422
2021-05-25,0.01817
2021-05-27,0.03331
2021-05-28,0.04239
2021-06-09,0.02119
2021-06-10,0.01817
2021-06-12,0.01817
2021-06-16,0.02725
2021-06-17,0.01817
2021-06-21,0.01817
2021-06-24,0.02119
2021-06-28,0.02119
2021-06-30,0.01514
2021-07-06,0.01817
2021-07-13,0.01514
2021-07-14,0.03634
2021-07-15,0.01817
2021-07-16,0.01514
2021-07-19,0.40883
2021-07-20,0.10902
2021-07-21,0.06359
2021-07-22,0.06359
2021-07-23,0.08176
2021-07-24,0.03936
2021-07-25,0.06056
2021-07-26,0.04239
2021-07-27,0.07268
2021-07-28,0.05753
2021-07-29,0.04542
2021-08-02,0.02119
2021-08-04,0.06056
2021-08-05,0.06056
2021-08-06,0.03634
2021-08-07,0.02422
2021-08-08,0.03936
2021-08-09,0.03936
2021-08-10,0.03331
2021-08-11,0.04845
2021-08-12,0.01817
2021-08-13,0.02119
2021-08-14,0.03331
2021-08-15,0.03936
2021-08-16,0.04542
2021-08-17,0.02725
2021-08-18,0.04542
2021-08-19,0.04239
2021-08-20,0.04542
2021-08-21,0.01817
2021-08-22,0.02422
2021-08-23,0.03028
2021-08-24,0.03936
2021-08-25,0.02725
2021-08-26,0.01514
2021-08-28,0.01817
2021-08-29,0.02119
2021-08-30,0.01817
2021-09-01,0.02422
2021-09-03,0.01514
2021-09-05,0.01514
2021-09-06,0.02119
2021-09-07,0.02422
2021-09-08,0.03331
2021-09-09,0.04542
2021-09-10,0.01817
2021-09-11,0.02119
2021-09-12,0.01817
2021-09-13,0.03028
2021-09-14,0.11507
2021-09-15,0.04239
2021-09-16,0.02119
2021-09-17,0.01514
2021-09-19,0.02725
2021-09-22,0.01514
2021-09-23,0.03936
2021-09-24,0.03028
2021-09-25,0.01514
2021-09-26,0.02725
2021-09-27,0.06965
2021-09-28,0.03331
2021-09-29,0.01817
2021-09-30,0.02119
2021-10-04,0.01817
