date,엔화투자
2020-03-20,0.21635
2020-03-21,0.1875
2020-03-22,0.12981
2020-03-23,0.30289
2020-03-24,0.21635
2020-03-25,0.44713
2020-03-26,0.31732
2020-03-27,0.15866
2020-03-28,0.23078
2020-03-29,0.40386
2020-03-30,0.11539
2020-04-01,0.12981
2020-04-02,0.20193
2020-04-03,0.15866
2020-04-04,0.11539
2020-04-06,0.11539
2020-04-07,0.10096
2020-04-08,0.12981
2020-04-09,0.10096
2020-04-11,0.10096
2020-04-12,0.23078
2020-04-16,0.08654
2020-04-17,0.07211
2020-04-21,0.10096
2020-04-22,0.08654
2020-04-23,0.10096
2020-04-25,0.07211
2020-04-26,0.17308
2020-04-30,0.14423
2020-05-01,0.07211
2020-05-03,0.07211
2020-05-05,0.11539
2020-05-06,0.11539
2020-05-11,0.08654
2020-05-17,0.07211
2020-05-28,0.10096
2020-05-29,0.10096
2020-06-02,0.07211
2020-06-03,0.07211
2020-06-04,0.11539
2020-06-05,0.08654
2020-06-08,0.28847
2020-06-09,0.21635
2020-06-10,0.14423
2020-06-11,0.15866
2020-06-12,0.17308
2020-06-13,0.08654
2020-06-14,0.15866
2020-06-15,0.11539
2020-06-16,0.08654
2020-06-18,0.10096
2020-06-21,0.10096
2020-06-22,0.07211
2020-07-04,0.08654
2020-07-21,0.12981
2020-07-25,0.11539
2020-07-26,0.11539
2020-07-27,0.08654
2020-07-28,0.1875
2020-07-29,0.10096
2020-07-30,0.08654
2020-07-31,0.07211
2020-08-04,0.10096
2020-08-10,0.08654
2020-08-12,0.08654
2020-08-18,0.07211
2020-08-19,0.10096
2020-08-28,0.1875
2020-08-29,0.12981
2020-08-31,0.07211
2020-09-01,0.10096
2020-09-02,0.15866
2020-09-12,0.11539
2020-09-13,0.07211
2020-09-16,0.08654
2020-09-17,0.07211
2020-09-30,0.07211
2020-10-10,0.08654
2020-10-15,0.10096
2020-10-16,0.08654
2020-10-17,0.07211
2020-10-18,0.07211
2020-10-27,0.07211
2020-11-10,0.15866
2020-11-11,0.08654
