date,투자신탁
2020-03-20,48.19672
2020-03-21,24.91803
2020-03-22,27.86885
2020-03-23,44.91803
2020-03-24,53.77049
2020-03-25,37.37704
2020-03-26,30.81967
2020-03-27,29.18032
2020-03-28,12.78688
2020-03-29,13.11475
2020-03-30,28.19672
2020-03-31,29.83606
2020-04-01,37.04918
2020-04-02,21.96721
2020-04-03,16.39344
2020-04-04,10.16393
2020-04-05,11.4754
2020-04-06,35.40983
2020-04-07,32.78688
2020-04-08,19.34426
2020-04-09,31.80327
2020-04-10,25.2459
2020-04-11,15.08196
2020-04-12,12.78688
2020-04-13,25.2459
2020-04-14,24.26229
2020-04-15,15.40983
2020-04-16,24.59016
2020-04-17,18.03278
2020-04-18,11.4754
2020-04-19,14.09836
2020-04-20,22.62295
2020-04-21,21.96721
2020-04-22,23.60655
2020-04-23,26.2295
2020-04-24,24.59016
2020-04-25,11.80327
2020-04-26,16.06557
2020-04-27,36.72131
2020-04-28,29.83606
2020-04-29,28.85245
2020-04-30,10.81967
2020-05-01,13.77049
2020-05-02,8.19672
2020-05-03,9.83606
2020-05-04,25.2459
2020-05-05,14.75409
2020-05-06,25.57377
2020-05-07,18.36065
2020-05-08,26.2295
2020-05-09,12.78688
2020-05-10,12.13114
2020-05-11,33.11475
2020-05-12,24.91803
2020-05-13,20.9836
2020-05-14,26.88524
2020-05-15,27.21311
2020-05-16,12.78688
2020-05-17,17.04918
2020-05-18,23.60655
2020-05-19,23.93442
2020-05-20,21.63934
2020-05-21,27.21311
2020-05-22,21.96721
2020-05-23,13.44262
2020-05-24,14.09836
2020-05-25,28.85245
2020-05-26,27.21311
2020-05-27,20.9836
2020-05-28,27.21311
2020-05-29,28.85245
2020-05-30,9.83606
2020-05-31,15.08196
2020-06-01,28.85245
2020-06-02,27.86885
2020-06-03,36.06557
2020-06-04,36.06557
2020-06-05,22.95081
2020-06-06,17.04918
2020-06-07,15.08196
2020-06-08,33.77049
2020-06-09,31.80327
2020-06-10,31.80327
2020-06-11,57.04918
2020-06-12,29.50819
2020-06-13,13.77049
2020-06-14,12.78688
2020-06-15,29.18032
2020-06-16,32.78688
2020-06-17,21.96721
2020-06-18,24.59016
2020-06-19,23.27868
2020-06-20,16.06557
2020-06-21,15.08196
2020-06-22,33.44262
2020-06-23,27.21311
2020-06-24,30.4918
2020-06-25,38.68852
2020-06-26,37.70491
2020-06-27,11.14754
2020-06-28,18.36065
2020-06-29,21.96721
2020-06-30,23.60655
2020-07-01,22.95081
2020-07-02,23.93442
2020-07-03,20.65573
2020-07-04,11.4754
2020-07-05,9.18032
2020-07-06,28.52459
2020-07-07,27.86885
2020-07-08,25.57377
2020-07-09,34.42622
2020-07-10,30.81967
2020-07-11,11.80327
2020-07-12,9.83606
2020-07-13,22.95081
2020-07-14,26.55737
2020-07-15,31.4754
2020-07-16,24.59016
2020-07-17,24.91803
2020-07-18,7.54098
2020-07-19,8.85245
2020-07-20,21.63934
