date,연금저축한도
2020-03-20,5.6277
2020-03-22,1.94805
2020-03-23,3.4632
2020-03-24,2.5974
2020-03-25,3.4632
2020-03-26,3.67965
2020-03-27,4.329
2020-03-29,1.08225
2020-03-30,2.81385
2020-03-31,3.4632
2020-04-01,4.329
2020-04-02,3.4632
2020-04-03,2.38095
2020-04-05,1.2987
2020-04-06,4.11255
2020-04-07,3.24675
2020-04-08,5.1948
2020-04-09,1.2987
2020-04-10,2.81385
2020-04-13,3.67965
2020-04-14,3.8961
2020-04-16,3.4632
2020-04-17,3.0303
2020-04-18,1.08225
2020-04-19,2.38095
2020-04-20,6.27705
2020-04-21,3.8961
2020-04-22,3.67965
2020-04-23,2.38095
2020-04-24,3.4632
2020-04-25,1.51515
2020-04-27,3.0303
2020-04-28,1.94805
2020-04-29,3.0303
2020-04-30,2.81385
2020-05-02,1.2987
2020-05-04,4.97835
2020-05-05,3.4632
2020-05-06,5.84415
2020-05-07,3.67965
2020-05-08,3.24675
2020-05-09,1.08225
2020-05-10,1.08225
2020-05-11,4.97835
2020-05-12,8.00865
2020-05-13,6.0606
2020-05-14,4.7619
2020-05-15,7.3593
2020-05-16,3.0303
2020-05-17,3.67965
2020-05-18,6.9264
2020-05-19,7.7922
2020-05-20,4.97835
2020-05-21,9.0909
2020-05-22,8.00865
2020-05-23,4.54545
2020-05-24,2.5974
2020-05-25,7.57575
2020-05-26,7.57575
2020-05-27,9.5238
2020-05-28,3.8961
2020-05-29,5.41125
2020-05-30,1.51515
2020-05-31,3.0303
2020-06-01,4.7619
2020-06-02,7.7922
2020-06-03,3.67965
2020-06-04,1.2987
2020-06-05,4.54545
2020-06-06,2.5974
2020-06-07,1.2987
2020-06-08,4.11255
2020-06-09,3.4632
2020-06-10,3.4632
2020-06-11,4.97835
2020-06-12,1.7316
2020-06-13,1.94805
2020-06-14,1.08225
2020-06-15,6.0606
2020-06-16,2.81385
2020-06-17,2.81385
2020-06-18,2.5974
2020-06-19,4.97835
2020-06-20,1.08225
2020-06-22,6.27705
2020-06-23,6.27705
2020-06-24,8.2251
2020-06-25,5.6277
2020-06-26,6.4935
2020-06-28,1.2987
2020-06-29,4.11255
2020-06-30,3.8961
2020-07-01,3.24675
2020-07-02,4.7619
2020-07-03,1.7316
2020-07-04,1.51515
2020-07-05,1.2987
2020-07-06,4.11255
2020-07-07,2.81385
2020-07-08,2.1645
2020-07-09,1.2987
2020-07-10,4.97835
2020-07-11,1.51515
2020-07-13,2.38095
2020-07-14,3.0303
2020-07-15,2.81385
2020-07-16,4.54545
2020-07-17,4.7619
2020-07-18,1.08225
2020-07-20,3.0303
2020-07-21,3.24675
2020-07-22,3.67965
2020-07-23,4.54545
2020-07-24,1.08225
2020-07-26,1.51515
2020-07-27,5.1948
2020-07-28,3.4632
2020-07-29,4.97835
2020-07-30,4.97835
2020-07-31,1.08225
2020-08-01,1.7316
2020-08-02,1.94805
2020-08-03,1.94805
2020-08-04,4.97835
2020-08-05,3.4632
2020-08-06,2.5974
2020-08-07,5.41125
2020-08-08,3.0303
2020-08-09,1.51515
2020-08-10,3.4632
2020-08-11,4.7619
2020-08-12,4.329
2020-08-13,4.329
2020-08-15,1.2987
2020-08-17,1.08225
2020-08-18,3.8961
2020-08-19,2.38095
2020-08-20,3.67965
2020-08-21,3.8961
2020-08-22,1.51515
2020-08-23,2.1645
2020-08-24,3.4632
2020-08-25,6.27705
2020-08-26,2.81385
2020-08-27,3.8961
2020-08-28,3.4632
2020-08-30,2.38095
2020-08-31,5.6277
2020-09-01,4.7619
2020-09-02,5.84415
2020-09-03,5.1948
2020-09-04,4.11255
2020-09-06,1.2987
2020-09-07,4.54545
2020-09-08,2.38095
2020-09-09,3.4632
2020-09-10,2.5974
2020-09-11,4.97835
2020-09-12,1.08225
2020-09-13,1.7316
2020-09-14,2.81385
2020-09-15,4.329
2020-09-16,3.8961
2020-09-17,5.41125
2020-09-18,4.97835
