date,엔비디아주식
2020-03-20,3.0808
2020-03-21,1.31313
2020-03-22,0.80808
2020-03-23,1.36363
2020-03-24,1.86868
2020-03-25,2.22222
2020-03-26,1.71717
2020-03-27,2.0202
2020-03-28,1.31313
2020-03-29,0.70707
2020-03-30,1.96969
2020-03-31,4.29292
2020-04-01,2.57575
2020-04-02,2.17171
2020-04-03,1.51515
2020-04-04,1.71717
2020-04-05,0.55555
2020-04-06,2.52525
2020-04-07,2.47474
2020-04-08,1.91919
2020-04-09,1.86868
2020-04-10,0.60606
2020-04-11,0.65656
2020-04-12,1.16161
2020-04-13,1.11111
2020-04-14,1.26262
2020-04-15,1.36363
2020-04-16,1.91919
2020-04-17,2.17171
2020-04-18,0.95959
2020-04-19,0.95959
2020-04-20,1.11111
2020-04-21,1.56565
2020-04-22,1.66666
2020-04-23,2.22222
2020-04-24,1.61616
2020-04-25,1.76767
2020-04-26,0.50505
2020-04-27,2.67676
2020-04-28,3.18181
2020-04-29,2.47474
2020-04-30,2.77777
2020-05-01,2.22222
2020-05-02,1.21212
2020-05-03,0.70707
2020-05-04,1.61616
2020-05-05,1.96969
2020-05-06,2.17171
2020-05-07,2.87878
2020-05-08,2.52525
2020-05-09,2.52525
2020-05-10,0.85858
2020-05-11,2.37373
2020-05-12,3.43434
2020-05-13,2.0707
2020-05-14,2.42424
2020-05-15,3.63636
2020-05-16,2.47474
2020-05-17,1.36363
2020-05-18,3.23232
2020-05-19,5.70707
2020-05-20,3.83838
2020-05-21,4.39393
2020-05-22,3.68686
2020-05-23,1.96969
2020-05-24,1.76767
2020-05-25,3.83838
2020-05-26,4.59595
2020-05-27,5.25252
2020-05-28,6.21212
2020-05-29,2.52525
2020-05-30,2.17171
2020-05-31,1.41414
2020-06-01,3.0808
2020-06-02,3.73737
2020-06-03,4.0404
2020-06-04,3.38383
2020-06-05,1.96969
2020-06-06,2.42424
2020-06-07,1.71717
2020-06-08,2.62626
2020-06-09,4.19191
2020-06-10,4.14141
2020-06-11,5.25252
2020-06-12,4.54545
2020-06-13,3.0303
2020-06-14,2.72727
2020-06-15,2.72727
2020-06-16,3.68686
2020-06-17,6.16161
2020-06-18,5.0505
2020-06-19,3.23232
2020-06-20,2.57575
2020-06-21,1.51515
2020-06-22,1.96969
2020-06-23,4.29292
2020-06-24,3.33333
2020-06-25,3.68686
2020-06-26,3.68686
2020-06-27,1.61616
2020-06-28,0.95959
2020-06-29,3.23232
2020-06-30,3.0303
2020-07-01,3.33333
2020-07-02,3.28282
2020-07-03,3.0303
2020-07-04,1.66666
2020-07-05,0.95959
2020-07-06,2.82828
2020-07-07,4.39393
2020-07-08,5.55555
2020-07-09,7.97979
2020-07-10,5.90909
2020-07-11,5.95959
2020-07-12,5.40404
2020-07-13,8.58585
2020-07-14,12.47474
2020-07-15,10.55555
2020-07-16,7.37373
2020-07-17,6.71717
2020-07-18,4.19191
2020-07-19,5.20202
2020-07-20,7.82828
2020-07-21,7.92929
2020-07-22,11.16161
2020-07-23,14.29292
2020-07-24,14.19191
2020-07-25,7.0202
2020-07-26,5.65656
2020-07-27,9.29292
2020-07-28,9.44444
2020-07-29,8.88888
2020-07-30,7.92929
2020-07-31,8.18181
2020-08-01,7.62626
2020-08-02,5.40404
2020-08-03,7.47474
2020-08-04,9.0404
2020-08-05,9.19191
2020-08-06,6.46464
2020-08-07,8.28282
2020-08-08,5.80808
2020-08-09,3.78787
2020-08-10,7.12121
2020-08-11,8.28282
2020-08-12,6.66666
2020-08-13,8.38383
2020-08-14,7.0202
2020-08-15,2.92929
2020-08-16,3.23232
2020-08-17,4.74747
2020-08-18,10.0505
2020-08-19,8.28282
2020-08-20,8.68686
2020-08-21,8.83838
2020-08-22,9.19191
2020-08-23,6.11111
2020-08-24,10.85858
2020-08-25,12.27272
2020-08-26,11.16161
2020-08-27,11.0101
2020-08-28,9.34343
2020-08-29,8.13131
2020-08-30,5.30303
2020-08-31,13.33333
2020-09-01,23.18181
2020-09-02,50.40404
2020-09-03,29.49494
2020-09-04,25.95959
2020-09-05,13.48484
2020-09-06,6.51515
2020-09-07,8.53535
2020-09-08,11.66666
2020-09-09,14.14141
2020-09-10,14.54545
2020-09-11,11.51515
2020-09-12,7.22222
2020-09-13,4.19191
2020-09-14,25.15151
2020-09-15,22.0202
2020-09-16,12.27272
2020-09-17,11.96969
2020-09-18,8.98989
2020-09-19,7.57575
2020-09-20,3.78787
2020-09-21,6.26262
2020-09-22,6.71717
2020-09-23,7.12121
2020-09-24,7.47474
2020-09-25,7.62626
2020-09-26,5.40404
2020-09-27,2.0202
2020-09-28,4.59595
2020-09-29,5.80808
2020-09-30,4.79797
2020-10-01,6.16161
2020-10-02,5.10101
2020-10-03,3.93939
2020-10-04,2.0707
2020-10-05,3.38383
2020-10-06,5.35353
2020-10-07,6.11111
2020-10-08,5.85858
2020-10-09,4.29292
2020-10-10,3.68686
2020-10-11,2.17171
2020-10-12,3.63636
2020-10-13,6.0101
2020-10-14,4.94949
2020-10-15,4.44444
2020-10-16,4.64646
2020-10-17,2.77777
2020-10-18,1.71717
2020-10-19,3.0303
2020-10-20,4.39393
2020-10-21,4.0909
2020-10-22,4.69696
2020-10-23,2.92929
2020-10-24,2.42424
2020-10-25,1.51515
2020-10-26,2.77777
2020-10-27,4.0909
2020-10-28,3.48484
2020-10-29,3.43434
2020-10-30,3.53535
2020-10-31,2.72727
2020-11-01,1.26262
2020-11-02,2.0707
2020-11-03,2.42424
2020-11-04,2.87878
2020-11-05,3.78787
2020-11-06,2.52525
2020-11-07,2.97979
2020-11-08,2.0202
2020-11-09,3.38383
2020-11-10,4.24242
2020-11-11,5.95959
2020-11-12,4.94949
2020-11-13,3.58585
2020-11-14,3.58585
2020-11-15,1.71717
2020-11-16,2.12121
2020-11-17,3.78787
2020-11-18,3.0808
2020-11-19,2.97979
2020-11-20,3.58585
2020-11-21,2.27272
2020-11-22,1.26262
2020-11-23,1.96969
2020-11-24,3.43434
2020-11-25,5.30303
2020-11-26,3.88888
2020-11-27,3.13131
2020-11-28,3.58585
2020-11-29,2.37373
2020-11-30,2.42424
2020-12-01,4.74747
2020-12-02,4.89898
2020-12-03,5.15151
2020-12-04,4.94949
2020-12-05,3.68686
2020-12-06,2.27272
2020-12-07,4.34343
2020-12-08,5.15151
2020-12-09,6.11111
2020-12-10,5.70707
2020-12-11,6.0606
2020-12-12,3.43434
2020-12-13,2.47474
2020-12-14,2.62626
2020-12-15,3.88888
2020-12-16,3.28282
2020-12-17,3.43434
2020-12-18,4.39393
2020-12-19,3.73737
2020-12-20,2.67676
2020-12-21,2.72727
2020-12-22,2.97979
2020-12-23,3.38383
2020-12-24,3.83838
2020-12-25,2.87878
2020-12-26,1.81818
2020-12-27,1.71717
2020-12-28,2.22222
2020-12-29,4.54545
2020-12-30,3.63636
2020-12-31,3.43434
2021-01-01,3.48484
2021-01-02,2.47474
2021-01-03,2.37373
2021-01-04,3.63636
2021-01-05,4.14141
2021-01-06,5.10101
2021-01-07,8.58585
2021-01-08,10.85858
2021-01-09,6.26262
2021-01-10,4.54545
2021-01-11,5.80808
2021-01-12,5.50505
2021-01-13,5.75757
2021-01-14,8.33333
2021-01-15,5.90909
2021-01-16,3.98989
2021-01-17,2.32323
2021-01-18,2.87878
2021-01-19,3.63636
2021-01-20,5.65656
2021-01-21,5.25252
2021-01-22,4.94949
2021-01-23,3.93939
2021-01-24,1.91919
2021-01-25,3.68686
2021-01-26,3.98989
2021-01-27,3.48484
2021-01-28,4.24242
2021-01-29,2.97979
2021-01-30,3.28282
2021-01-31,1.46464
2021-02-01,2.37373
2021-02-02,4.19191
2021-02-03,3.98989
2021-02-04,3.98989
2021-02-05,3.48484
2021-02-06,2.67676
2021-02-07,1.71717
2021-02-08,2.92929
2021-02-09,5.85858
2021-02-10,4.34343
2021-02-11,5.45454
2021-02-12,3.68686
2021-02-13,3.93939
2021-02-14,2.17171
2021-02-15,3.0808
2021-02-16,4.19191
2021-02-17,4.89898
2021-02-18,6.16161
2021-02-19,5.20202
2021-02-20,4.44444
2021-02-21,2.47474
2021-02-22,2.97979
2021-02-23,4.29292
2021-02-24,4.29292
2021-02-25,4.94949
2021-02-26,6.21212
2021-02-27,3.58585
2021-02-28,2.27272
2021-03-01,2.0202
2021-03-02,3.58585
2021-03-03,3.83838
2021-03-04,4.49494
2021-03-05,4.94949
2021-03-06,3.0303
2021-03-07,2.0707
2021-03-08,2.77777
2021-03-09,4.49494
2021-03-10,5.10101
2021-03-11,3.53535
2021-03-12,3.73737
2021-03-13,2.32323
2021-03-14,1.56565
2021-03-15,1.96969
2021-03-16,4.34343
2021-03-17,3.78787
2021-03-18,2.92929
2021-03-19,3.0303
2021-03-20,1.91919
2021-03-21,1.46464
2021-03-22,1.71717
2021-03-23,2.97979
2021-03-24,2.72727
2021-03-25,2.97979
2021-03-26,2.47474
