date,퇴직연금DC형
2020-03-20,34.33162
2020-03-21,17.93279
2020-03-22,15.70489
2020-03-23,40.86924
2020-03-24,42.51278
2020-03-25,39.40832
2020-03-26,37.21694
2020-03-27,31.99415
2020-03-28,13.22132
2020-03-29,13.25785
2020-03-30,30.38714
2020-03-31,34.69685
2020-04-01,37.21694
2020-04-02,34.66033
2020-04-03,28.15924
2020-04-04,13.1848
2020-04-05,16.91015
2020-04-06,36.08473
2020-04-07,32.83418
2020-04-08,33.78378
2020-04-09,31.81154
2020-04-10,27.4653
2020-04-11,12.41782
2020-04-12,12.30825
2020-04-13,30.05843
2020-04-14,33.16289
2020-04-15,15.99707
2020-04-16,31.15412
2020-04-17,28.81665
2020-04-18,11.72388
2020-04-19,11.10299
2020-04-20,30.20452
2020-04-21,31.04455
2020-04-22,30.6428
2020-04-23,30.75237
2020-04-24,27.83053
2020-04-25,10.81081
2020-04-26,10.99342
2020-04-27,25.74872
2020-04-28,28.78013
2020-04-29,26.44265
2020-04-30,11.24908
2020-05-01,9.45945
2020-05-02,7.81592
2020-05-03,7.37764
2020-05-04,20.89116
2020-05-05,14.17092
2020-05-06,26.95398
2020-05-07,26.62527
2020-05-08,26.11395
2020-05-09,9.97078
2020-05-10,8.65595
2020-05-11,26.84441
2020-05-12,25.89481
2020-05-13,27.20964
2020-05-14,30.27757
2020-05-15,24.6165
2020-05-16,11.35865
2020-05-17,7.48721
2020-05-18,26.58875
2020-05-19,26.9905
2020-05-20,35.28122
2020-05-21,56.17238
2020-05-22,31.00803
2020-05-23,11.79693
2020-05-24,10.22644
2020-05-25,28.01314
2020-05-26,29.83929
2020-05-27,26.07742
2020-05-28,24.39737
2020-05-29,24.25127
2020-05-30,10.9569
2020-05-31,10.08035
2020-06-01,25.45653
2020-06-02,27.20964
2020-06-03,29.94886
2020-06-04,27.68444
2020-06-05,24.57998
2020-06-06,10.0073
2020-06-07,9.93425
2020-06-08,24.87216
2020-06-09,26.91745
2020-06-10,30.71585
2020-06-11,27.79401
2020-06-12,23.77647
2020-06-13,9.67859
2020-06-14,8.98466
2020-06-15,24.21475
2020-06-16,28.19576
2020-06-17,27.86705
2020-06-18,27.28268
2020-06-19,24.47041
2020-06-20,9.27684
2020-06-21,10.08035
2020-06-22,24.36084
2020-06-23,24.54346
2020-06-24,28.78013
2020-06-25,25.71219
2020-06-26,25.27392
2020-06-27,9.24032
2020-06-28,7.85244
