date,NCS학습모듈
2020-03-20,63.29113
2020-03-21,34.17721
2020-03-22,27.8481
2020-03-23,83.5443
2020-03-24,63.29113
2020-03-25,58.22784
2020-03-26,53.79746
2020-03-27,56.32911
2020-03-28,24.68354
2020-03-29,29.11392
2020-03-30,60.75949
2020-03-31,58.86075
2020-04-01,70.25316
2020-04-02,60.75949
2020-04-03,67.72151
2020-04-04,39.2405
2020-04-05,36.07594
2020-04-06,77.8481
2020-04-07,63.29113
2020-04-08,74.05063
2020-04-09,96.83544
2020-04-10,70.25316
2020-04-11,24.68354
2020-04-12,30.37974
2020-04-13,64.55696
2020-04-14,58.22784
2020-04-15,24.68354
2020-04-16,73.41772
2020-04-17,54.43037
2020-04-18,25.31645
2020-04-19,13.29113
2020-04-20,73.41772
2020-04-21,43.67088
2020-04-22,62.65822
2020-04-23,45.56962
2020-04-24,36.70886
2020-04-25,27.21518
2020-04-26,12.02531
2020-04-27,50.63291
2020-04-28,55.06329
2020-04-29,43.67088
2020-04-30,27.21518
2020-05-01,35.44303
2020-05-02,15.82278
2020-05-03,16.45569
2020-05-04,43.67088
2020-05-05,24.05063
2020-05-06,72.15189
2020-05-07,53.16455
2020-05-08,72.78481
2020-05-09,41.13924
2020-05-10,43.67088
2020-05-11,68.35443
2020-05-12,97.46835
2020-05-13,81.01265
2020-05-14,44.9367
2020-05-15,32.27848
2020-05-16,16.45569
2020-05-17,34.17721
2020-05-18,44.9367
2020-05-19,66.45569
2020-05-20,48.10126
2020-05-21,44.30379
2020-05-22,34.81012
2020-05-23,15.82278
2020-05-24,22.15189
2020-05-25,50.0
2020-05-26,44.30379
2020-05-27,44.9367
2020-05-28,40.50632
2020-05-29,37.34177
2020-05-30,14.55696
2020-05-31,21.51898
2020-06-01,44.9367
2020-06-02,45.56962
2020-06-03,39.2405
2020-06-04,50.63291
2020-06-05,37.97468
2020-06-06,20.88607
2020-06-07,18.35443
2020-06-08,30.37974
2020-06-09,42.40506
2020-06-10,45.56962
2020-06-11,31.64556
2020-06-12,31.64556
2020-06-13,14.55696
2020-06-14,20.88607
2020-06-15,31.01265
2020-06-16,30.37974
2020-06-17,33.5443
2020-06-18,36.07594
2020-06-19,29.11392
2020-06-20,19.62025
2020-06-21,22.15189
2020-06-22,41.77215
2020-06-23,36.07594
2020-06-24,46.20253
2020-06-25,39.2405
2020-06-26,31.64556
2020-06-27,18.35443
2020-06-28,31.64556
2020-06-29,42.40506
2020-06-30,46.20253
2020-07-01,39.87341
2020-07-02,30.37974
2020-07-03,19.62025
2020-07-04,22.15189
2020-07-05,23.41772
2020-07-06,25.31645
2020-07-07,40.50632
2020-07-08,39.87341
2020-07-09,40.50632
2020-07-10,39.87341
2020-07-11,25.31645
2020-07-12,12.02531
2020-07-13,43.67088
2020-07-14,36.07594
2020-07-15,38.60759
2020-07-16,31.64556
2020-07-17,27.21518
2020-07-18,13.92405
2020-07-19,13.92405
2020-07-20,39.87341
2020-07-21,34.81012
2020-07-22,25.94936
2020-07-23,22.15189
2020-07-24,18.35443
2020-07-25,9.49367
2020-07-26,8.86075
2020-07-27,15.18987
2020-07-28,17.72151
