date,암보험
2020-03-20,53.53753
2020-03-21,33.64969
2020-03-22,30.06902
2020-03-23,62.46764
2020-03-24,72.13114
2020-03-25,70.96635
2020-03-26,73.81363
2020-03-27,65.27178
2020-03-28,39.34426
2020-03-29,33.17515
2020-03-30,72.43313
2020-03-31,73.98619
2020-04-01,48.53321
2020-04-02,47.75668
2020-04-03,43.61518
2020-04-04,26.10008
2020-04-05,24.4176
2020-04-06,49.87057
2020-04-07,50.25884
2020-04-08,50.17256
2020-04-09,48.44693
2020-04-10,43.48576
2020-04-11,26.0138
2020-04-12,28.25711
2020-04-13,46.93701
2020-04-14,51.20793
2020-04-15,31.57894
2020-04-16,46.89387
2020-04-17,52.45901
2020-04-18,26.96289
2020-04-19,28.38654
2020-04-20,51.42364
2020-04-21,52.50215
2020-04-22,58.11044
2020-04-23,51.98446
2020-04-24,46.85073
2020-04-25,30.1553
2020-04-26,26.48835
2020-04-27,53.71009
2020-04-28,51.55306
2020-04-29,45.34081
2020-04-30,25.62553
2020-05-01,24.20189
2020-05-02,17.90336
2020-05-03,24.50388
2020-05-04,40.59534
2020-05-05,29.59447
2020-05-06,48.10181
2020-05-07,44.56427
2020-05-08,39.99137
2020-05-09,27.69628
2020-05-10,26.35893
2020-05-11,53.75323
2020-05-12,61.044
2020-05-13,54.22778
2020-05-14,50.17256
2020-05-15,51.85504
2020-05-16,34.51251
2020-05-17,29.59447
2020-05-18,54.44348
2020-05-19,56.60051
2020-05-20,55.26315
2020-05-21,57.76531
2020-05-22,51.20793
2020-05-23,29.50819
2020-05-24,27.04918
2020-05-25,60.22433
2020-05-26,64.71095
2020-05-27,58.88697
2020-05-28,47.4547
2020-05-29,42.1484
2020-05-30,26.96289
2020-05-31,26.79033
2020-06-01,48.79206
2020-06-02,51.50992
2020-06-03,53.06298
2020-06-04,50.81967
2020-06-05,44.56427
2020-06-06,21.91544
2020-06-07,24.849
2020-06-08,48.10181
2020-06-09,50.38826
2020-06-10,47.49784
2020-06-11,48.96462
2020-06-12,43.61518
2020-06-13,22.088
2020-06-14,22.34685
2020-06-15,46.85073
2020-06-16,52.02761
2020-06-17,49.2666
2020-06-18,50.56082
2020-06-19,43.44262
2020-06-20,21.91544
2020-06-21,24.46074
2020-06-22,48.70578
2020-06-23,47.10957
2020-06-24,49.95685
2020-06-25,50.30198
2020-06-26,45.59965
2020-06-27,24.07247
2020-06-28,24.37446
2020-06-29,52.9767
2020-06-30,48.36065
2020-07-01,52.32959
2020-07-02,47.62726
2020-07-03,42.92493
2020-07-04,25.06471
2020-07-05,24.4176
2020-07-06,49.35289
2020-07-07,53.53753
2020-07-08,50.04314
2020-07-09,50.86281
2020-07-10,43.09749
2020-07-11,24.93528
2020-07-12,23.85677
2020-07-13,53.92579
2020-07-14,53.88265
2020-07-15,52.20017
2020-07-16,53.66695
2020-07-17,44.39171
2020-07-18,23.68421
2020-07-19,25.71182
2020-07-20,55.13373
2020-07-21,56.55737
2020-07-22,57.63589
2020-07-23,48.96462
2020-07-24,51.76876
2020-07-25,29.20621
2020-07-26,22.82139
2020-07-27,53.58067
2020-07-28,57.07506
2020-07-29,56.55737
2020-07-30,53.32182
2020-07-31,43.70146
2020-08-01,23.29594
2020-08-02,23.38222
2020-08-03,45.68593
2020-08-04,44.86626
2020-08-05,51.12165
2020-08-06,45.47023
2020-08-07,47.58412
2020-08-08,27.09232
2020-08-09,22.60569
2020-08-10,52.37273
2020-08-11,54.44348
2020-08-12,54.74547
2020-08-13,51.46678
2020-08-14,39.94823
2020-08-15,25.92752
2020-08-16,20.31924
2020-08-17,31.66522
2020-08-18,47.92924
2020-08-19,52.02761
2020-08-20,51.8119
2020-08-21,54.96117
2020-08-22,30.54357
2020-08-23,27.00603
2020-08-24,54.91803
2020-08-25,62.6402
2020-08-26,62.03623
2020-08-27,59.36151
2020-08-28,51.63934
2020-08-29,36.06557
2020-08-30,28.90422
2020-08-31,58.4987
