date,차용증양식
2020-03-20,39.3135
2020-03-21,22.10526
2020-03-22,22.79176
2020-03-23,48.42105
2020-03-24,46.45308
2020-03-25,43.98169
2020-03-26,44.57665
2020-03-27,39.77116
2020-03-28,26.63615
2020-03-29,20.45766
2020-03-30,45.21739
2020-03-31,38.627
2020-04-01,36.0183
2020-04-02,34.14187
2020-04-03,29.97711
2020-04-04,17.98627
2020-04-05,17.02517
2020-04-06,34.6453
2020-04-07,35.01144
2020-04-08,30.20594
2020-04-09,32.95194
2020-04-10,28.23798
2020-04-11,16.4302
2020-04-12,15.65217
2020-04-13,38.81006
2020-04-14,31.76201
2020-04-15,21.18993
2020-04-16,32.63157
2020-04-17,31.25858
2020-04-18,15.65217
2020-04-19,18.03203
2020-04-20,33.27231
2020-04-21,33.22654
2020-04-22,33.72997
2020-04-23,30.89244
2020-04-24,26.95652
2020-04-25,16.88787
2020-04-26,16.33867
2020-04-27,36.8421
2020-04-28,35.83524
2020-04-29,32.67734
2020-04-30,15.97254
2020-05-01,16.93363
2020-05-02,11.48741
2020-05-03,13.72997
2020-05-04,27.73455
2020-05-05,17.29977
2020-05-06,29.24485
2020-05-07,28.14645
2020-05-08,24.62242
2020-05-09,12.72311
2020-05-10,12.35697
2020-05-11,28.92448
2020-05-12,26.86498
2020-05-13,25.81235
2020-05-14,23.38672
2020-05-15,22.92906
2020-05-16,14.6453
2020-05-17,14.87414
2020-05-18,30.93821
2020-05-19,26.81922
2020-05-20,27.78032
2020-05-21,29.01601
2020-05-22,26.27002
2020-05-23,15.7437
2020-05-24,13.77574
2020-05-25,35.14874
2020-05-26,30.66361
2020-05-27,35.1945
2020-05-28,35.4691
2020-05-29,28.42105
2020-05-30,18.2151
2020-05-31,15.4691
2020-06-01,33.27231
2020-06-02,29.56521
2020-06-03,33.31807
2020-06-04,29.97711
2020-06-05,29.01601
2020-06-06,15.65217
2020-06-07,15.1945
2020-06-08,34.41647
2020-06-09,33.27231
2020-06-10,34.32494
2020-06-11,36.52173
2020-06-12,32.54004
2020-06-13,18.03203
2020-06-14,17.98627
2020-06-15,36.5675
2020-06-16,39.26773
2020-06-17,38.85583
2020-06-18,38.58123
2020-06-19,35.56064
2020-06-20,19.54233
2020-06-21,18.99313
2020-06-22,40.45766
2020-06-23,42.97482
2020-06-24,37.62013
2020-06-25,40.13729
2020-06-26,41.51029
2020-06-27,22.88329
2020-06-28,21.83066
2020-06-29,47.59725
2020-06-30,51.71624
2020-07-01,45.35469
2020-07-02,39.35926
2020-07-03,33.45537
2020-07-04,21.73913
2020-07-05,18.9016
2020-07-06,38.81006
2020-07-07,40.13729
2020-07-08,42.24256
2020-07-09,41.69336
2020-07-10,39.1762
2020-07-11,19.7254
2020-07-12,21.87643
2020-07-13,42.88329
2020-07-14,48.28375
2020-07-15,47.18535
2020-07-16,44.07322
2020-07-17,41.41876
2020-07-18,23.11212
2020-07-19,23.70709
2020-07-20,48.55835
2020-07-21,46.31578
2020-07-22,44.48512
2020-07-23,43.02059
2020-07-24,44.85125
2020-07-25,26.31578
2020-07-26,23.98169
2020-07-27,48.64988
2020-07-28,47.73455
2020-07-29,43.06636
2020-07-30,46.45308
2020-07-31,48.97025
2020-08-01,23.11212
2020-08-02,21.73913
2020-08-03,39.77116
2020-08-04,39.4508
2020-08-05,37.16247
2020-08-06,42.42562
2020-08-07,42.88329
2020-08-08,21.73913
2020-08-09,23.06636
2020-08-10,48.32951
2020-08-11,47.96338
2020-08-12,46.27002
2020-08-13,44.62242
2020-08-14,43.24942
2020-08-15,21.23569
2020-08-16,20.0
2020-08-17,30.57208
2020-08-18,48.87871
2020-08-19,45.81235
2020-08-20,52.40274
2020-08-21,49.06178
2020-08-22,26.68192
2020-08-23,26.68192
2020-08-24,59.67963
2020-08-25,54.7826
2020-08-26,59.95423
2020-08-27,47.32265
2020-08-28,54.6453
2020-08-29,31.76201
2020-08-30,31.35011
2020-08-31,65.44622
2020-09-01,56.2929
2020-09-02,51.62471
2020-09-03,48.37528
2020-09-04,50.43478
2020-09-05,28.46681
2020-09-06,25.62929
2020-09-07,60.18306
2020-09-08,67.13958
2020-09-09,55.92677
2020-09-10,58.30663
2020-09-11,49.88558
2020-09-12,29.97711
2020-09-13,28.42105
2020-09-14,56.7048
2020-09-15,56.93363
2020-09-16,56.52173
2020-09-17,57.43707
2020-09-18,49.06178
2020-09-19,28.55835
2020-09-20,27.59725
2020-09-21,55.97254
2020-09-22,57.9405
2020-09-23,57.43707
2020-09-24,65.62929
2020-09-25,50.38901
2020-09-26,26.27002
2020-09-27,25.62929
2020-09-28,55.97254
2020-09-29,55.6064
2020-09-30,23.20366
2020-10-01,17.43707
2020-10-02,19.67963
2020-10-03,20.50343
2020-10-04,25.72082
2020-10-05,63.70709
2020-10-06,54.508
2020-10-07,52.67734
2020-10-08,50.61784
2020-10-09,26.63615
2020-10-10,25.67505
2020-10-11,26.68192
2020-10-12,61.23569
2020-10-13,55.6064
2020-10-14,55.24027
2020-10-15,57.48283
2020-10-16,47.64302
2020-10-17,25.49199
2020-10-18,24.85125
2020-10-19,58.44393
2020-10-20,61.18993
2020-10-21,59.49656
2020-10-22,57.71167
2020-10-23,45.90389
2020-10-24,28.00915
2020-10-25,29.33638
2020-10-26,67.18535
2020-10-27,65.08009
2020-10-28,61.23569
2020-10-29,64.25629
2020-10-30,61.51029
2020-10-31,29.88558
2020-11-01,29.79405
2020-11-02,67.55148
2020-11-03,56.2929
2020-11-04,53.86727
2020-11-05,55.01144
2020-11-06,52.67734
2020-11-07,28.97025
2020-11-08,29.33638
2020-11-09,61.32723
2020-11-10,57.3913
2020-11-11,61.69336
2020-11-12,60.27459
2020-11-13,51.57894
2020-11-14,29.42791
2020-11-15,30.80091
2020-11-16,70.34324
2020-11-17,69.79405
2020-11-18,67.18535
2020-11-19,67.73455
2020-11-20,62.33409
2020-11-21,36.47597
2020-11-22,32.40274
2020-11-23,79.4508
2020-11-24,78.99313
2020-11-25,76.47597
2020-11-26,67.78032
2020-11-27,68.05491
2020-11-28,36.47597
2020-11-29,39.1762
2020-11-30,84.94279
2020-12-01,75.69794
2020-12-02,68.87871
2020-12-03,70.02288
2020-12-04,66.17848
2020-12-05,36.9794
2020-12-06,40.32036
2020-12-07,88.00915
2020-12-08,79.5881
2020-12-09,75.65217
2020-12-10,69.88558
2020-12-11,68.05491
2020-12-12,39.0389
2020-12-13,39.40503
2020-12-14,95.65217
2020-12-15,77.02517
2020-12-16,74.55377
2020-12-17,72.26544
2020-12-18,72.81464
2020-12-19,40.73226
2020-12-20,40.04576
2020-12-21,85.21739
2020-12-22,77.75743
2020-12-23,75.56064
2020-12-24,62.33409
2020-12-25,31.71624
2020-12-26,40.64073
2020-12-27,41.14416
2020-12-28,100.0
2020-12-29,89.93135
2020-12-30,75.78947
2020-12-31,65.03432
2021-01-01,27.18535
2021-01-02,28.28375
2021-01-03,32.81464
2021-01-04,73.45537
2021-01-05,68.10068
2021-01-06,60.36613
2021-01-07,54.3707
2021-01-08,53.36384
2021-01-09,35.37757
2021-01-10,40.04576
2021-01-11,71.76201
2021-01-12,62.56292
2021-01-13,65.40045
2021-01-14,74.00457
2021-01-15,64.34782
2021-01-16,40.96109
2021-01-17,37.8032
2021-01-18,63.38672
2021-01-19,65.81235
2021-01-20,66.59038
2021-01-21,66.59038
2021-01-22,62.83752
2021-01-23,39.1762
2021-01-24,36.47597
