date,투자자
2020-03-20,43.05555
2020-03-21,26.73611
2020-03-22,26.04166
2020-03-23,40.625
2020-03-24,45.83333
2020-03-25,38.88888
2020-03-26,42.01388
2020-03-27,43.40277
2020-03-28,30.55555
2020-03-29,21.52777
2020-03-30,33.33333
2020-03-31,33.33333
2020-04-01,28.125
2020-04-02,35.76388
2020-04-03,27.08333
2020-04-04,23.61111
2020-04-05,23.95833
2020-04-06,41.31944
2020-04-07,37.5
2020-04-08,31.59722
2020-04-09,27.77777
2020-04-10,35.41666
2020-04-11,26.38888
2020-04-12,25.0
2020-04-13,37.84722
2020-04-14,29.16666
2020-04-15,28.125
2020-04-16,32.98611
2020-04-17,31.94444
2020-04-18,23.95833
2020-04-19,27.77777
2020-04-20,37.84722
2020-04-21,39.23611
2020-04-22,40.27777
2020-04-23,38.54166
2020-04-24,26.04166
2020-04-25,16.31944
2020-04-26,24.65277
2020-04-27,29.86111
2020-04-28,32.63888
2020-04-29,36.45833
2020-04-30,22.22222
2020-05-01,19.79166
2020-05-02,19.09722
2020-05-03,20.13888
2020-05-04,30.55555
2020-05-05,18.05555
2020-05-06,29.51388
2020-05-07,29.51388
2020-05-08,25.34722
2020-05-09,23.95833
2020-05-10,26.38888
2020-05-11,31.94444
2020-05-12,32.29166
2020-05-13,31.59722
2020-05-14,33.33333
2020-05-15,27.08333
2020-05-16,20.83333
2020-05-17,18.05555
2020-05-18,37.84722
2020-05-19,32.63888
2020-05-20,29.86111
2020-05-21,24.30555
2020-05-22,26.38888
2020-05-23,16.31944
2020-05-24,17.70833
2020-05-25,33.68055
2020-05-26,34.72222
2020-05-27,29.86111
2020-05-28,33.33333
2020-05-29,25.0
2020-05-30,18.40277
2020-05-31,29.51388
2020-06-01,31.25
2020-06-02,33.33333
2020-06-03,32.98611
2020-06-04,29.86111
2020-06-05,29.51388
2020-06-06,23.61111
2020-06-07,21.18055
2020-06-08,31.94444
2020-06-09,28.47222
2020-06-10,28.47222
2020-06-11,35.06944
2020-06-12,30.55555
2020-06-13,18.40277
2020-06-14,22.22222
2020-06-15,31.25
2020-06-16,31.59722
2020-06-17,36.11111
2020-06-18,31.25
2020-06-19,32.63888
2020-06-20,24.65277
2020-06-21,24.30555
2020-06-22,36.11111
2020-06-23,30.20833
2020-06-24,28.125
2020-06-25,27.43055
2020-06-26,23.95833
2020-06-27,20.13888
2020-06-28,20.13888
2020-06-29,31.94444
2020-06-30,28.81944
2020-07-01,27.77777
2020-07-02,28.81944
2020-07-03,25.69444
2020-07-04,19.44444
2020-07-05,20.83333
2020-07-06,30.90277
2020-07-07,22.91666
2020-07-08,32.63888
2020-07-09,32.98611
2020-07-10,24.65277
2020-07-11,27.08333
2020-07-12,19.44444
2020-07-13,29.86111
2020-07-14,27.77777
2020-07-15,34.72222
2020-07-16,21.875
2020-07-17,29.16666
2020-07-18,20.48611
2020-07-19,19.09722
2020-07-20,28.47222
2020-07-21,27.43055
2020-07-22,25.34722
2020-07-23,28.47222
2020-07-24,21.18055
2020-07-25,20.13888
2020-07-26,24.30555
2020-07-27,21.52777
2020-07-28,34.02777
2020-07-29,34.02777
2020-07-30,23.95833
2020-07-31,25.34722
2020-08-01,17.36111
2020-08-02,15.625
2020-08-03,28.125
2020-08-04,27.43055
2020-08-05,26.04166
2020-08-06,21.52777
2020-08-07,23.61111
2020-08-08,17.70833
2020-08-09,22.22222
2020-08-10,31.59722
2020-08-11,25.69444
2020-08-12,32.98611
2020-08-13,28.81944
2020-08-14,22.91666
2020-08-15,14.93055
2020-08-16,19.44444
2020-08-17,20.48611
2020-08-18,25.34722
2020-08-19,20.48611
2020-08-20,21.18055
2020-08-21,21.52777
2020-08-22,19.79166
2020-08-23,17.70833
2020-08-24,25.69444
2020-08-25,25.0
2020-08-26,28.81944
2020-08-27,29.51388
2020-08-28,21.875
2020-08-29,16.31944
2020-08-30,21.18055
2020-08-31,33.68055
2020-09-01,26.04166
2020-09-02,28.125
2020-09-03,38.88888
2020-09-04,32.98611
2020-09-05,22.91666
2020-09-06,23.26388
2020-09-07,35.41666
2020-09-08,26.73611
2020-09-09,30.90277
2020-09-10,36.11111
2020-09-11,28.125
2020-09-12,20.83333
2020-09-13,24.30555
2020-09-14,26.38888
2020-09-15,26.04166
2020-09-16,24.65277
2020-09-17,33.68055
2020-09-18,29.51388
2020-09-19,22.22222
2020-09-20,19.09722
2020-09-21,32.63888
2020-09-22,31.25
2020-09-23,34.02777
2020-09-24,31.25
2020-09-25,22.91666
2020-09-26,21.875
2020-09-27,23.61111
2020-09-28,23.95833
2020-09-29,24.30555
2020-09-30,13.19444
2020-10-01,15.625
2020-10-02,17.70833
2020-10-03,15.97222
2020-10-04,24.30555
2020-10-05,37.5
2020-10-06,29.16666
2020-10-07,32.98611
2020-10-08,27.08333
2020-10-09,14.93055
2020-10-10,18.05555
2020-10-11,21.52777
2020-10-12,25.69444
2020-10-13,37.15277
2020-10-14,30.90277
2020-10-15,25.69444
2020-10-16,25.0
2020-10-17,21.52777
2020-10-18,22.56944
2020-10-19,32.98611
2020-10-20,29.51388
2020-10-21,35.41666
2020-10-22,27.43055
2020-10-23,22.91666
2020-10-24,21.875
2020-10-25,25.69444
2020-10-26,30.90277
2020-10-27,26.04166
2020-10-28,35.76388
2020-10-29,30.20833
2020-10-30,29.16666
2020-10-31,20.13888
2020-11-01,21.18055
2020-11-02,38.19444
2020-11-03,27.77777
2020-11-04,27.43055
2020-11-05,34.375
2020-11-06,31.25
2020-11-07,14.23611
2020-11-08,22.22222
2020-11-09,28.81944
2020-11-10,32.98611
2020-11-11,29.16666
2020-11-12,31.94444
2020-11-13,30.55555
2020-11-14,23.26388
2020-11-15,21.52777
2020-11-16,33.68055
2020-11-17,37.5
2020-11-18,39.58333
2020-11-19,32.29166
2020-11-20,31.25
2020-11-21,22.56944
2020-11-22,24.65277
2020-11-23,36.11111
2020-11-24,31.59722
2020-11-25,31.94444
2020-11-26,31.25
2020-11-27,31.25
2020-11-28,23.26388
2020-11-29,31.94444
2020-11-30,31.59722
2020-12-01,38.88888
2020-12-02,39.58333
2020-12-03,31.59722
2020-12-04,33.68055
2020-12-05,19.09722
2020-12-06,26.38888
2020-12-07,38.88888
2020-12-08,33.68055
2020-12-09,40.625
2020-12-10,41.31944
2020-12-11,32.63888
2020-12-12,23.95833
2020-12-13,24.65277
2020-12-14,26.38888
2020-12-15,38.54166
2020-12-16,31.25
2020-12-17,33.68055
2020-12-18,23.26388
2020-12-19,25.0
2020-12-20,29.16666
2020-12-21,30.55555
2020-12-22,31.25
2020-12-23,41.31944
2020-12-24,29.16666
2020-12-25,22.56944
2020-12-26,25.0
2020-12-27,26.04166
2020-12-28,31.25
2020-12-29,37.15277
2020-12-30,33.33333
2020-12-31,26.38888
2021-01-01,20.13888
2021-01-02,16.31944
2021-01-03,23.26388
2021-01-04,35.76388
2021-01-05,37.84722
2021-01-06,34.02777
2021-01-07,39.58333
2021-01-08,46.875
2021-01-09,31.25
2021-01-10,28.81944
