date,3월신용카드이벤트
2022-03-02,9.80392
2022-03-03,9.80392
2023-02-28,11.7647
2023-03-01,58.82352
2023-03-02,66.66666
2023-03-04,19.60784
2023-03-05,11.7647
2023-03-07,15.68627
2023-03-08,11.7647
2023-03-10,9.80392
2023-03-11,9.80392
2023-03-12,43.13725
2023-03-13,33.33333
2023-03-14,37.2549
2023-03-15,9.80392
2023-03-16,19.60784
2023-03-17,13.72549
2023-03-18,23.52941
2023-03-19,29.41176
2023-03-20,39.21568
2023-03-21,21.56862
2023-03-22,43.13725
2023-03-23,31.37254
2023-03-24,33.33333
2023-03-25,25.49019
2023-03-26,21.56862
2023-03-27,15.68627
2023-03-28,23.52941
2023-03-29,17.64705
2023-03-30,13.72549
2023-03-31,19.60784
2024-03-01,100.0
2024-03-02,23.52941
2024-03-03,41.17647
2024-03-04,76.47058
2024-03-05,45.09803
2024-03-06,43.13725
2024-03-07,74.5098
2024-03-08,86.2745
2024-03-09,43.13725
2024-03-10,52.94117
2024-03-11,43.13725
2024-03-12,49.0196
2024-03-13,58.82352
2024-03-14,60.78431
2024-03-15,60.78431
2024-03-16,31.37254
2024-03-17,19.60784
2024-03-18,29.41176
2024-03-19,35.29411
2024-03-20,47.05882
