date,회계계정과목
2020-03-20,59.56284
2020-03-21,23.22404
2020-03-22,24.31693
2020-03-23,82.24043
2020-03-24,86.88524
2020-03-25,77.86885
2020-03-26,88.25136
2020-03-27,73.22404
2020-03-28,42.89617
2020-03-29,33.0601
2020-03-30,66.93989
2020-03-31,65.02732
2020-04-01,67.21311
2020-04-02,65.57377
2020-04-03,59.56284
2020-04-04,33.0601
2020-04-05,31.42076
2020-04-06,63.11475
2020-04-07,67.48633
2020-04-08,67.21311
2020-04-09,97.26775
2020-04-10,74.31693
2020-04-11,25.95628
2020-04-12,23.49726
2020-04-13,64.75409
2020-04-14,73.49726
2020-04-15,33.87978
2020-04-16,87.15846
2020-04-17,75.68306
2020-04-18,21.85792
2020-04-19,28.68852
2020-04-20,93.98907
2020-04-21,91.53005
2020-04-22,92.89617
2020-04-23,100.0
2020-04-24,77.04918
2020-04-25,24.04371
2020-04-26,29.78142
2020-04-27,87.43169
2020-04-28,84.42622
2020-04-29,72.40437
2020-04-30,31.96721
2020-05-01,43.16939
2020-05-02,24.04371
2020-05-03,31.42076
2020-05-04,65.30054
2020-05-05,34.42622
2020-05-06,70.76502
2020-05-07,80.60109
2020-05-08,69.12568
2020-05-09,26.50273
2020-05-10,33.60655
2020-05-11,83.33333
2020-05-12,81.96721
2020-05-13,71.85792
2020-05-14,74.04371
2020-05-15,63.11475
2020-05-16,23.49726
2020-05-17,24.04371
2020-05-18,58.46994
2020-05-19,67.48633
2020-05-20,70.21857
2020-05-21,66.93989
2020-05-22,59.56284
2020-05-23,23.49726
2020-05-24,21.03825
2020-05-25,60.10928
2020-05-26,63.6612
2020-05-27,67.75956
2020-05-28,65.84699
2020-05-29,54.91803
2020-05-30,33.60655
2020-05-31,26.77595
2020-06-01,53.00546
2020-06-02,63.38797
2020-06-03,58.19672
2020-06-04,64.20765
2020-06-05,54.6448
2020-06-06,16.93989
2020-06-07,28.4153
2020-06-08,58.74316
2020-06-09,65.57377
2020-06-10,55.46448
2020-06-11,64.75409
2020-06-12,57.37704
2020-06-13,31.14754
2020-06-14,27.86885
2020-06-15,69.12568
2020-06-16,66.39344
2020-06-17,72.40437
2020-06-18,60.92896
2020-06-19,53.55191
2020-06-20,23.22404
2020-06-21,24.59016
2020-06-22,60.38251
2020-06-23,59.83606
2020-06-24,64.75409
2020-06-25,66.12021
2020-06-26,59.01639
2020-06-27,17.21311
2020-06-28,15.02732
2020-06-29,57.65027
2020-06-30,55.7377
2020-07-01,60.10928
2020-07-02,55.19125
2020-07-03,48.63387
2020-07-04,15.57377
2020-07-05,15.30054
2020-07-06,49.45355
2020-07-07,54.6448
2020-07-08,54.09836
2020-07-09,59.28961
2020-07-10,47.26775
2020-07-11,16.66666
2020-07-12,18.30601
2020-07-13,47.54098
2020-07-14,54.91803
2020-07-15,59.28961
2020-07-16,48.9071
2020-07-17,50.27322
2020-07-18,12.02185
2020-07-19,11.74863
2020-07-20,46.17486
2020-07-21,50.81967
2020-07-22,51.63934
2020-07-23,51.63934
2020-07-24,40.16393
2020-07-25,19.67213
2020-07-26,14.20765
2020-07-27,43.98907
2020-07-28,45.08196
2020-07-29,42.34972
2020-07-30,50.0
2020-07-31,38.25136
2020-08-01,14.20765
2020-08-02,11.4754
2020-08-03,37.70491
2020-08-04,40.43715
2020-08-05,33.87978
2020-08-06,42.62295
2020-08-07,39.61748
2020-08-08,10.38251
2020-08-09,9.56284
2020-08-10,37.43169
2020-08-11,40.43715
2020-08-12,48.08743
2020-08-13,43.16939
2020-08-14,41.53005
2020-08-15,17.48633
2020-08-16,13.93442
2020-08-17,20.4918
2020-08-18,45.35519
2020-08-19,45.62841
2020-08-20,44.80874
2020-08-21,40.9836
2020-08-22,9.28961
2020-08-23,12.29508
2020-08-24,33.0601
2020-08-25,40.43715
2020-08-26,44.26229
2020-08-27,39.61748
2020-08-28,33.0601
2020-08-29,12.84153
2020-08-30,9.01639
2020-08-31,47.54098
