date,김해공항
2020-03-20,4.87572
2020-03-21,4.3426
2020-03-22,4.11233
2020-03-23,5.0284
2020-03-24,6.28738
2020-03-25,4.53532
2020-03-26,4.0898
2020-03-27,3.98217
2020-03-28,2.78827
2020-03-29,3.22879
2020-03-30,3.59922
2020-03-31,3.44654
2020-04-01,3.7469
2020-04-02,4.14987
2020-04-03,3.79696
2020-04-04,3.02855
2020-04-05,3.16121
2020-04-06,3.62175
2020-04-07,3.25632
2020-04-08,3.6643
2020-04-09,3.52163
2020-04-10,3.28636
2020-04-11,2.75573
2020-04-12,3.40399
2020-04-13,3.64928
2020-04-14,3.41401
2020-04-15,2.65061
2020-04-16,3.59672
2020-04-17,5.35379
2020-04-18,2.96848
2020-04-19,3.81197
2020-04-20,3.84952
2020-04-21,4.50779
2020-04-22,4.21995
2020-04-23,3.78694
2020-04-24,3.71186
2020-04-25,3.38647
2020-04-26,3.13117
2020-04-27,3.94964
2020-04-28,3.72437
2020-04-29,4.78562
2020-04-30,4.06978
2020-05-01,3.71186
2020-05-02,3.44404
2020-05-03,4.38515
2020-05-04,3.67682
2020-05-05,3.58421
2020-05-06,4.40517
2020-05-07,4.06477
2020-05-08,4.11483
2020-05-09,8.80534
2020-05-10,3.54166
2020-05-11,4.06727
2020-05-12,4.11233
2020-05-13,3.95965
2020-05-14,3.93962
2020-05-15,5.31874
2020-05-16,3.94463
2020-05-17,3.77693
2020-05-18,5.32125
2020-05-19,4.7706
2020-05-20,4.16989
2020-05-21,4.5153
2020-05-22,4.683
2020-05-23,3.73438
2020-05-24,4.09981
2020-05-25,4.64545
2020-05-26,4.26751
2020-05-27,4.12234
2020-05-28,4.0923
2020-05-29,3.94964
2020-05-30,3.42152
2020-05-31,3.84952
2020-06-01,4.65797
2020-06-02,4.48276
2020-06-03,4.11233
2020-06-04,4.83067
2020-06-05,4.75558
2020-06-06,3.99219
2020-06-07,5.04843
2020-06-08,5.99204
2020-06-09,5.00838
2020-06-10,4.84319
2020-06-11,5.7092
2020-06-12,6.25735
2020-06-13,5.98453
2020-06-14,5.61159
2020-06-15,6.43255
2020-06-16,6.08464
2020-06-17,5.88441
2020-06-18,7.29607
2020-06-19,6.15473
2020-06-20,5.1936
2020-06-21,4.96082
2020-06-22,6.63779
2020-06-23,6.00205
2020-06-24,6.44757
2020-06-25,6.8105
2020-06-26,6.19978
2020-06-27,26.76645
2020-06-28,6.25735
2020-06-29,10.80019
2020-06-30,9.58626
2020-07-01,6.59775
2020-07-02,6.75043
2020-07-03,6.38249
2020-07-04,5.12852
2020-07-05,5.39383
2020-07-06,7.41371
2020-07-07,6.80049
2020-07-08,6.26986
2020-07-09,6.83302
2020-07-10,18.33904
2020-07-11,5.46141
2020-07-12,7.18844
2020-07-13,14.28428
2020-07-14,8.10702
2020-07-15,7.0658
2020-07-16,6.76294
2020-07-17,6.19477
2020-07-18,4.94831
2020-07-19,6.17976
2020-07-20,8.36983
2020-07-21,6.98821
2020-07-22,10.02177
2020-07-23,12.71994
2020-07-24,11.25071
2020-07-25,5.73674
2020-07-26,5.60658
2020-07-27,9.77648
2020-07-28,8.03193
2020-07-29,9.02059
2020-07-30,9.47112
2020-07-31,7.89677
2020-08-01,6.9857
2020-08-02,8.22966
2020-08-03,9.27589
2020-08-04,8.33229
2020-08-05,9.39103
2020-08-06,12.20183
2020-08-07,12.20183
2020-08-08,15.30798
2020-08-09,13.37821
2020-08-10,38.42014
2020-08-11,9.93417
2020-08-12,10.23452
2020-08-13,7.4938
2020-08-14,7.17342
2020-08-15,5.99954
2020-08-16,5.72422
2020-08-17,6.14221
2020-08-18,5.82184
2020-08-19,5.59407
2020-08-20,5.50647
2020-08-21,5.51648
2020-08-22,4.69051
2020-08-23,4.49277
2020-08-24,5.44389
2020-08-25,7.664
2020-08-26,13.83125
2020-08-27,11.9165
2020-08-28,5.13603
2020-08-29,3.89457
2020-08-30,3.86704
2020-08-31,4.52031
2020-09-01,5.92446
2020-09-02,8.28473
2020-09-03,8.95802
2020-09-04,4.05476
2020-09-05,5.28871
2020-09-06,10.97289
2020-09-07,10.24704
2020-09-08,6.6403
2020-09-09,5.4489
2020-09-10,4.35762
2020-09-11,5.31374
2020-09-12,4.13736
2020-09-13,4.11984
2020-09-14,5.05343
2020-09-15,5.42387
2020-09-16,5.24866
2020-09-17,5.3638
2020-09-18,5.15856
2020-09-19,4.48527
2020-09-20,4.63544
2020-09-21,5.37381
2020-09-22,5.17608
2020-09-23,4.81065
2020-09-24,4.99336
2020-09-25,6.45758
2020-09-26,5.94949
2020-09-27,5.18359
2020-09-28,7.09834
2020-09-29,6.66783
2020-09-30,5.48144
2020-10-01,4.35261
2020-10-02,5.28871
2020-10-03,4.83818
2020-10-04,6.01957
2020-10-05,6.77295
2020-10-06,6.22731
2020-10-07,6.30741
2020-10-08,9.69389
2020-10-09,7.91179
2020-10-10,5.21112
2020-10-11,5.74174
2020-10-12,7.19345
2020-10-13,6.54519
2020-10-14,6.54268
2020-10-15,7.0683
2020-10-16,6.98821
2020-10-17,5.41636
2020-10-18,5.85938
2020-10-19,7.33361
2020-10-20,6.54769
2020-10-21,6.63029
2020-10-22,6.52516
2020-10-23,6.97319
2020-10-24,5.58656
2020-10-25,5.63912
2020-10-26,6.67784
2020-10-27,6.70037
2020-10-28,6.79798
2020-10-29,6.69286
2020-10-30,6.88809
2020-10-31,5.39383
2020-11-01,5.74424
2020-11-02,7.13838
2020-11-03,7.18093
2020-11-04,6.3875
2020-11-05,7.52634
2020-11-06,7.41621
2020-11-07,6.36247
2020-11-08,6.68034
2020-11-09,7.9218
2020-11-10,8.78532
2020-11-11,8.43991
2020-11-12,8.43491
2020-11-13,7.64398
2020-11-14,6.60025
2020-11-15,9.83655
2020-11-16,18.06622
2020-11-17,63.62976
2020-11-18,19.24261
2020-11-19,50.69456
2020-11-20,12.35201
2020-11-21,8.12454
2020-11-22,7.46376
2020-11-23,7.28355
2020-11-24,6.68285
2020-11-25,6.40252
2020-11-26,5.82934
2020-11-27,5.55903
2020-11-28,4.50529
2020-11-29,4.49277
2020-11-30,5.0234
2020-12-01,4.48276
2020-12-02,4.48777
2020-12-03,4.89575
2020-12-04,4.96833
2020-12-05,4.21495
2020-12-06,4.35011
2020-12-07,4.72555
2020-12-08,5.46642
2020-12-09,4.87322
2020-12-10,4.85069
2020-12-11,4.70052
