date,다우선물
2020-03-20,11.74749
2020-03-21,3.17434
2020-03-22,2.3527
2020-03-23,15.94789
2020-03-24,11.69539
2020-03-25,15.52705
2020-03-26,11.27855
2020-03-27,9.0541
2020-03-28,1.86773
2020-03-29,1.80761
2020-03-30,13.09418
2020-03-31,7.59519
2020-04-01,10.68537
2020-04-02,11.11022
2020-04-03,7.1543
2020-04-04,1.29859
2020-04-05,1.00601
2020-04-06,8.07214
2020-04-07,9.01803
2020-04-08,7.99198
2020-04-09,7.03406
2020-04-10,4.14028
2020-04-11,0.71342
2020-04-12,0.77354
2020-04-13,6.78557
2020-04-14,4.42885
2020-04-15,3.88376
2020-04-16,5.37875
2020-04-17,5.3547
2020-04-18,0.88176
2020-04-19,0.75751
2020-04-20,5.83166
2020-04-21,5.92785
2020-04-22,5.78757
2020-04-23,4.11623
2020-04-24,3.46693
2020-04-25,0.52905
2020-04-26,0.39278
2020-04-27,3.54308
2020-04-28,3.15831
2020-04-29,1.91182
2020-04-30,1.69539
2020-05-01,2.14428
2020-05-02,0.67735
2020-05-03,0.49699
2020-05-04,3.8036
2020-05-05,2.61723
2020-05-06,3.01803
2020-05-07,2.93386
2020-05-08,1.85971
2020-05-09,0.45691
2020-05-10,0.25651
2020-05-11,2.38877
2020-05-12,2.24448
2020-05-13,2.40881
2020-05-14,2.53306
2020-05-15,1.93987
2020-05-16,0.26452
2020-05-17,0.16032
2020-05-18,2.64529
2020-05-19,2.92184
2020-05-20,2.29659
2020-05-21,1.96392
2020-05-22,2.11222
2020-05-23,0.38877
2020-05-24,0.21643
2020-05-25,2.06012
2020-05-26,2.39679
2020-05-27,2.02404
2020-05-28,2.16032
2020-05-29,1.72745
2020-05-30,0.27655
2020-05-31,0.10821
2020-06-01,3.46693
2020-06-02,1.97595
2020-06-03,1.87174
2020-06-04,2.52505
2020-06-05,1.7515
2020-06-06,0.35671
2020-06-07,0.23246
2020-06-08,2.33667
2020-06-09,2.18436
2020-06-10,1.73146
2020-06-11,3.01002
2020-06-12,5.12224
2020-06-13,0.61322
2020-06-14,0.39679
2020-06-15,7.83166
2020-06-16,5.33066
2020-06-17,3.57114
2020-06-18,3.42284
2020-06-19,2.34869
2020-06-20,0.48096
2020-06-21,0.32064
2020-06-22,2.78557
2020-06-23,2.91382
2020-06-24,3.49498
2020-06-25,5.00601
2020-06-26,2.8016
2020-06-27,0.69739
2020-06-28,0.58116
2020-06-29,5.79158
2020-06-30,4.17635
2020-07-01,3.53907
2020-07-02,2.70541
2020-07-03,2.11222
2020-07-04,0.57314
2020-07-05,0.2525
2020-07-06,2.87775
2020-07-07,2.63727
2020-07-08,2.26853
2020-07-09,2.02404
2020-07-10,2.01603
2020-07-11,0.28456
2020-07-12,0.16833
2020-07-13,2.10821
2020-07-14,2.72144
2020-07-15,2.39679
2020-07-16,2.3006
2020-07-17,1.57915
2020-07-18,0.24448
2020-07-19,0.07214
2020-07-20,1.77955
2020-07-21,1.59118
2020-07-22,1.95991
2020-07-23,1.94789
2020-07-24,2.18837
2020-07-25,0.29659
2020-07-26,0.1002
2020-07-27,1.80761
2020-07-28,1.76352
2020-07-29,2.07214
2020-07-30,2.50901
2020-07-31,1.87975
2020-08-01,0.16833
2020-08-02,0.05611
2020-08-03,1.8517
2020-08-04,1.52304
2020-08-05,1.88376
2020-08-06,1.81162
2020-08-07,1.95591
2020-08-08,0.16833
2020-08-09,0.14028
2020-08-10,1.77555
2020-08-11,1.79158
2020-08-12,1.67134
2020-08-13,1.49498
2020-08-14,1.59919
2020-08-15,0.21242
2020-08-16,0.08416
2020-08-17,1.27855
2020-08-18,1.77555
2020-08-19,1.21042
2020-08-20,2.08817
2020-08-21,1.22244
2020-08-22,0.13627
2020-08-23,0.06012
2020-08-24,1.05811
2020-08-25,1.23847
2020-08-26,1.18236
2020-08-27,1.29058
2020-08-28,0.88176
2020-08-29,0.1523
2020-08-30,0.04809
2020-08-31,1.16232
2020-09-01,1.2024
2020-09-02,1.08216
2020-09-03,1.15831
2020-09-04,2.5531
2020-09-05,0.3527
2020-09-06,0.11222
2020-09-07,1.85971
2020-09-08,3.2545
2020-09-09,3.07414
2020-09-10,2.14428
2020-09-11,1.69539
2020-09-12,0.19639
2020-09-13,0.09619
2020-09-14,1.49098
2020-09-15,1.29458
2020-09-16,1.29458
2020-09-17,2.04809
2020-09-18,1.4549
2020-09-19,0.13226
2020-09-20,0.0521
2020-09-21,3.39879
2020-09-22,3.51503
2020-09-23,2.23647
2020-09-24,4.08016
2020-09-25,2.12024
2020-09-26,0.28456
2020-09-27,0.11623
2020-09-28,1.77955
2020-09-29,1.03807
2020-09-30,0.96192
2020-10-01,0.83767
2020-10-02,7.18637
2020-10-03,0.69338
2020-10-04,0.28456
2020-10-05,2.04008
2020-10-06,1.97194
2020-10-07,1.77154
2020-10-08,1.09418
2020-10-09,0.62525
2020-10-10,0.18436
2020-10-11,0.07615
2020-10-12,1.39879
2020-10-13,1.32264
2020-10-14,1.43486
2020-10-15,2.6012
2020-10-16,1.503
2020-10-17,0.28056
2020-10-18,0.17234
2020-10-19,1.61523
2020-10-20,2.02004
2020-10-21,2.12424
2020-10-22,2.02805
2020-10-23,1.51503
2020-10-24,0.2525
2020-10-25,0.07615
2020-10-26,2.33667
2020-10-27,2.49699
2020-10-28,3.79959
2020-10-29,4.36072
2020-10-30,3.78356
2020-10-31,0.50501
2020-11-01,0.24048
2020-11-02,3.42685
2020-11-03,2.63727
2020-11-04,3.87174
2020-11-05,2.77755
2020-11-06,2.27254
2020-11-07,0.32464
2020-11-08,0.21242
2020-11-09,5.77555
2020-11-10,4.72545
2020-11-11,3.20641
2020-11-12,2.56513
2020-11-13,2.22444
2020-11-14,0.38877
2020-11-15,0.14829
2020-11-16,2.76953
2020-11-17,2.68537
2020-11-18,2.63727
2020-11-19,2.83767
2020-11-20,2.08817
2020-11-21,0.30861
2020-11-22,0.17635
2020-11-23,1.76753
2020-11-24,1.96392
2020-11-25,2.2044
2020-11-26,1.68336
2020-11-27,1.31462
2020-11-28,0.25651
2020-11-29,0.06012
2020-11-30,2.16833
2020-12-01,1.89579
2020-12-02,1.76753
2020-12-03,1.66733
2020-12-04,1.23046
2020-12-05,0.18036
2020-12-06,0.06412
2020-12-07,1.72344
2020-12-08,2.14428
2020-12-09,1.87575
2020-12-10,2.01202
2020-12-11,1.61122
2020-12-12,0.32064
2020-12-13,0.15631
2020-12-14,1.82364
2020-12-15,1.85971
2020-12-16,1.77555
2020-12-17,1.66733
2020-12-18,1.31863
2020-12-19,0.3527
2020-12-20,0.11623
2020-12-21,4.88977
2020-12-22,3.503
2020-12-23,2.54108
2020-12-24,1.17034
2020-12-25,0.26853
2020-12-26,0.13226
2020-12-27,0.1002
2020-12-28,1.45891
2020-12-29,1.40681
2020-12-30,1.11422
2020-12-31,0.77354
2021-01-01,0.39679
2021-01-02,0.24048
2021-01-03,0.18036
2021-01-04,1.83567
2021-01-05,2.96192
2021-01-06,4.00801
2021-01-07,3.26653
2021-01-08,2.07214
2021-01-09,0.47695
2021-01-10,0.2004
2021-01-11,3.40681
2021-01-12,3.36272
2021-01-13,2.52104
2021-01-14,2.39278
2021-01-15,2.0521
2021-01-16,0.55711
2021-01-17,0.34068
2021-01-18,2.28056
2021-01-19,2.08016
2021-01-20,1.85971
2021-01-21,1.91983
2021-01-22,2.27254
2021-01-23,0.33266
2021-01-24,0.20841
2021-01-25,2.36072
2021-01-26,2.92184
2021-01-27,3.21042
2021-01-28,7.20641
2021-01-29,5.09418
2021-01-30,1.19438
2021-01-31,0.60521
2021-02-01,4.86573
