date,세금환급
2020-03-20,2.46763
2020-03-21,1.35517
2020-03-22,1.27427
2020-03-23,2.81148
2020-03-24,2.87216
2020-03-25,3.15533
2020-03-26,2.24514
2020-03-27,2.08333
2020-03-28,1.41585
2020-03-29,1.53721
2020-03-30,4.57119
2020-03-31,4.10598
2020-04-01,3.45873
2020-04-02,2.38673
2020-04-03,3.07443
2020-04-04,2.02265
2020-04-05,1.88106
2020-04-06,3.31715
2020-04-07,3.33737
2020-04-08,2.83171
2020-04-09,4.00485
2020-04-10,3.7419
2020-04-11,1.86084
2020-04-12,2.02265
2020-04-13,3.27669
2020-04-14,3.41828
2020-04-15,2.3665
2020-04-16,3.90372
2020-04-17,3.7419
2020-04-18,2.93284
2020-04-19,3.29692
2020-04-20,4.87459
2020-04-21,5.0364
2020-04-22,4.22734
2020-04-23,4.61165
2020-04-24,4.30825
2020-04-25,2.3665
2020-04-26,2.87216
2020-04-27,8.53559
2020-04-28,8.57605
2020-04-29,7.72653
2020-04-30,6.10841
2020-05-01,23.96844
2020-05-02,8.81877
2020-05-03,8.09061
2020-05-04,20.14563
2020-05-05,8.75809
2020-05-06,13.36974
2020-05-07,9.10194
2020-05-08,10.53802
2020-05-09,6.29045
2020-05-10,5.56229
2020-05-11,14.76537
2020-05-12,14.64401
2020-05-13,14.5631
2020-05-14,17.01051
2020-05-15,13.06634
2020-05-16,8.77831
2020-05-17,7.80744
2020-05-18,16.80825
2020-05-19,15.67556
2020-05-20,14.50242
2020-05-21,14.05744
2020-05-22,12.66181
2020-05-23,6.9377
2020-05-24,6.55339
2020-05-25,51.92152
2020-05-26,79.55097
2020-05-27,41.8487
2020-05-28,28.15533
2020-05-29,22.51213
2020-05-30,13.8754
2020-05-31,13.65291
2020-06-01,27.69012
2020-06-02,16.72734
2020-06-03,15.81715
2020-06-04,14.38106
2020-06-05,13.38996
2020-06-06,8.19174
2020-06-07,8.83899
2020-06-08,15.33171
2020-06-09,14.11812
2020-06-10,19.37702
2020-06-11,11.79207
2020-06-12,8.51537
2020-06-13,4.42961
2020-06-14,4.59142
2020-06-15,9.66828
2020-06-16,9.20307
2020-06-17,10.96278
2020-06-18,11.40776
2020-06-19,11.99433
2020-06-20,5.0364
2020-06-21,5.29935
2020-06-22,12.45954
2020-06-23,10.80097
2020-06-24,7.30177
2020-06-25,6.47249
2020-06-26,6.18932
2020-06-27,3.23624
2020-06-28,2.85194
2020-06-29,6.37135
2020-06-30,6.25
2020-07-01,4.9555
2020-07-02,3.86326
2020-07-03,3.53964
2020-07-04,1.47653
2020-07-05,1.57766
2020-07-06,3.11488
2020-07-07,3.661
2020-07-08,2.46763
2020-07-09,2.52831
2020-07-10,2.60922
2020-07-11,1.11245
2020-07-12,1.15291
2020-07-13,1.80016
2020-07-14,2.71035
2020-07-15,2.30582
2020-07-16,2.32605
2020-07-17,1.55744
2020-07-18,1.35517
2020-07-19,0.66747
2020-07-20,2.08333
2020-07-21,1.90129
2020-07-22,2.12378
2020-07-23,2.10355
2020-07-24,1.94174
2020-07-25,0.95064
2020-07-26,0.91019
2020-07-27,1.7597
2020-07-28,1.80016
2020-07-29,1.49676
2020-07-30,1.57766
2020-07-31,1.96197
2020-08-01,0.93042
2020-08-02,0.78883
2020-08-03,1.45631
2020-08-04,2.02265
2020-08-05,1.82038
2020-08-06,2.20469
2020-08-07,2.26537
2020-08-08,0.78883
2020-08-09,0.62702
2020-08-10,2.34627
2020-08-11,2.00242
2020-08-12,2.0631
2020-08-13,2.00242
2020-08-14,1.53721
2020-08-15,1.05177
2020-08-16,0.80906
2020-08-17,1.23381
2020-08-18,1.96197
2020-08-19,9.08171
2020-08-20,4.08576
2020-08-21,2.9733
2020-08-22,1.7597
2020-08-23,1.13268
2020-08-24,4.67233
2020-08-25,3.13511
2020-08-26,2.71035
2020-08-27,1.80016
2020-08-28,2.42718
2020-08-29,0.9911
2020-08-30,1.15291
2020-08-31,2.16423
2020-09-01,2.73058
2020-09-02,2.46763
2020-09-03,2.24514
2020-09-04,2.08333
2020-09-05,1.39563
2020-09-06,1.05177
2020-09-07,1.88106
2020-09-08,1.77993
2020-09-09,1.69902
2020-09-10,2.10355
2020-09-11,1.59789
2020-09-12,0.82928
2020-09-13,0.93042
2020-09-14,1.69902
2020-09-15,2.04288
2020-09-16,1.69902
2020-09-17,1.59789
2020-09-18,1.23381
2020-09-19,0.46521
2020-09-20,0.82928
2020-09-21,1.59789
2020-09-22,1.25404
2020-09-23,1.53721
2020-09-24,1.39563
2020-09-25,1.49676
2020-09-26,0.93042
2020-09-27,0.80906
2020-09-28,1.71925
2020-09-29,1.45631
2020-09-30,0.91019
2020-10-01,0.86974
2020-10-02,0.84951
2020-10-03,1.072
2020-10-04,0.86974
2020-10-05,1.94174
2020-10-06,1.96197
2020-10-07,1.80016
2020-10-08,1.90129
2020-10-09,1.27427
2020-10-10,1.09223
2020-10-11,1.15291
2020-10-12,2.93284
2020-10-13,2.38673
2020-10-14,2.42718
2020-10-15,1.7597
2020-10-16,1.53721
2020-10-17,0.7686
2020-10-18,1.072
2020-10-19,1.82038
2020-10-20,2.34627
2020-10-21,2.0631
2020-10-22,2.08333
2020-10-23,1.71925
2020-10-24,1.05177
2020-10-25,1.01132
2020-10-26,1.45631
2020-10-27,1.80016
2020-10-28,1.55744
2020-10-29,1.63834
2020-10-30,1.59789
2020-10-31,0.6877
2020-11-01,0.84951
2020-11-02,2.58899
2020-11-03,2.64967
2020-11-04,2.26537
2020-11-05,3.11488
2020-11-06,2.26537
2020-11-07,1.53721
2020-11-08,1.69902
2020-11-09,2.79126
2020-11-10,3.33737
2020-11-11,2.12378
2020-11-12,2.64967
2020-11-13,2.6699
2020-11-14,1.73948
2020-11-15,1.49676
2020-11-16,2.85194
2020-11-17,3.25647
2020-11-18,2.44741
2020-11-19,2.64967
2020-11-20,2.62944
2020-11-21,1.7597
2020-11-22,1.51699
2020-11-23,2.9733
2020-11-24,3.39805
2020-11-25,2.95307
2020-11-26,2.22491
2020-11-27,2.6699
2020-11-28,1.33495
2020-11-29,1.84061
2020-11-30,2.73058
2020-12-01,2.73058
2020-12-02,2.50809
2020-12-03,2.32605
2020-12-04,2.22491
2020-12-05,2.00242
2020-12-06,1.3754
2020-12-07,2.83171
2020-12-08,2.73058
2020-12-09,2.18446
2020-12-10,4.79368
2020-12-11,2.87216
2020-12-12,2.00242
2020-12-13,2.08333
2020-12-14,3.58009
2020-12-15,3.90372
2020-12-16,3.27669
2020-12-17,3.64077
2020-12-18,2.77103
2020-12-19,1.92152
2020-12-20,2.32605
2020-12-21,3.62055
2020-12-22,4.12621
2020-12-23,3.51941
2020-12-24,4.79368
2020-12-25,2.79126
2020-12-26,3.23624
2020-12-27,4.47006
2020-12-28,6.71521
2020-12-29,6.55339
2020-12-30,5.76456
2020-12-31,5.05663
2021-01-01,3.72168
2021-01-02,4.67233
2021-01-03,4.75323
2021-01-04,6.87702
2021-01-05,6.87702
