date,엔씨소프트주가
2020-03-20,3.55621
2020-03-21,0.78401
2020-03-22,0.61342
2020-03-23,3.64444
2020-03-24,3.83939
2020-03-25,3.96796
2020-03-26,3.62595
2020-03-27,3.23773
2020-03-28,0.72771
2020-03-29,0.65544
2020-03-30,2.85791
2020-03-31,2.8285
2020-04-01,3.23269
2020-04-02,3.43436
2020-04-03,2.92345
2020-04-04,0.65544
2020-04-05,0.49578
2020-04-06,2.59153
2020-04-07,2.61758
2020-04-08,2.33271
2020-04-09,2.4806
2020-04-10,2.35876
2020-04-11,0.46385
2020-04-12,0.7546
2020-04-13,2.8537
2020-04-14,2.28397
2020-04-15,0.55628
2020-04-16,2.3512
2020-04-17,3.49318
2020-04-18,0.79745
2020-04-19,0.56805
2020-04-20,2.53186
2020-04-21,2.51926
2020-04-22,3.01505
2020-04-23,2.83774
2020-04-24,2.36212
2020-04-25,0.46637
2020-04-26,0.34032
2020-04-27,3.11336
2020-04-28,2.74278
2020-04-29,2.3159
2020-04-30,0.37394
2020-05-01,0.34452
2020-05-02,0.2336
2020-05-03,0.24789
2020-05-04,2.11339
2020-05-05,0.4462
2020-05-06,1.93608
2020-05-07,2.11843
2020-05-08,2.67976
2020-05-09,0.60922
2020-05-10,0.45292
2020-05-11,2.81169
2020-05-12,6.01833
2020-05-13,4.69315
2020-05-14,4.62089
2020-05-15,3.52932
2020-05-16,0.55796
2020-05-17,0.71426
2020-05-18,3.09992
2020-05-19,2.90496
2020-05-20,3.0016
2020-05-21,4.08393
2020-05-22,3.86796
2020-05-23,0.73275
2020-05-24,0.55376
2020-05-25,4.37047
2020-05-26,4.09905
2020-05-27,3.4394
2020-05-28,3.18899
2020-05-29,3.09992
2020-05-30,0.60922
2020-05-31,0.50923
2020-06-01,3.35789
2020-06-02,2.85286
2020-06-03,3.10244
2020-06-04,2.90244
2020-06-05,2.48901
2020-06-06,0.43444
2020-06-07,0.39494
2020-06-08,2.81505
2020-06-09,2.34868
2020-06-10,2.76379
2020-06-11,2.77387
2020-06-12,2.75119
2020-06-13,0.47141
2020-06-14,0.36805
2020-06-15,3.10076
2020-06-16,3.42092
2020-06-17,3.13941
2020-06-18,2.77303
2020-06-19,2.84614
2020-06-20,0.39242
2020-06-21,0.39074
2020-06-22,3.63772
2020-06-23,4.87046
2020-06-24,5.0192
2020-06-25,4.3982
2020-06-26,3.82595
2020-06-27,0.64536
2020-06-28,0.59242
2020-06-29,3.48478
2020-06-30,3.78225
2020-07-01,3.54108
2020-07-02,4.67971
2020-07-03,4.25787
2020-07-04,0.57225
2020-07-05,0.54956
2020-07-06,5.28053
2020-07-07,5.52002
2020-07-08,5.10071
2020-07-09,5.17381
2020-07-10,4.83853
2020-07-11,1.06299
2020-07-12,0.863
2020-07-13,5.2007
2020-07-14,4.09233
2020-07-15,4.50492
2020-07-16,5.80825
2020-07-17,4.57971
2020-07-18,0.77056
2020-07-19,0.68149
2020-07-20,4.46459
2020-07-21,4.37551
2020-07-22,4.03183
2020-07-23,7.38468
2020-07-24,6.13766
2020-07-25,1.13526
2020-07-26,1.02686
2020-07-27,5.9469
2020-07-28,5.8864
2020-07-29,5.9427
2020-07-30,5.42507
2020-07-31,4.84105
2020-08-01,0.89661
2020-08-02,0.84367
2020-08-03,5.94102
2020-08-04,5.63599
2020-08-05,5.09314
2020-08-06,4.98054
2020-08-07,5.11163
2020-08-08,0.8151
2020-08-09,0.62183
2020-08-10,4.68139
2020-08-11,4.74525
2020-08-12,4.5503
2020-08-13,7.45359
2020-08-14,5.26205
