date,상가투자
2020-03-20,18.69688
2020-03-21,26.62889
2020-03-22,31.72804
2020-03-23,28.32861
2020-03-24,22.66288
2020-03-25,28.32861
2020-03-26,35.12747
2020-03-27,28.04532
2020-03-28,22.66288
2020-03-29,25.77903
2020-03-30,29.46175
2020-03-31,28.61189
2020-04-01,31.72804
2020-04-02,26.06232
2020-04-03,33.99433
2020-04-04,28.32861
2020-04-05,28.89518
2020-04-06,28.61189
2020-04-07,26.62889
2020-04-08,43.34277
2020-04-09,32.5779
2020-04-10,27.19546
2020-04-11,29.46175
2020-04-12,40.22662
2020-04-13,30.87818
2020-04-14,35.12747
2020-04-15,26.91218
2020-04-16,27.19546
2020-04-17,30.02832
2020-04-18,36.26062
2020-04-19,45.32577
2020-04-20,33.42776
2020-04-21,34.27762
2020-04-22,37.39376
2020-04-23,39.94334
2020-04-24,37.39376
2020-04-25,33.99433
2020-04-26,41.64305
2020-04-27,48.15864
2020-04-28,24.3626
2020-04-29,31.72804
2020-04-30,33.71104
2020-05-01,34.5609
2020-05-02,33.42776
2020-05-03,33.14447
2020-05-04,33.99433
2020-05-05,38.24362
2020-05-06,37.39376
2020-05-07,32.5779
2020-05-08,26.62889
2020-05-09,30.5949
2020-05-10,23.22946
2020-05-11,32.01133
2020-05-12,32.5779
2020-05-13,38.81019
2020-05-14,31.16147
2020-05-15,34.84419
2020-05-16,38.24362
2020-05-17,41.07648
2020-05-18,41.35977
2020-05-19,40.22662
2020-05-20,28.32861
2020-05-21,37.39376
2020-05-22,32.5779
2020-05-23,32.29461
2020-05-24,42.49291
2020-05-25,39.94334
2020-05-26,40.22662
2020-05-27,34.27762
2020-05-28,31.16147
2020-05-29,34.27762
2020-05-30,30.5949
2020-05-31,41.64305
2020-06-01,49.00849
2020-06-02,41.64305
2020-06-03,37.39376
2020-06-04,30.5949
2020-06-05,50.70821
2020-06-06,44.7592
2020-06-07,49.00849
2020-06-08,48.15864
2020-06-09,42.20963
2020-06-10,41.92634
2020-06-11,50.70821
2020-06-12,34.84419
2020-06-13,33.42776
2020-06-14,47.87535
2020-06-15,51.84135
2020-06-16,47.87535
2020-06-17,45.04249
2020-06-18,65.72237
2020-06-19,56.9405
2020-06-20,46.45892
2020-06-21,57.79036
2020-06-22,54.9575
2020-06-23,53.54107
2020-06-24,60.62322
2020-06-25,51.84135
2020-06-26,49.00849
2020-06-27,44.19263
2020-06-28,53.82436
2020-06-29,62.60623
2020-06-30,57.22379
2020-07-01,48.44192
2020-07-02,57.22379
2020-07-03,54.39093
2020-07-04,45.60906
2020-07-05,52.12464
2020-07-06,64.87252
2020-07-07,60.90651
2020-07-08,62.32294
2020-07-09,52.40793
2020-07-10,56.9405
2020-07-11,80.73654
2020-07-12,81.01983
2020-07-13,100.0
2020-07-14,70.53824
2020-07-15,68.55524
2020-07-16,71.10481
2020-07-17,59.20679
2020-07-18,63.45609
2020-07-19,73.93767
2020-07-20,68.83852
2020-07-21,67.13881
2020-07-22,60.90651
2020-07-23,53.25779
2020-07-24,53.54107
2020-07-25,44.47592
2020-07-26,55.80736
2020-07-27,61.75637
2020-07-28,63.1728
2020-07-29,62.03966
2020-07-30,66.85552
2020-07-31,61.47308
2020-08-01,58.07365
2020-08-02,62.88951
2020-08-03,51.27478
2020-08-04,60.90651
2020-08-05,57.50708
2020-08-06,56.65722
2020-08-07,57.22379
2020-08-08,48.44192
2020-08-09,57.50708
2020-08-10,58.35694
2020-08-11,51.55807
2020-08-12,52.9745
2020-08-13,50.14164
2020-08-14,40.50991
2020-08-15,39.09348
2020-08-16,41.64305
2020-08-17,48.44192
2020-08-18,44.47592
2020-08-19,53.54107
2020-08-20,49.29178
2020-08-21,43.90934
2020-08-22,30.87818
2020-08-23,42.20963
2020-08-24,41.92634
