date,현금증여
2020-03-20,53.36787
2020-03-21,43.52331
2020-03-22,51.29533
2020-03-23,61.13989
2020-03-24,61.13989
2020-03-25,41.45077
2020-03-26,62.6943
2020-03-27,63.73056
2020-03-28,39.89637
2020-03-29,43.52331
2020-03-30,65.8031
2020-03-31,53.88601
2020-04-01,46.11398
2020-04-02,56.99481
2020-04-03,59.06735
2020-04-04,41.45077
2020-04-05,38.8601
2020-04-06,42.48704
2020-04-07,48.70466
2020-04-08,44.04145
2020-04-09,41.45077
2020-04-10,55.95854
2020-04-11,29.53367
2020-04-12,29.01554
2020-04-13,52.3316
2020-04-14,48.18652
2020-04-15,41.96891
2020-04-16,41.96891
2020-04-17,62.17616
2020-04-18,45.59585
2020-04-19,27.97927
2020-04-20,64.76683
2020-04-21,58.03108
2020-04-22,48.70466
2020-04-23,40.4145
2020-04-24,52.84974
2020-04-25,42.48704
2020-04-26,43.52331
2020-04-27,53.36787
2020-04-28,59.06735
2020-04-29,51.29533
2020-04-30,41.96891
2020-05-01,33.67875
2020-05-02,33.67875
2020-05-03,51.29533
2020-05-04,67.35751
2020-05-05,53.36787
2020-05-06,55.95854
2020-05-07,66.32124
2020-05-08,48.18652
2020-05-09,55.95854
2020-05-10,53.36787
2020-05-11,62.17616
2020-05-12,59.06735
2020-05-13,48.70466
2020-05-14,47.66839
2020-05-15,49.74093
2020-05-16,33.16062
2020-05-17,43.00518
2020-05-18,39.89637
2020-05-19,64.76683
2020-05-20,47.66839
2020-05-21,59.06735
2020-05-22,51.81347
2020-05-23,33.16062
2020-05-24,45.59585
2020-05-25,73.05699
2020-05-26,61.13989
2020-05-27,51.81347
2020-05-28,57.51295
2020-05-29,53.36787
2020-05-30,30.56994
2020-05-31,36.78756
2020-06-01,60.10362
2020-06-02,58.54922
2020-06-03,43.52331
2020-06-04,48.70466
2020-06-05,41.45077
2020-06-06,36.26943
2020-06-07,49.74093
2020-06-08,68.91191
2020-06-09,55.95854
2020-06-10,64.2487
2020-06-11,51.29533
2020-06-12,54.92227
2020-06-13,37.82383
2020-06-14,36.26943
2020-06-15,45.07772
2020-06-16,62.17616
2020-06-17,58.54922
2020-06-18,74.61139
2020-06-19,76.1658
2020-06-20,39.89637
2020-06-21,49.22279
2020-06-22,69.94818
2020-06-23,73.57512
2020-06-24,54.92227
2020-06-25,57.51295
2020-06-26,59.58549
2020-06-27,39.37823
2020-06-28,54.92227
2020-06-29,56.99481
2020-06-30,63.73056
2020-07-01,51.29533
2020-07-02,51.81347
2020-07-03,48.18652
2020-07-04,33.16062
2020-07-05,46.11398
2020-07-06,58.03108
2020-07-07,80.82901
2020-07-08,67.87564
2020-07-09,82.38341
2020-07-10,64.76683
2020-07-11,63.21243
2020-07-12,87.04663
2020-07-13,97.92746
2020-07-14,89.6373
2020-07-15,88.0829
2020-07-16,93.26424
2020-07-17,81.34715
2020-07-18,56.99481
2020-07-19,59.58549
2020-07-20,90.67357
2020-07-21,71.50259
2020-07-22,65.28497
2020-07-23,80.31088
2020-07-24,64.76683
2020-07-25,45.07772
2020-07-26,64.2487
2020-07-27,78.23834
2020-07-28,100.0
2020-07-29,82.90155
2020-07-30,70.46632
2020-07-31,61.65803
2020-08-01,39.37823
2020-08-02,48.70466
2020-08-03,80.82901
2020-08-04,49.22279
2020-08-05,77.20207
2020-08-06,56.47668
2020-08-07,63.73056
2020-08-08,48.70466
2020-08-09,40.4145
2020-08-10,77.20207
2020-08-11,63.21243
2020-08-12,65.28497
2020-08-13,63.21243
2020-08-14,57.51295
2020-08-15,38.8601
2020-08-16,31.60621
2020-08-17,57.51295
2020-08-18,53.36787
2020-08-19,45.07772
2020-08-20,56.47668
2020-08-21,54.40414
2020-08-22,34.19689
2020-08-23,41.96891
2020-08-24,69.94818
2020-08-25,72.53886
2020-08-26,62.17616
2020-08-27,59.58549
2020-08-28,47.15025
2020-08-29,27.97927
2020-08-30,40.4145
2020-08-31,64.2487
2020-09-01,48.18652
2020-09-02,62.17616
2020-09-03,63.73056
2020-09-04,46.11398
2020-09-05,31.60621
2020-09-06,22.79792
2020-09-07,50.7772
2020-09-08,49.22279
2020-09-09,41.45077
2020-09-10,54.40414
2020-09-11,53.88601
2020-09-12,44.55958
2020-09-13,25.3886
2020-09-14,62.17616
2020-09-15,54.92227
2020-09-16,49.22279
2020-09-17,54.92227
2020-09-18,45.07772
2020-09-19,36.26943
2020-09-20,37.30569
2020-09-21,55.44041
2020-09-22,54.40414
2020-09-23,44.55958
2020-09-24,49.74093
2020-09-25,35.75129
2020-09-26,29.53367
2020-09-27,40.93264
2020-09-28,46.11398
2020-09-29,47.66839
2020-09-30,38.8601
2020-10-01,29.01554
2020-10-02,40.93264
2020-10-03,44.04145
2020-10-04,52.3316
2020-10-05,72.53886
2020-10-06,63.73056
2020-10-07,62.17616
2020-10-08,50.7772
2020-10-09,35.23316
2020-10-10,41.96891
2020-10-11,42.48704
2020-10-12,58.54922
2020-10-13,67.35751
2020-10-14,68.39378
2020-10-15,55.44041
2020-10-16,57.51295
2020-10-17,35.75129
2020-10-18,35.23316
2020-10-19,62.17616
2020-10-20,73.05699
2020-10-21,69.43005
2020-10-22,52.3316
