date,방산주
2020-03-20,0.08063
2020-03-21,0.09752
2020-03-22,0.05012
2020-03-23,0.08608
2020-03-24,0.07682
2020-03-25,0.07736
2020-03-26,0.08444
2020-03-27,0.07518
2020-03-28,0.04685
2020-03-29,0.13402
2020-03-30,0.24353
2020-03-31,0.33288
2020-04-01,0.24898
2020-04-02,0.17434
2020-04-03,0.09534
2020-04-04,0.07191
2020-04-05,0.09153
2020-04-06,0.10678
2020-04-07,0.16998
2020-04-08,0.16835
2020-04-09,0.13402
2020-04-10,0.1313
2020-04-11,0.08826
2020-04-12,0.11168
2020-04-13,0.10297
2020-04-14,0.41352
2020-04-15,0.10297
2020-04-16,0.16235
2020-04-17,0.17706
2020-04-18,0.11005
2020-04-19,0.10678
2020-04-20,0.20321
2020-04-21,100.0
2020-04-22,4.97262
2020-04-23,15.60271
2020-04-24,5.51363
2020-04-25,2.5427
2020-04-26,2.10575
2020-04-27,2.42501
2020-04-28,3.1638
2020-04-29,1.74507
2020-04-30,0.46419
2020-05-01,1.4574
2020-05-02,1.3893
2020-05-03,0.7366
2020-05-04,1.06622
2020-05-05,0.23808
2020-05-06,0.31872
2020-05-07,0.34378
2020-05-08,0.19286
2020-05-09,0.1095
2020-05-10,0.08662
2020-05-11,0.25988
2020-05-12,0.22719
2020-05-13,0.15255
2020-05-14,0.14655
2020-05-15,0.17162
2020-05-16,0.073
2020-05-17,0.08771
2020-05-18,0.12912
2020-05-19,0.14546
2020-05-20,0.13838
2020-05-21,0.21084
2020-05-22,0.24244
2020-05-23,0.12476
2020-05-24,0.30292
2020-05-25,0.29801
2020-05-26,0.1994
2020-05-27,0.2468
2020-05-28,4.56509
2020-05-29,0.95616
2020-05-30,0.27241
2020-05-31,0.22991
2020-06-01,0.38628
2020-06-02,0.28221
2020-06-03,0.25497
2020-06-04,0.67394
2020-06-05,0.23046
2020-06-06,0.57043
2020-06-07,0.32961
2020-06-08,0.71263
2020-06-09,3.46236
2020-06-10,0.942
2020-06-11,0.55136
2020-06-12,0.43531
2020-06-13,0.69846
2020-06-14,1.54948
2020-06-15,6.7591
2020-06-16,55.58636
2020-06-17,19.38053
2020-06-18,7.0119
2020-06-19,9.10893
2020-06-20,1.04443
2020-06-21,0.86518
2020-06-22,2.28935
2020-06-23,1.34953
2020-06-24,1.76305
2020-06-25,0.7257
2020-06-26,0.59222
2020-06-27,0.18251
2020-06-28,0.15582
2020-06-29,0.31708
2020-06-30,0.2419
2020-07-01,0.72189
2020-07-02,0.29366
2020-07-03,0.29202
2020-07-04,0.19014
2020-07-05,0.17597
2020-07-06,0.2675
2020-07-07,0.7317
2020-07-08,0.28276
2020-07-09,0.43422
2020-07-10,0.23917
2020-07-11,0.09425
2020-07-12,0.11822
2020-07-13,0.1569
2020-07-14,0.23373
2020-07-15,0.14601
2020-07-16,0.14437
2020-07-17,0.1994
2020-07-18,0.11986
2020-07-19,0.16017
2020-07-20,0.25443
2020-07-21,0.19613
2020-07-22,0.23808
2020-07-23,0.2468
2020-07-24,0.34759
2020-07-25,0.11877
2020-07-26,0.28657
2020-07-27,0.30455
2020-07-28,0.43095
2020-07-29,0.38464
2020-07-30,0.25116
2020-07-31,0.14601
2020-08-01,0.08063
2020-08-02,0.08608
2020-08-03,0.13784
2020-08-04,0.1629
2020-08-05,0.2517
2020-08-06,0.17706
2020-08-07,0.16562
2020-08-08,0.11168
2020-08-09,0.10842
2020-08-10,0.27786
2020-08-11,0.27077
2020-08-12,0.23917
2020-08-13,1.13705
2020-08-14,0.28984
2020-08-15,0.0937
2020-08-16,0.09316
2020-08-17,0.09262
2020-08-18,0.22228
2020-08-19,0.51377
2020-08-20,23.73423
2020-08-21,4.2055
2020-08-22,0.29366
2020-08-23,0.21084
2020-08-24,0.59331
2020-08-25,0.35032
2020-08-26,0.24081
2020-08-27,0.22937
2020-08-28,0.28494
2020-08-29,0.10406
2020-08-30,0.09534
2020-08-31,0.21302
2020-09-01,0.19995
2020-09-02,0.39935
2020-09-03,0.5312
2020-09-04,0.29747
2020-09-05,0.26042
2020-09-06,0.15037
2020-09-07,0.39172
2020-09-08,0.30346
2020-09-09,0.29638
2020-09-10,0.23645
2020-09-11,0.20376
2020-09-12,0.13457
2020-09-13,0.11386
2020-09-14,0.23264
2020-09-15,0.2893
2020-09-16,0.80416
2020-09-17,0.39935
2020-09-18,0.17107
2020-09-19,0.10133
2020-09-20,0.08444
2020-09-21,0.25061
2020-09-22,0.18033
2020-09-23,0.19559
2020-09-24,5.29243
2020-09-25,3.91675
2020-09-26,0.47018
2020-09-27,0.31055
2020-09-28,0.51431
2020-09-29,0.20539
2020-09-30,0.10896
2020-10-01,0.09207
2020-10-02,0.11114
2020-10-03,0.09915
2020-10-04,0.09588
2020-10-05,0.31926
2020-10-06,0.79762
2020-10-07,0.36884
2020-10-08,0.22392
2020-10-09,0.10406
2020-10-10,0.18905
2020-10-11,0.29311
