date,실비암보험
2020-03-20,32.38636
2020-03-21,19.31818
2020-03-22,21.5909
2020-03-23,39.20454
2020-03-24,52.27272
2020-03-25,49.43181
2020-03-26,53.97727
2020-03-27,27.27272
2020-03-28,23.86363
2020-03-29,25.56818
2020-03-30,60.22727
2020-03-31,51.13636
2020-04-01,36.93181
2020-04-02,36.93181
2020-04-03,29.54545
2020-04-04,25.56818
2020-04-05,26.13636
2020-04-06,31.81818
2020-04-07,34.65909
2020-04-08,34.65909
2020-04-09,54.54545
2020-04-10,31.25
2020-04-11,20.45454
2020-04-12,27.27272
2020-04-13,42.04545
2020-04-14,46.5909
2020-04-15,20.45454
2020-04-16,38.06818
2020-04-17,31.25
2020-04-18,18.75
2020-04-19,18.75
2020-04-20,35.22727
2020-04-21,44.88636
2020-04-22,44.31818
2020-04-23,31.25
2020-04-24,35.79545
2020-04-25,23.86363
2020-04-26,18.75
2020-04-27,32.38636
2020-04-28,40.3409
2020-04-29,43.18181
2020-04-30,18.18181
2020-05-01,19.31818
2020-05-02,21.5909
2020-05-03,13.63636
2020-05-04,39.77272
2020-05-05,21.02272
2020-05-06,35.22727
2020-05-07,40.3409
2020-05-08,33.52272
2020-05-09,25.56818
2020-05-10,27.8409
2020-05-11,39.20454
2020-05-12,41.47727
2020-05-13,48.86363
2020-05-14,50.0
2020-05-15,39.77272
2020-05-16,20.45454
2020-05-17,27.8409
2020-05-18,50.56818
2020-05-19,52.27272
2020-05-20,56.25
2020-05-21,50.56818
2020-05-22,36.36363
2020-05-23,19.31818
2020-05-24,25.56818
2020-05-25,38.63636
2020-05-26,51.70454
2020-05-27,57.95454
2020-05-28,37.5
2020-05-29,30.11363
2020-05-30,22.72727
2020-05-31,26.13636
2020-06-01,34.0909
2020-06-02,42.61363
2020-06-03,42.04545
2020-06-04,47.72727
2020-06-05,40.3409
2020-06-06,21.02272
2020-06-07,27.27272
2020-06-08,35.22727
2020-06-09,34.0909
2020-06-10,39.20454
2020-06-11,40.3409
2020-06-12,25.56818
2020-06-13,20.45454
