date,사직
2020-03-20,15.70614
2020-03-21,10.44965
2020-03-22,11.01963
2020-03-23,18.61937
2020-03-24,16.8461
2020-03-25,14.62951
2020-03-26,13.93286
2020-03-27,15.13616
2020-03-28,8.86637
2020-03-29,10.51298
2020-03-30,15.76947
2020-03-31,18.68271
2020-04-01,19.06269
2020-04-02,16.65611
2020-04-03,16.14946
2020-04-04,10.57631
2020-04-05,9.30968
2020-04-06,15.13616
2020-04-07,14.43951
2020-04-08,13.93286
2020-04-09,13.86953
2020-04-10,14.12286
2020-04-11,10.70297
2020-04-12,8.99303
2020-04-13,20.7093
2020-04-14,19.25269
2020-04-15,12.53958
2020-04-16,14.43951
2020-04-17,14.94616
2020-04-18,13.8062
2020-04-19,13.8062
2020-04-20,22.79924
2020-04-21,18.23939
2020-04-22,16.97276
2020-04-23,17.16276
2020-04-24,16.71944
2020-04-25,11.90626
2020-04-26,11.7796
2020-04-27,19.06269
2020-04-28,19.37935
2020-04-29,16.40278
2020-04-30,10.51298
2020-05-01,10.19632
2020-05-02,9.56301
2020-05-03,11.01963
2020-05-04,14.94616
2020-05-05,14.18619
2020-05-06,17.92273
2020-05-07,16.21279
2020-05-08,20.45598
2020-05-09,25.20582
2020-05-10,16.14946
2020-05-11,16.71944
2020-05-12,20.32932
2020-05-13,19.06269
2020-05-14,17.28942
2020-05-15,16.8461
2020-05-16,13.86953
2020-05-17,13.36288
2020-05-18,17.54274
2020-05-19,19.06269
2020-05-20,13.93286
2020-05-21,13.10956
2020-05-22,18.04939
2020-05-23,11.7796
2020-05-24,12.34958
2020-05-25,16.8461
2020-05-26,18.99936
2020-05-27,16.97276
2020-05-28,14.8195
2020-05-29,15.32615
2020-05-30,12.72957
2020-05-31,12.85623
2020-06-01,15.95946
2020-06-02,18.23939
2020-06-03,16.90943
2020-06-04,15.51614
2020-06-05,15.00949
2020-06-06,11.58961
2020-06-07,17.79607
2020-06-08,17.28942
2020-06-09,16.59278
2020-06-10,21.27929
2020-06-11,17.8594
2020-06-12,17.8594
2020-06-13,13.10956
2020-06-14,11.14629
2020-06-15,17.54274
2020-06-16,16.14946
2020-06-17,18.93603
2020-06-18,16.71944
2020-06-19,18.30272
2020-06-20,11.58961
2020-06-21,11.46295
2020-06-22,18.23939
2020-06-23,20.39265
2020-06-24,37.11209
2020-06-25,41.35528
2020-06-26,19.886
2020-06-27,11.9696
2020-06-28,12.34958
2020-06-29,14.62951
2020-06-30,15.70614
2020-07-01,15.38948
2020-07-02,16.59278
2020-07-03,17.98606
2020-07-04,12.7929
2020-07-05,10.51298
2020-07-06,15.45281
2020-07-07,15.26282
2020-07-08,15.00949
2020-07-09,12.9829
2020-07-10,22.16592
2020-07-11,13.74287
2020-07-12,17.41608
2020-07-13,19.06269
2020-07-14,17.22609
2020-07-15,16.40278
2020-07-16,14.75617
2020-07-17,15.19949
2020-07-18,9.62634
2020-07-19,9.43635
2020-07-20,16.46611
2020-07-21,13.67954
2020-07-22,13.61621
2020-07-23,15.38948
2020-07-24,14.18619
2020-07-25,11.14629
2020-07-26,10.9563
2020-07-27,16.97276
2020-07-28,39.51868
2020-07-29,31.09563
2020-07-30,34.45218
2020-07-31,21.46928
2020-08-01,17.8594
2020-08-02,16.27612
2020-08-03,14.8195
2020-08-04,14.94616
2020-08-05,16.59278
2020-08-06,16.65611
2020-08-07,16.59278
2020-08-08,13.36288
2020-08-09,13.17289
2020-08-10,17.35275
2020-08-11,31.72894
2020-08-12,27.35908
2020-08-13,18.68271
2020-08-14,18.80937
2020-08-15,13.17289
2020-08-16,14.75617
2020-08-17,11.9696
2020-08-18,15.51614
2020-08-19,16.52944
2020-08-20,15.70614
2020-08-21,16.08613
