date,고금리적금
2020-03-20,12.36654
2020-03-21,6.31672
2020-03-22,7.91814
2020-03-23,10.23131
2020-03-24,10.40925
2020-03-25,12.36654
2020-03-26,11.12099
2020-03-27,8.00711
2020-03-28,6.31672
2020-03-29,6.76156
2020-03-30,11.9217
2020-03-31,11.56583
2020-04-01,10.94306
2020-04-02,10.67615
2020-04-03,7.02846
2020-04-04,6.85053
2020-04-05,6.67259
2020-04-06,10.76512
2020-04-07,8.98576
2020-04-08,17.88256
2020-04-09,14.59074
2020-04-10,13.07829
2020-04-11,9.4306
2020-04-12,9.1637
2020-04-13,10.85409
2020-04-14,14.05693
2020-04-15,10.94306
2020-04-16,16.3701
2020-04-17,15.65836
2020-04-18,8.98576
2020-04-19,8.98576
2020-04-20,12.63345
2020-04-21,17.25978
2020-04-22,11.56583
2020-04-23,12.45551
2020-04-24,12.81138
2020-04-25,7.4733
2020-04-26,9.78647
2020-04-27,11.29893
2020-04-28,10.40925
2020-04-29,9.78647
2020-04-30,7.29537
2020-05-01,9.07473
2020-05-02,7.29537
2020-05-03,7.65124
2020-05-04,12.01067
2020-05-05,9.34163
2020-05-06,10.49822
2020-05-07,10.49822
2020-05-08,8.18505
2020-05-09,5.60498
2020-05-10,7.4733
2020-05-11,9.1637
2020-05-12,9.4306
2020-05-13,9.78647
2020-05-14,8.45195
2020-05-15,8.80782
2020-05-16,7.65124
2020-05-17,7.11743
2020-05-18,8.27402
2020-05-19,9.60854
2020-05-20,8.98576
2020-05-21,10.32028
2020-05-22,7.56227
2020-05-23,5.78291
2020-05-24,9.51957
2020-05-25,11.83274
2020-05-26,16.72597
2020-05-27,11.83274
2020-05-28,11.03202
2020-05-29,9.87544
2020-05-30,6.22775
2020-05-31,8.98576
2020-06-01,14.05693
2020-06-02,10.85409
2020-06-03,11.12099
2020-06-04,9.4306
2020-06-05,8.00711
2020-06-06,6.31672
2020-06-07,7.4733
2020-06-08,9.07473
2020-06-09,15.12455
2020-06-10,15.48042
2020-06-11,11.29893
2020-06-12,8.54092
2020-06-13,4.80427
2020-06-14,6.76156
2020-06-15,13.70106
2020-06-16,15.03558
2020-06-17,12.54448
2020-06-18,11.12099
2020-06-19,7.02846
2020-06-20,4.44839
2020-06-21,5.42704
2020-06-22,9.51957
2020-06-23,9.07473
2020-06-24,8.80782
2020-06-25,10.58718
2020-06-26,6.58362
2020-06-27,4.89323
2020-06-28,6.49466
2020-06-29,10.14234
2020-06-30,8.98576
2020-07-01,9.51957
2020-07-02,7.38434
2020-07-03,8.62989
2020-07-04,4.62633
2020-07-05,10.14234
2020-07-06,10.32028
2020-07-07,12.01067
2020-07-08,11.56583
2020-07-09,8.89679
2020-07-10,6.49466
2020-07-11,6.49466
2020-07-12,7.65124
2020-07-13,10.49822
2020-07-14,9.96441
2020-07-15,18.41637
2020-07-16,13.96797
2020-07-17,11.20996
2020-07-18,5.33807
2020-07-19,6.40569
2020-07-20,12.01067
2020-07-21,11.3879
2020-07-22,12.09964
2020-07-23,10.05338
2020-07-24,10.23131
2020-07-25,6.22775
2020-07-26,6.9395
2020-07-27,12.81138
2020-07-28,12.01067
2020-07-29,11.6548
2020-07-30,8.80782
2020-07-31,10.58718
2020-08-01,7.38434
2020-08-02,6.22775
2020-08-03,12.63345
2020-08-04,10.05338
2020-08-05,12.81138
2020-08-06,9.34163
2020-08-07,9.87544
2020-08-08,5.60498
2020-08-09,7.38434
2020-08-10,12.81138
2020-08-11,10.32028
2020-08-12,8.54092
2020-08-13,8.45195
2020-08-14,9.6975
2020-08-15,6.04982
2020-08-16,6.76156
2020-08-17,6.40569
2020-08-18,7.4733
2020-08-19,11.3879
2020-08-20,6.67259
2020-08-21,9.96441
