date,3D프린터추천
2020-03-20,49.38271
2020-03-21,62.96296
2020-03-22,72.8395
2020-03-23,100.0
2020-03-24,79.01234
2020-03-25,69.1358
2020-03-26,77.77777
2020-03-27,86.41975
2020-03-28,56.79012
2020-03-29,48.14814
2020-03-30,67.90123
2020-03-31,72.8395
2020-04-01,51.85185
2020-04-02,61.72839
2020-04-03,43.20987
2020-04-04,33.33333
2020-04-05,40.74074
2020-04-06,71.60493
2020-04-07,85.18518
2020-04-08,56.79012
2020-04-09,69.1358
2020-04-10,40.74074
2020-04-11,39.50617
2020-04-12,44.44444
2020-04-13,67.90123
2020-04-14,46.91358
2020-04-15,61.72839
2020-04-16,54.32098
2020-04-17,55.55555
2020-04-18,48.14814
2020-04-19,51.85185
2020-04-20,61.72839
2020-04-21,46.91358
2020-04-22,58.02469
2020-04-23,69.1358
2020-04-24,48.14814
2020-04-25,43.20987
2020-04-26,49.38271
2020-04-27,74.07407
2020-04-28,59.25925
2020-04-29,50.61728
2020-04-30,45.67901
2020-05-01,35.80246
2020-05-02,41.9753
2020-05-03,50.61728
2020-05-04,40.74074
2020-05-05,50.61728
2020-05-06,38.2716
2020-05-07,50.61728
2020-05-08,49.38271
2020-05-09,41.9753
2020-05-10,55.55555
2020-05-11,40.74074
2020-05-12,76.5432
2020-05-13,69.1358
2020-05-14,53.08641
2020-05-15,70.37037
2020-05-16,39.50617
2020-05-17,44.44444
2020-05-18,54.32098
2020-05-19,65.43209
2020-05-20,76.5432
2020-05-21,58.02469
2020-05-22,77.77777
2020-05-23,27.16049
2020-05-24,35.80246
2020-05-25,60.49382
2020-05-26,81.48148
2020-05-27,60.49382
2020-05-28,49.38271
2020-05-29,40.74074
2020-05-30,43.20987
2020-05-31,35.80246
2020-06-01,41.9753
2020-06-02,51.85185
2020-06-03,55.55555
2020-06-04,54.32098
2020-06-05,46.91358
2020-06-06,34.5679
2020-06-07,29.62962
2020-06-08,38.2716
2020-06-09,83.95061
2020-06-10,51.85185
