date,종합소득세세율
2020-03-20,10.06048
2020-03-21,6.25
2020-03-22,6.53225
2020-03-23,11.7137
2020-03-24,11.89516
2020-03-25,11.22983
2020-03-26,10.68548
2020-03-27,11.06854
2020-03-28,7.09677
2020-03-29,7.17741
2020-03-30,14.57661
2020-03-31,12.5
2020-04-01,12.15725
2020-04-02,13.28629
2020-04-03,13.46774
2020-04-04,8.06451
2020-04-05,6.51209
2020-04-06,12.62096
2020-04-07,12.56048
2020-04-08,11.875
2020-04-09,12.15725
2020-04-10,11.27016
2020-04-11,7.98387
2020-04-12,6.16935
2020-04-13,12.21774
2020-04-14,11.7137
2020-04-15,7.31854
2020-04-16,11.39112
2020-04-17,10.52419
2020-04-18,7.19758
2020-04-19,7.3387
2020-04-20,12.9637
2020-04-21,12.8629
2020-04-22,13.83064
2020-04-23,12.68145
2020-04-24,12.41935
2020-04-25,8.97177
2020-04-26,11.12903
2020-04-27,20.78629
2020-04-28,20.96774
2020-04-29,15.24193
2020-04-30,9.2137
2020-05-01,15.82661
2020-05-02,10.80645
2020-05-03,16.18951
2020-05-04,22.21774
2020-05-05,12.64112
2020-05-06,20.52419
2020-05-07,22.27822
2020-05-08,18.8508
2020-05-09,11.85483
2020-05-10,9.63709
2020-05-11,24.7379
2020-05-12,25.26209
2020-05-13,25.7258
2020-05-14,24.23387
2020-05-15,25.50403
2020-05-16,13.77016
2020-05-17,12.90322
2020-05-18,30.16129
2020-05-19,31.29032
2020-05-20,32.98387
2020-05-21,34.97983
2020-05-22,30.40322
2020-05-23,14.61693
2020-05-24,14.63709
2020-05-25,36.75403
2020-05-26,40.32258
2020-05-27,38.16532
2020-05-28,34.71774
2020-05-29,26.73387
2020-05-30,12.43951
2020-05-31,11.81451
2020-06-01,23.97177
2020-06-02,12.3387
2020-06-03,11.39112
2020-06-04,9.13306
2020-06-05,7.88306
2020-06-06,4.65725
2020-06-07,3.64919
2020-06-08,8.42741
2020-06-09,8.04435
2020-06-10,8.97177
2020-06-11,9.93951
2020-06-12,9.41532
2020-06-13,5.32258
2020-06-14,4.15322
2020-06-15,9.23387
2020-06-16,9.19354
2020-06-17,9.39516
2020-06-18,9.97983
2020-06-19,10.02016
2020-06-20,5.20161
2020-06-21,4.17338
2020-06-22,11.22983
2020-06-23,11.18951
2020-06-24,12.19758
2020-06-25,12.62096
