date,연말정산환급금조회
2020-03-20,0.94662
2020-03-21,0.38481
2020-03-22,0.29299
2020-03-23,0.70216
2020-03-24,0.72827
2020-03-25,0.96835
2020-03-26,0.68482
2020-03-27,0.58371
2020-03-28,0.25128
2020-03-29,0.23744
2020-03-30,0.8066
2020-03-31,0.88634
2020-04-01,0.61034
2020-04-02,0.50678
2020-04-03,0.60403
2020-04-04,0.25391
2020-04-05,0.20765
2020-04-06,0.48505
2020-04-07,0.43563
2020-04-08,0.41075
2020-04-09,0.37132
2020-04-10,0.5455
2020-04-11,0.18802
2020-04-12,0.15578
2020-04-13,0.3785
2020-04-14,0.34276
2020-04-15,0.16927
2020-04-16,0.28563
2020-04-17,0.23691
2020-04-18,0.11267
2020-04-19,0.10479
2020-04-20,0.22885
2020-04-21,0.22465
2020-04-22,0.19854
2020-04-23,0.18802
2020-04-24,0.21764
2020-04-25,0.08937
2020-04-26,0.08533
2020-04-27,0.21133
2020-04-28,0.23148
2020-04-29,0.19784
2020-04-30,0.1174
2020-05-01,0.1917
2020-05-02,0.10671
2020-05-03,0.11232
2020-05-04,0.28265
2020-05-05,0.13475
2020-05-06,0.24235
2020-05-07,0.19363
2020-05-08,0.19153
2020-05-09,0.12038
2020-05-10,0.11845
2020-05-11,0.22342
2020-05-12,0.27687
2020-05-13,0.25812
2020-05-14,0.23902
2020-05-15,0.21115
2020-05-16,0.11074
2020-05-17,0.10286
2020-05-18,0.22728
2020-05-19,0.23096
2020-05-20,0.21396
2020-05-21,0.20642
2020-05-22,0.15736
2020-05-23,0.08025
2020-05-24,0.10566
2020-05-25,0.53481
2020-05-26,0.44983
2020-05-27,0.29351
2020-05-28,0.21571
2020-05-29,0.1931
2020-05-30,0.09515
2020-05-31,0.0948
2020-06-01,0.20555
2020-06-02,0.14316
2020-06-03,0.11635
2020-06-04,0.10531
2020-06-05,0.10128
2020-06-06,0.04941
2020-06-07,0.04643
2020-06-08,0.09269
2020-06-09,0.07938
2020-06-10,0.10636
2020-06-11,0.06834
2020-06-12,0.05852
2020-06-13,0.03119
2020-06-14,0.03522
2020-06-15,0.07079
2020-06-16,0.06991
2020-06-17,0.06466
2020-06-18,0.06816
2020-06-19,0.05502
2020-06-20,0.0191
2020-06-21,0.01945
2020-06-22,0.04661
2020-06-23,0.0396
2020-06-24,0.04275
2020-06-25,0.03574
2020-06-26,0.03504
2020-06-27,0.01489
2020-06-28,0.01699
2020-06-29,0.04047
2020-06-30,0.03995
2020-07-01,0.04258
2020-07-02,0.03364
2020-07-03,0.03311
2020-07-04,0.01787
2020-07-05,0.01892
2020-07-06,0.04538
2020-07-07,0.04748
2020-07-08,0.04521
