date,MRI보험적용
2020-03-20,37.27369
2020-03-21,28.80724
2020-03-22,20.66027
2020-03-23,44.88817
2020-03-24,44.62193
2020-03-25,39.19062
2020-03-26,38.17891
2020-03-27,38.71139
2020-03-28,29.60596
2020-03-29,24.44089
2020-03-30,49.20127
2020-03-31,40.89456
2020-04-01,40.68157
2020-04-02,39.13738
2020-04-03,39.24387
2020-04-04,27.42279
2020-04-05,21.40575
2020-04-06,51.91693
2020-04-07,43.29073
2020-04-08,44.0362
2020-04-09,37.91267
2020-04-10,37.00745
2020-04-11,30.61767
2020-04-12,20.66027
2020-04-13,52.92864
2020-04-14,44.78168
2020-04-15,30.93716
2020-04-16,45.04792
2020-04-17,41.05431
2020-04-18,32.21512
2020-04-19,24.06815
2020-04-20,53.03514
2020-04-21,46.53887
2020-04-22,45.31416
2020-04-23,45.10117
2020-04-24,45.4739
2020-04-25,30.45793
2020-04-26,23.10969
2020-04-27,52.87539
2020-04-28,47.81682
2020-04-29,41.58679
2020-04-30,25.34611
2020-05-01,40.52183
2020-05-02,32.8541
2020-05-03,25.23961
2020-05-04,56.9755
2020-05-05,28.75399
2020-05-06,58.83919
2020-05-07,54.57933
2020-05-08,42.11927
2020-05-09,30.67092
2020-05-10,28.80724
2020-05-11,60.48988
2020-05-12,58.94568
2020-05-13,47.28434
2020-05-14,40.89456
2020-05-15,45.4739
2020-05-16,30.72417
2020-05-17,25.02662
2020-05-18,46.32587
2020-05-19,52.87539
2020-05-20,38.97763
2020-05-21,40.68157
2020-05-22,50.37273
2020-05-23,31.52289
2020-05-24,20.87326
2020-05-25,51.06496
2020-05-26,48.18956
2020-05-27,50.63897
2020-05-28,38.44515
2020-05-29,33.33333
2020-05-30,27.26304
2020-05-31,21.93823
2020-06-01,50.47923
2020-06-02,47.60383
2020-06-03,45.52715
2020-06-04,43.07774
2020-06-05,44.94142
2020-06-06,21.99148
2020-06-07,19.59531
2020-06-08,44.78168
2020-06-09,40.20234
2020-06-10,34.93077
2020-06-11,38.92438
2020-06-12,36.68796
2020-06-13,26.51757
2020-06-14,22.47071
2020-06-15,38.3919
2020-06-16,42.54526
2020-06-17,43.13099
2020-06-18,38.87113
2020-06-19,35.03727
2020-06-20,22.52396
2020-06-21,16.13418
2020-06-22,44.72843
2020-06-23,41.42705
2020-06-24,42.27902
2020-06-25,47.17784
2020-06-26,34.39829
2020-06-27,26.46432
2020-06-28,18.4771
2020-06-29,42.8115
2020-06-30,37.27369
2020-07-01,34.55804
2020-07-02,37.38019
2020-07-03,31.78913
2020-07-04,24.97337
2020-07-05,19.64856
2020-07-06,45.89989
2020-07-07,35.30351
2020-07-08,33.65282
2020-07-09,36.9542
2020-07-10,29.55271
2020-07-11,23.80191
2020-07-12,19.70181
2020-07-13,44.19595
2020-07-14,45.31416
2020-07-15,40.36208
2020-07-16,36.9542
2020-07-17,33.33333
2020-07-18,19.64856
2020-07-19,15.92119
2020-07-20,38.07241
2020-07-21,36.79446
2020-07-22,38.23216
2020-07-23,36.15548
2020-07-24,32.58785
2020-07-25,27.42279
2020-07-26,17.35889
2020-07-27,44.0362
2020-07-28,40.09584
2020-07-29,47.71033
2020-07-30,43.39723
2020-07-31,33.22683
2020-08-01,26.14483
2020-08-02,21.29925
2020-08-03,46.43237
2020-08-04,40.78807
2020-08-05,42.17252
2020-08-06,39.66986
2020-08-07,43.92971
2020-08-08,22.6837
2020-08-09,15.44195
2020-08-10,41.2673
2020-08-11,43.34398
2020-08-12,41.69329
2020-08-13,33.12034
2020-08-14,31.84238
2020-08-15,15.06922
2020-08-16,15.6017
2020-08-17,30.13844
2020-08-18,37.69968
2020-08-19,37.32694
2020-08-20,33.54632
2020-08-21,30.83067
2020-08-22,20.18104
2020-08-23,14.21725
2020-08-24,29.33972
2020-08-25,26.14483
2020-08-26,30.29818
2020-08-27,26.94355
2020-08-28,28.96698
2020-08-29,21.61874
2020-08-30,14.80298
2020-08-31,29.07348
2020-09-01,28.27476
2020-09-02,27.1033
2020-09-03,29.33972
2020-09-04,25.34611
2020-09-05,15.17571
2020-09-06,9.37167
2020-09-07,29.7657
2020-09-08,29.02023
2020-09-09,25.4526
2020-09-10,29.8722
2020-09-11,25.29286
2020-09-12,16.66666
2020-09-13,13.79126
2020-09-14,34.29179
2020-09-15,28.00851
2020-09-16,30.40468
2020-09-17,25.29286
2020-09-18,23.48242
2020-09-19,17.78487
2020-09-20,16.9329
2020-09-21,31.36315
2020-09-22,24.76038
2020-09-23,27.58253
2020-09-24,25.23961
2020-09-25,26.03833
2020-09-26,18.31735
2020-09-27,15.92119
2020-09-28,27.05005
2020-09-29,22.41746
2020-09-30,13.84451
2020-10-01,17.09265
2020-10-02,14.43024
2020-10-03,17.62513
2020-10-04,18.3706
2020-10-05,44.62193
2020-10-06,36.20873
2020-10-07,37.64643
2020-10-08,34.02555
2020-10-09,18.4771
2020-10-10,26.09158
2020-10-11,15.54845
2020-10-12,48.3493
2020-10-13,40.04259
2020-10-14,36.79446
2020-10-15,27.63578
2020-10-16,29.33972
2020-10-17,20.50053
2020-10-18,19.27582
2020-10-19,47.87007
2020-10-20,40.62832
2020-10-21,35.67625
2020-10-22,35.99574
2020-10-23,36.04898
2020-10-24,24.28115
2020-10-25,16.18743
2020-10-26,48.02981
2020-10-27,43.29073
2020-10-28,42.49201
2020-10-29,37.32694
2020-10-30,35.623
2020-10-31,26.35782
2020-11-01,19.43556
2020-11-02,47.87007
2020-11-03,44.1427
2020-11-04,41.21405
2020-11-05,34.71778
2020-11-06,35.56975
2020-11-07,28.00851
2020-11-08,21.56549
2020-11-09,57.93397
2020-11-10,41.3738
2020-11-11,32.53461
2020-11-12,41.10756
2020-11-13,36.04898
2020-11-14,27.58253
2020-11-15,20.12779
2020-11-16,50.37273
2020-11-17,50.21299
2020-11-18,48.66879
2020-11-19,35.72949
2020-11-20,39.19062
2020-11-21,27.20979
2020-11-22,21.3525
2020-11-23,55.48455
2020-11-24,43.02449
2020-11-25,42.01277
2020-11-26,36.42172
2020-11-27,36.52822
2020-11-28,28.96698
2020-11-29,18.42385
2020-11-30,35.72949
2020-12-01,41.64004
2020-12-02,43.87646
2020-12-03,41.21405
2020-12-04,41.48029
2020-12-05,30.67092
2020-12-06,19.16932
2020-12-07,37.59318
2020-12-08,40.09584
2020-12-09,43.34398
2020-12-10,42.705
2020-12-11,41.3738
2020-12-12,26.30457
2020-12-13,17.83812
2020-12-14,34.82428
2020-12-15,31.36315
2020-12-16,33.54632
2020-12-17,32.7476
2020-12-18,39.61661
2020-12-19,24.17465
2020-12-20,18.31735
2020-12-21,44.35569
2020-12-22,38.71139
2020-12-23,38.71139
2020-12-24,33.17358
2020-12-25,19.48881
2020-12-26,25.23961
2020-12-27,19.32907
2020-12-28,45.26091
2020-12-29,39.08413
2020-12-30,35.09052
2020-12-31,32.37486
2021-01-01,16.56017
2021-01-02,29.33972
2021-01-03,22.36421
2021-01-04,52.39616
2021-01-05,46.59211
2021-01-06,39.7231
2021-01-07,34.50479
2021-01-08,36.79446
2021-01-09,27.26304
2021-01-10,22.6837
2021-01-11,51.49094
2021-01-12,38.33865
2021-01-13,43.87646
2021-01-14,47.71033
2021-01-15,40.46858
2021-01-16,34.13205
2021-01-17,24.97337
2021-01-18,53.88711
2021-01-19,50.85197
2021-01-20,51.3312
2021-01-21,47.07135
2021-01-22,46.53887
2021-01-23,34.02555
2021-01-24,27.95527
2021-01-25,64.85623
2021-01-26,54.2066
2021-01-27,53.62087
2021-01-28,46.59211
2021-01-29,45.15441
2021-01-30,39.08413
2021-01-31,23.85516
2021-02-01,51.81043
2021-02-02,42.22577
2021-02-03,44.1427
2021-02-04,47.71033
2021-02-05,44.78168
2021-02-06,30.83067
2021-02-07,21.246
2021-02-08,52.07667
2021-02-09,42.11927
2021-02-10,36.47497
2021-02-11,22.09797
2021-02-12,21.88498
2021-02-13,24.60063
2021-02-14,25.07987
2021-02-15,75.50585
2021-02-16,63.79126
2021-02-17,51.38445
2021-02-18,52.7689
