date,비트코인골드
2020-03-20,1.05043
2020-03-21,0.52405
2020-03-22,0.44289
2020-03-23,0.49159
2020-03-24,0.56347
2020-03-25,0.51478
2020-03-26,0.38724
2020-03-27,0.2713
2020-03-28,0.23884
2020-03-29,0.25739
2020-03-30,0.30144
2020-03-31,0.34086
2020-04-01,0.25043
2020-04-02,0.31536
2020-04-03,0.40811
2020-04-04,0.34318
2020-04-05,0.37565
2020-04-06,0.56347
2020-04-07,0.53101
2020-04-08,0.70028
2020-04-09,1.21275
2020-04-10,0.82782
2020-04-11,0.73275
2020-04-12,1.07826
2020-04-13,0.80231
2020-04-14,0.57739
2020-04-15,0.62608
2020-04-16,0.58434
2020-04-17,0.61217
2020-04-18,0.76753
2020-04-19,0.57043
2020-04-20,0.58434
2020-04-21,0.54028
2020-04-22,0.48695
2020-04-23,0.44057
2020-04-24,0.46144
2020-04-25,0.40811
2020-04-26,0.40347
2020-04-27,0.41043
2020-04-28,0.44521
2020-04-29,0.5426
2020-04-30,1.05507
2020-05-01,0.67942
2020-05-02,0.45913
2020-05-03,0.61449
2020-05-04,0.46608
2020-05-05,0.33855
2020-05-06,0.33855
2020-05-07,0.37565
2020-05-08,0.52637
2020-05-09,0.37565
2020-05-10,0.33159
2020-05-11,0.36637
2020-05-12,0.29913
2020-05-13,0.24811
2020-05-14,0.36637
2020-05-15,0.32463
2020-05-16,0.25971
2020-05-17,0.29449
2020-05-18,0.37333
2020-05-19,0.35942
2020-05-20,0.28985
2020-05-21,0.2713
2020-05-22,0.27594
2020-05-23,0.20173
2020-05-24,0.20637
2020-05-25,0.25275
2020-05-26,0.28985
2020-05-27,0.29913
2020-05-28,0.24115
2020-05-29,0.26434
2020-05-30,0.29449
2020-05-31,0.28985
2020-06-01,0.25507
2020-06-02,0.47304
2020-06-03,0.33623
2020-06-04,0.34782
2020-06-05,0.33391
2020-06-06,0.20869
2020-06-07,0.23188
2020-06-08,0.29681
2020-06-09,0.25043
2020-06-10,0.23188
2020-06-11,0.29217
2020-06-12,0.28057
2020-06-13,0.16231
2020-06-14,0.17855
2020-06-15,0.36637
2020-06-16,0.33159
2020-06-17,0.25275
2020-06-18,0.27594
2020-06-19,0.18782
2020-06-20,0.21101
2020-06-21,0.25739
2020-06-22,0.28753
2020-06-23,0.45449
2020-06-24,0.23188
2020-06-25,0.24811
2020-06-26,0.21797
2020-06-27,0.13217
2020-06-28,0.16695
2020-06-29,1.21971
2020-06-30,0.57971
2020-07-01,0.40811
2020-07-02,0.36637
2020-07-03,0.26202
2020-07-04,0.15304
2020-07-05,0.20173
2020-07-06,0.33623
2020-07-07,0.65623
2020-07-08,0.38724
2020-07-09,0.38724
2020-07-10,0.28057
2020-07-11,0.22724
2020-07-12,1.31478
2020-07-13,0.47536
2020-07-14,0.35478
2020-07-15,0.23884
2020-07-16,0.22028
2020-07-17,0.16231
2020-07-18,0.16231
2020-07-19,0.16
2020-07-20,0.28521
2020-07-21,0.40347
2020-07-22,0.36405
2020-07-23,0.27594
2020-07-24,0.2713
2020-07-25,0.21565
2020-07-26,0.30376
2020-07-27,0.5426
2020-07-28,0.81623
2020-07-29,0.61449
2020-07-30,0.47768
2020-07-31,0.42434
2020-08-01,0.62376
2020-08-02,1.05507
2020-08-03,0.59362
2020-08-04,0.56579
2020-08-05,0.47768
2020-08-06,0.54492
2020-08-07,0.53333
2020-08-08,0.26434
2020-08-09,0.21333
2020-08-10,0.5055
2020-08-11,0.44521
2020-08-12,0.37333
2020-08-13,0.3455
2020-08-14,0.32231
2020-08-15,0.36869
