date,주식시세
2020-03-20,100.0
2020-03-21,24.01896
2020-03-22,14.83671
2020-03-23,94.09138
2020-03-24,87.49802
2020-03-25,82.02396
2020-03-26,81.91466
2020-03-27,73.06031
2020-03-28,20.13695
2020-03-29,12.92994
2020-03-30,70.59257
2020-03-31,59.87226
2020-04-01,65.51751
2020-04-02,65.01448
2020-04-03,52.62048
2020-04-04,14.62602
2020-04-05,9.30603
2020-04-06,50.25678
2020-04-07,54.18093
2020-04-08,51.23123
2020-04-09,47.80484
2020-04-10,46.48801
2020-04-11,12.53621
2020-04-12,8.59362
2020-04-13,45.08032
2020-04-14,39.78535
2020-04-15,13.28417
2020-04-16,41.89886
2020-04-17,41.24835
2020-04-18,10.91519
2020-04-19,7.75744
2020-04-20,38.37239
2020-04-21,50.54648
2020-04-22,45.88754
2020-04-23,38.68448
2020-04-24,36.53015
2020-04-25,8.95443
2020-04-26,6.16012
2020-04-27,32.18725
2020-04-28,34.07821
2020-04-29,31.02712
2020-04-30,9.03739
2020-05-01,10.95206
2020-05-02,6.03897
2020-05-03,4.64708
2020-05-04,30.55438
2020-05-05,9.15064
2020-05-06,29.73005
2020-05-07,27.88912
2020-05-08,25.2739
2020-05-09,6.32868
2020-05-10,4.4917
2020-05-11,26.47616
2020-05-12,27.96154
2020-05-13,27.43481
2020-05-14,28.59494
2020-05-15,26.6513
2020-05-16,6.34974
2020-05-17,4.22965
2020-05-18,23.57782
2020-05-19,28.28153
2020-05-20,26.98051
2020-05-21,26.74743
2020-05-22,26.57097
2020-05-23,5.89412
2020-05-24,4.31129
2020-05-25,25.12904
2020-05-26,27.20832
2020-05-27,27.25441
2020-05-28,29.34685
2020-05-29,25.60705
2020-05-30,5.51883
2020-05-31,3.98867
2020-06-01,24.46141
2020-06-02,26.02317
2020-06-03,30.84277
2020-06-04,30.41875
2020-06-05,26.88043
2020-06-06,6.88569
2020-06-07,4.85909
2020-06-08,28.90308
2020-06-09,29.21253
2020-06-10,28.25651
2020-06-11,29.62997
2020-06-12,46.55912
2020-06-13,7.11351
2020-06-14,4.58256
2020-06-15,50.65709
2020-06-16,41.16407
2020-06-17,39.12299
2020-06-18,32.65604
2020-06-19,29.31524
2020-06-20,6.23781
2020-06-21,4.24809
2020-06-22,27.27811
2020-06-23,27.84303
2020-06-24,26.73163
2020-06-25,29.86173
2020-06-26,25.53068
2020-06-27,5.87964
2020-06-28,4.1243
2020-06-29,26.83039
2020-06-30,26.21806
2020-07-01,25.11983
2020-07-02,24.58388
2020-07-03,23.43824
2020-07-04,5.56228
2020-07-05,4.50487
2020-07-06,24.78535
2020-07-07,31.30629
2020-07-08,26.0258
2020-07-09,25.22386
2020-07-10,24.04924
2020-07-11,5.55043
2020-07-12,4.34553
2020-07-13,23.5844
2020-07-14,25.84408
2020-07-15,25.86647
2020-07-16,26.65393
2020-07-17,24.6326
2020-07-18,5.82433
2020-07-19,4.17303
2020-07-20,25.56887
2020-07-21,26.83039
2020-07-22,27.65341
2020-07-23,27.76929
2020-07-24,26.96734
2020-07-25,6.70397
2020-07-26,6.6592
2020-07-27,26.54595
2020-07-28,28.59362
2020-07-29,28.63708
2020-07-30,26.67368
2020-07-31,25.5715
2020-08-01,6.54727
2020-08-02,4.99473
2020-08-03,24.62338
2020-08-04,25.90729
2020-08-05,27.30445
2020-08-06,29.29286
2020-08-07,29.80905
2020-08-08,7.93126
2020-08-09,6.07716
