date,상승종목
2020-03-20,28.68318
2020-03-21,4.56323
2020-03-22,2.08604
2020-03-23,30.24771
2020-03-24,21.77314
2020-03-25,19.0352
2020-03-26,18.38331
2020-03-27,23.98956
2020-03-28,1.69491
2020-03-29,4.17209
2020-03-30,23.98956
2020-03-31,25.68448
2020-04-01,23.72881
2020-04-02,27.24902
2020-04-03,25.03259
2020-04-04,2.60756
2020-04-05,2.73794
2020-04-06,20.73011
2020-04-07,19.29595
2020-04-08,19.94784
2020-04-09,21.382
2020-04-10,22.94654
2020-04-11,1.30378
2020-04-12,0.78226
2020-04-13,24.51108
2020-04-14,20.59973
2020-04-15,2.21642
2020-04-16,20.07822
2020-04-17,22.94654
2020-04-18,2.60756
2020-04-19,2.08604
2020-04-20,15.51499
2020-04-21,17.73142
2020-04-22,18.77444
2020-04-23,17.2099
2020-04-24,16.0365
2020-04-25,1.30378
2020-04-26,1.82529
2020-04-27,19.55671
2020-04-28,16.16688
2020-04-29,15.25423
2020-04-30,1.43415
2020-05-01,1.69491
2020-05-04,13.95045
2020-05-05,2.99869
2020-05-06,14.8631
2020-05-07,11.60365
2020-05-08,12.64667
2020-05-09,4.30247
2020-05-10,2.08604
2020-05-11,13.82007
2020-05-12,16.81877
2020-05-13,20.07822
2020-05-14,15.64537
2020-05-15,19.16558
2020-05-16,4.17209
2020-05-17,3.12907
2020-05-18,17.73142
2020-05-19,20.46936
2020-05-20,19.0352
2020-05-21,23.46805
2020-05-22,21.382
2020-05-23,2.73794
2020-05-24,3.91134
2020-05-25,19.81747
2020-05-26,24.3807
2020-05-27,20.73011
2020-05-28,21.12125
2020-05-29,24.77183
2020-05-30,2.73794
2020-05-31,1.43415
2020-06-01,16.81877
2020-06-02,20.99087
2020-06-03,24.90221
2020-06-04,23.98956
2020-06-05,22.81616
2020-06-06,5.21512
2020-06-07,3.12907
2020-06-08,24.77183
2020-06-09,24.3807
2020-06-10,28.03129
2020-06-11,20.86049
2020-06-12,20.2086
2020-06-13,5.60625
2020-06-14,3.5202
2020-06-15,21.77314
2020-06-16,17.2099
2020-06-17,20.73011
2020-06-18,20.2086
2020-06-19,22.42503
2020-06-20,3.12907
2020-06-21,2.3468
2020-06-22,22.03389
2020-06-23,17.47066
2020-06-24,20.46936
2020-06-25,22.29465
2020-06-26,17.34028
2020-06-27,4.30247
2020-06-28,3.65058
2020-06-29,23.72881
2020-06-30,20.86049
2020-07-01,20.59973
2020-07-02,21.25162
2020-07-03,23.59843
2020-07-04,2.60756
2020-07-05,2.08604
2020-07-06,20.99087
2020-07-07,22.55541
2020-07-08,19.68709
2020-07-09,27.50977
2020-07-10,20.33898
2020-07-11,3.25945
2020-07-12,2.99869
2020-07-13,22.29465
2020-07-14,20.33898
2020-07-15,21.90352
2020-07-16,22.55541
2020-07-17,23.2073
2020-07-18,2.47718
2020-07-19,3.65058
2020-07-20,22.03389
2020-07-21,24.11994
2020-07-22,22.68578
2020-07-23,21.25162
2020-07-24,24.3807
2020-07-25,4.43285
2020-07-26,3.25945
2020-07-27,26.33637
2020-07-28,29.20469
