date,종합금융회사
2020-03-20,27.68595
2020-03-21,23.96694
2020-03-22,26.03305
2020-03-23,26.8595
2020-03-24,28.09917
2020-03-25,33.05785
2020-03-26,24.38016
2020-03-27,29.33884
2020-03-28,16.52892
2020-03-29,17.76859
2020-03-30,25.20661
2020-03-31,30.99173
2020-04-01,23.14049
2020-04-02,35.53719
2020-04-03,24.38016
2020-04-04,23.14049
2020-04-05,16.94214
2020-04-06,21.4876
2020-04-07,31.81818
2020-04-08,20.66115
2020-04-09,21.4876
2020-04-10,17.76859
2020-04-11,14.4628
2020-04-12,24.79338
2020-04-13,22.72727
2020-04-14,23.96694
2020-04-15,21.07438
2020-04-16,29.33884
2020-04-17,21.4876
2020-04-18,21.90082
2020-04-19,14.04958
2020-04-20,20.24793
2020-04-21,18.59504
2020-04-22,17.76859
2020-04-23,18.18181
2020-04-24,14.04958
2020-04-25,36.77685
2020-04-26,20.66115
2020-04-27,28.09917
2020-04-28,19.00826
2020-04-29,15.70247
2020-04-30,11.15702
2020-05-01,12.80991
2020-05-02,9.0909
2020-05-03,16.1157
2020-05-04,16.1157
2020-05-05,12.39669
2020-05-06,23.96694
2020-05-07,21.07438
2020-05-08,20.24793
2020-05-09,14.87603
2020-05-10,12.39669
2020-05-11,20.24793
2020-05-12,16.1157
2020-05-13,12.80991
2020-05-14,21.4876
2020-05-15,19.83471
2020-05-16,11.15702
2020-05-17,14.4628
2020-05-18,22.31404
2020-05-19,19.00826
2020-05-20,20.24793
2020-05-21,18.18181
2020-05-22,11.57024
2020-05-23,12.39669
2020-05-24,31.81818
2020-05-25,18.18181
2020-05-26,19.83471
2020-05-27,21.07438
2020-05-28,15.28925
2020-05-29,15.28925
2020-05-30,14.04958
2020-05-31,8.67768
2020-06-01,18.18181
2020-06-02,19.83471
2020-06-03,18.59504
2020-06-04,16.1157
2020-06-05,13.22314
2020-06-06,9.0909
2020-06-07,15.70247
2020-06-08,15.28925
2020-06-09,12.80991
2020-06-10,22.31404
2020-06-11,19.00826
2020-06-12,18.18181
2020-06-13,33.88429
2020-06-14,11.98347
2020-06-15,11.15702
2020-06-16,14.04958
2020-06-17,9.91735
2020-06-18,13.22314
2020-06-19,10.33057
2020-06-20,7.02479
2020-06-21,11.98347
2020-06-22,19.00826
2020-06-23,15.70247
2020-06-24,22.31404
2020-06-25,14.4628
2020-06-26,14.04958
2020-06-27,6.19834
2020-06-28,8.26446
2020-06-29,15.70247
2020-06-30,12.39669
2020-07-01,10.33057
2020-07-02,10.7438
2020-07-03,12.39669
2020-07-04,6.61157
2020-07-05,4.54545
2020-07-06,12.39669
2020-07-07,11.15702
2020-07-08,11.57024
2020-07-09,11.15702
2020-07-10,9.0909
2020-07-11,14.04958
2020-07-12,7.02479
2020-07-13,9.91735
2020-07-14,19.00826
2020-07-15,8.67768
2020-07-16,9.91735
2020-07-17,9.50413
2020-07-18,5.3719
2020-07-19,2.89256
2020-07-20,8.67768
2020-07-21,10.33057
2020-07-22,10.7438
2020-07-23,7.85123
2020-07-24,9.91735
2020-07-25,5.78512
2020-07-26,7.43801
2020-07-27,12.80991
2020-07-28,11.98347
2020-07-29,14.04958
2020-07-30,21.07438
2020-07-31,8.67768
2020-08-01,8.67768
2020-08-02,9.0909
2020-08-03,11.57024
2020-08-04,9.91735
2020-08-05,9.50413
2020-08-06,14.87603
2020-08-07,9.0909
2020-08-08,7.43801
2020-08-09,31.81818
2020-08-10,16.52892
2020-08-11,12.80991
2020-08-12,15.28925
2020-08-13,13.22314
2020-08-14,10.7438
2020-08-15,5.78512
2020-08-16,4.95867
2020-08-17,7.43801
2020-08-18,9.0909
2020-08-19,8.26446
2020-08-20,16.94214
2020-08-21,100.0
2020-08-22,16.52892
2020-08-23,9.50413
2020-08-24,10.7438
2020-08-25,11.15702
2020-08-26,14.87603
2020-08-27,15.28925
2020-08-28,22.72727
2020-08-29,8.67768
2020-08-30,8.67768
2020-08-31,14.87603
2020-09-01,22.72727
2020-09-02,11.15702
2020-09-03,11.98347
2020-09-04,12.39669
2020-09-06,7.43801
2020-09-07,19.00826
2020-09-08,11.15702
2020-09-09,13.22314
2020-09-10,11.15702
2020-09-11,7.02479
2020-09-12,7.85123
2020-09-13,8.26446
2020-09-14,9.0909
2020-09-15,10.7438
2020-09-16,14.4628
2020-09-17,19.00826
2020-09-18,14.04958
2020-09-19,12.80991
2020-09-20,30.99173
2020-09-21,22.72727
2020-09-22,19.00826
2020-09-23,15.28925
