date,1억모으기
2020-03-20,18.50533
2020-03-21,19.3357
2020-03-22,21.58956
2020-03-23,26.09727
2020-03-24,24.67378
2020-03-25,22.89442
2020-03-26,22.41992
2020-03-27,21.58956
2020-03-28,18.26809
2020-03-29,20.75919
2020-03-30,23.36892
2020-03-31,21.58956
2020-04-01,24.31791
2020-04-02,24.7924
2020-04-03,21.94543
2020-04-04,17.20047
2020-04-05,18.62396
2020-04-06,27.28351
2020-04-07,21.23368
2020-04-08,22.41992
2020-04-09,27.52075
2020-04-10,29.89323
2020-04-11,26.45314
2020-04-12,32.62158
2020-04-13,29.77461
2020-04-14,24.55516
2020-04-15,26.69039
2020-04-16,24.91103
2020-04-17,24.67378
2020-04-18,19.8102
2020-04-19,25.86002
2020-04-20,29.06287
2020-04-21,25.86002
2020-04-22,33.80782
2020-04-23,30.48635
2020-04-24,24.55516
2020-04-25,16.8446
2020-04-26,22.7758
2020-04-27,31.55397
2020-04-28,27.16488
2020-04-29,22.18268
2020-04-30,16.25148
2020-05-01,19.09845
2020-05-02,19.92882
2020-05-03,20.52194
2020-05-04,28.46975
2020-05-05,30.96085
2020-05-06,28.46975
2020-05-07,23.84341
2020-05-08,20.75919
2020-05-09,21.58956
2020-05-10,25.62277
2020-05-11,22.89442
2020-05-12,21.8268
2020-05-13,20.75919
2020-05-14,22.41992
2020-05-15,18.62396
2020-05-16,19.45432
2020-05-17,30.48635
2020-05-18,30.13048
2020-05-19,33.80782
2020-05-20,25.2669
2020-05-21,25.38552
2020-05-22,23.96204
2020-05-23,22.06405
2020-05-24,26.57176
2020-05-25,34.87544
2020-05-26,31.07947
2020-05-27,22.53855
2020-05-28,25.74139
2020-05-29,19.45432
2020-05-30,19.45432
2020-05-31,24.91103
2020-06-01,25.02965
2020-06-02,29.89323
2020-06-03,27.28351
2020-06-04,27.63938
2020-06-05,30.13048
2020-06-06,21.94543
2020-06-07,27.63938
2020-06-08,27.99525
2020-06-09,34.40094
2020-06-10,30.84223
2020-06-11,28.46975
2020-06-12,24.55516
2020-06-13,27.04626
2020-06-14,31.07947
2020-06-15,28.2325
2020-06-16,31.67259
2020-06-17,29.06287
2020-06-18,25.38552
2020-06-19,28.2325
2020-06-20,26.21589
2020-06-21,34.04507
2020-06-22,33.2147
2020-06-23,30.84223
2020-06-24,30.36773
2020-06-25,34.99406
2020-06-26,30.48635
2020-06-27,24.31791
2020-06-28,32.14709
2020-06-29,36.6548
2020-06-30,34.04507
2020-07-01,34.87544
2020-07-02,38.19691
2020-07-03,29.89323
2020-07-04,23.72479
2020-07-05,33.45195
2020-07-06,34.1637
2020-07-07,31.79122
2020-07-08,32.85883
2020-07-09,31.07947
2020-07-10,33.09608
2020-07-11,26.69039
2020-07-12,35.94306
2020-07-13,35.23131
2020-07-14,32.97746
2020-07-15,26.33451
2020-07-16,29.65599
2020-07-17,27.758
2020-07-18,30.01186
2020-07-19,34.51957
2020-07-20,36.29893
2020-07-21,33.33333
2020-07-22,39.26453
2020-07-23,32.38434
2020-07-24,29.65599
2020-07-25,28.58837
2020-07-26,30.13048
2020-07-27,36.77342
2020-07-28,38.79003
2020-07-29,33.33333
2020-07-30,30.48635
2020-07-31,33.2147
2020-08-01,30.36773
2020-08-02,26.57176
2020-08-03,34.1637
2020-08-04,35.23131
2020-08-05,31.55397
2020-08-06,31.67259
2020-08-07,29.18149
2020-08-08,27.52075
2020-08-09,34.1637
2020-08-10,38.43416
2020-08-11,42.82325
2020-08-12,36.53618
2020-08-13,32.14709
