date,2차전지ETF
2020-03-20,0.84823
2020-03-21,0.75653
2020-03-22,0.77945
2020-03-23,1.00871
2020-03-24,0.7336
2020-03-25,1.28381
2020-03-26,0.87116
2020-03-27,0.93993
2020-03-28,1.00871
2020-03-29,1.39844
2020-03-30,0.96286
2020-03-31,0.77945
2020-04-01,0.93993
2020-04-02,1.12333
2020-04-03,0.59605
2020-04-04,0.68775
2020-04-05,0.34387
2020-04-06,0.50435
2020-04-07,0.87116
2020-04-08,1.00871
2020-04-09,2.01742
2020-04-10,1.12333
2020-04-11,0.61898
2020-04-12,0.61898
2020-04-13,0.6419
2020-04-14,1.21503
2020-04-15,0.75653
2020-04-16,1.30674
2020-04-17,1.69646
2020-04-18,0.80238
2020-04-19,1.32966
2020-04-20,1.37551
2020-04-21,0.98578
2020-04-22,0.71068
2020-04-23,1.26088
2020-04-24,0.84823
2020-04-25,0.98578
2020-04-26,0.7336
2020-04-27,0.77945
2020-04-28,0.80238
2020-04-29,0.80238
2020-04-30,0.84823
2020-05-01,0.75653
2020-05-02,0.61898
2020-05-03,0.5502
2020-05-04,0.87116
2020-05-05,0.57313
2020-05-06,0.59605
2020-05-07,0.5502
2020-05-08,0.59605
2020-05-09,0.80238
2020-05-10,0.41265
2020-05-11,0.50435
2020-05-12,0.48143
2020-05-13,1.55891
2020-05-14,1.07748
2020-05-15,1.00871
2020-05-16,0.77945
2020-05-17,0.77945
2020-05-18,0.8253
2020-05-19,1.35259
2020-05-20,1.16918
2020-05-21,1.90279
2020-05-22,0.80238
2020-05-23,0.38972
2020-05-24,0.91701
2020-05-25,1.97157
2020-05-26,3.64511
2020-05-27,3.69096
2020-05-28,1.74232
2020-05-29,2.29252
2020-05-30,0.89408
2020-05-31,1.39844
2020-06-01,2.59055
2020-06-02,3.75974
2020-06-03,2.9115
2020-06-04,2.15497
2020-06-05,1.78817
2020-06-06,1.30674
2020-06-07,1.26088
2020-06-08,1.55891
2020-06-09,2.01742
2020-06-10,2.10912
2020-06-11,2.3613
2020-06-12,1.39844
2020-06-13,1.26088
2020-06-14,1.05456
2020-06-15,1.30674
2020-06-16,1.92572
2020-06-17,1.85694
2020-06-18,1.05456
2020-06-19,1.85694
2020-06-20,0.8253
2020-06-21,1.39844
2020-06-22,2.31545
2020-06-23,2.56762
2020-06-24,2.59055
2020-06-25,1.78817
2020-06-26,1.97157
2020-06-27,0.87116
2020-06-28,0.75653
2020-06-29,1.10041
2020-06-30,1.81109
2020-07-01,1.42136
2020-07-02,1.12333
2020-07-03,1.69646
2020-07-04,0.87116
2020-07-05,1.32966
2020-07-06,2.29252
2020-07-07,2.95735
2020-07-08,2.59055
2020-07-09,2.38422
2020-07-10,1.76524
2020-07-11,1.12333
2020-07-12,1.39844
2020-07-13,2.7281
2020-07-14,1.65061
2020-07-15,2.79688
2020-07-16,1.92572
2020-07-17,2.06327
2020-07-18,1.35259
2020-07-19,1.30674
2020-07-20,1.97157
2020-07-21,2.2696
2020-07-22,1.76524
2020-07-23,2.15497
2020-07-24,1.53599
2020-07-25,0.57313
2020-07-26,0.96286
2020-07-27,1.90279
2020-07-28,2.24667
2020-07-29,1.76524
2020-07-30,1.76524
2020-07-31,2.47592
2020-08-01,2.86565
2020-08-02,3.87436
2020-08-03,9.14718
2020-08-04,9.69738
2020-08-05,23.40669
2020-08-06,29.18386
2020-08-07,27.80834
2020-08-08,14.97019
2020-08-09,15.29115
2020-08-10,21.36634
2020-08-11,16.71251
2020-08-12,11.69188
2020-08-13,11.2563
2020-08-14,10.47684
2020-08-15,3.11783
2020-08-16,3.66804
2020-08-17,2.77395
2020-08-18,7.10683
2020-08-19,6.7171
2020-08-20,4.92893
2020-08-21,5.50206
2020-08-22,2.84273
2020-08-23,2.33837
2020-08-24,3.39293
2020-08-25,5.59376
2020-08-26,5.98349
2020-08-27,8.02384
2020-08-28,6.18982
2020-08-29,3.85144
2020-08-30,3.82851
2020-08-31,5.59376
2020-09-01,5.82301
2020-09-02,5.31866
2020-09-03,6.07519
2020-09-04,4.6309
2020-09-05,2.52177
2020-09-06,1.94864
2020-09-07,2.5447
2020-09-08,2.47592
2020-09-09,2.22375
2020-09-10,2.84273
2020-09-11,2.24667
2020-09-12,1.07748
2020-09-13,1.30674
2020-09-14,2.10912
2020-09-15,3.20953
2020-09-16,3.46171
2020-09-17,3.78266
2020-09-18,2.98028
2020-09-19,1.94864
2020-09-20,2.40715
2020-09-21,3.85144
2020-09-22,4.65382
2020-09-23,4.83723
2020-09-24,3.89729
2020-09-25,2.2696
2020-09-26,1.39844
2020-09-27,1.26088
2020-09-28,2.10912
2020-09-29,2.40715
2020-09-30,0.87116
2020-10-01,0.77945
2020-10-02,0.6419
2020-10-03,1.00871
2020-10-04,0.87116
2020-10-05,1.55891
2020-10-06,2.2696
2020-10-07,2.88858
2020-10-08,2.75103
2020-10-09,1.35259
2020-10-10,1.67354
2020-10-11,1.19211
2020-10-12,2.24667
2020-10-13,2.01742
2020-10-14,1.65061
2020-10-15,1.23796
2020-10-16,1.28381
2020-10-17,0.48143
2020-10-18,0.57313
2020-10-19,2.29252
2020-10-20,1.49014
2020-10-21,1.65061
2020-10-22,1.28381
2020-10-23,1.21503
2020-10-24,0.43558
2020-10-25,0.77945
2020-10-26,1.46721
2020-10-27,1.32966
2020-10-28,0.8253
2020-10-29,0.68775
2020-10-30,1.53599
2020-10-31,0.71068
2020-11-01,0.4585
2020-11-02,1.03163
2020-11-03,1.46721
2020-11-04,1.35259
2020-11-05,2.453
2020-11-06,2.2696
2020-11-07,1.76524
2020-11-08,1.90279
2020-11-09,5.04355
2020-11-10,4.12654
2020-11-11,2.86565
2020-11-12,3.11783
2020-11-13,3.30123
2020-11-14,1.46721
2020-11-15,1.55891
2020-11-16,4.30994
2020-11-17,3.46171
2020-11-18,3.64511
2020-11-19,3.04906
2020-11-20,2.8198
2020-11-21,2.06327
2020-11-22,1.55891
2020-11-23,4.86015
2020-11-24,6.7171
2020-11-25,6.6254
2020-11-26,6.09812
2020-11-27,8.04676
2020-11-28,4.6309
2020-11-29,6.48784
2020-11-30,9.03255
2020-12-01,9.49105
2020-12-02,8.45942
2020-12-03,8.25309
2020-12-04,7.88629
2020-12-05,3.55341
2020-12-06,5.06648
2020-12-07,6.94635
2020-12-08,6.76295
2020-12-09,7.93214
2020-12-10,9.19303
2020-12-11,7.86336
2020-12-12,4.42457
2020-12-13,4.33287
2020-12-14,6.5337
2020-12-15,5.02063
2020-12-16,10.79779
2020-12-17,11.37093
2020-12-18,15.29115
2020-12-19,8.96377
2020-12-20,9.51398
2020-12-21,13.31957
2020-12-22,12.95277
2020-12-23,51.58184
2020-12-24,33.74598
2020-12-25,17.07932
2020-12-26,18.27143
2020-12-27,100.0
2020-12-28,54.60797
2020-12-29,33.33333
2020-12-30,31.75149
2020-12-31,20.44933
2021-01-01,22.94818
2021-01-02,20.4264
2021-01-03,28.83998
2021-01-04,73.38376
2021-01-05,49.03713
2021-01-06,60.33929
2021-01-07,62.47134
2021-01-08,81.43053
2021-01-09,45.25447
2021-01-10,51.28381
2021-01-11,80.97203
2021-01-12,42.09078
2021-01-13,38.17056
2021-01-14,38.88124
2021-01-15,29.61944
2021-01-16,18.27143
2021-01-17,21.84777
2021-01-18,31.08665
2021-01-19,29.59651
2021-01-20,33.44795
2021-01-21,31.63686
2021-01-22,37.91838
2021-01-23,24.94268
2021-01-24,25.49289
2021-01-25,35.80926
2021-01-26,28.56487
2021-01-27,28.93168
2021-01-28,22.78771
2021-01-29,24.0486
2021-01-30,12.95277
2021-01-31,14.12196
2021-02-01,24.6905
2021-02-02,29.18386
2021-02-03,34.52544
2021-02-04,24.62173
2021-02-05,26.02017
2021-02-06,13.02154
2021-02-07,20.60981
2021-02-08,27.78541
2021-02-09,24.7822
2021-02-10,20.3347
2021-02-11,16.36863
2021-02-12,14.58046
2021-02-13,13.31957
2021-02-14,15.40577
2021-02-15,29.13801
2021-02-16,27.69371
2021-02-17,23.42961
2021-02-18,17.56075
2021-02-19,16.23108
2021-02-20,9.0784
2021-02-21,10.82072
2021-02-22,19.94497
2021-02-23,18.20265
2021-02-24,20.99954
2021-02-25,18.63823
2021-02-26,18.1568
2021-02-27,8.39064
2021-02-28,7.51948
2021-03-01,11.55433
2021-03-02,14.99312
2021-03-03,16.66666
2021-03-04,11.02705
2021-03-05,11.18752
2021-03-06,5.91471
2021-03-07,5.0894
2021-03-08,15.47455
2021-03-09,19.80742
2021-03-10,14.74094
2021-03-11,16.18523
2021-03-12,13.13617
2021-03-13,6.07519
2021-03-14,6.02934
2021-03-15,10.29344
2021-03-16,20.31178
2021-03-17,19.55524
2021-03-18,13.4342
2021-03-19,9.85786
2021-03-20,7.15268
2021-03-21,6.32737
2021-03-22,14.21366
2021-03-23,17.10224
2021-03-24,10.86657
2021-03-25,8.64282
2021-03-26,8.36772
2021-03-27,5.91471
2021-03-28,5.41036
2021-03-29,8.91792
2021-03-30,13.77808
2021-03-31,13.27372
2021-04-01,14.80972
2021-04-02,12.79229
2021-04-03,6.7171
2021-04-04,6.94635
2021-04-05,11.4397
2021-04-06,12.95277
2021-04-07,9.67446
2021-04-08,8.52819
2021-04-09,8.04676
2021-04-10,5.89179
2021-04-11,9.05547
2021-04-12,19.18844
2021-04-13,14.83264
2021-04-14,11.39385
2021-04-15,11.14167
2021-04-16,8.7116
2021-04-17,5.24988
2021-04-18,4.19532
2021-04-19,9.10132
2021-04-20,7.03805
2021-04-21,6.51077
2021-04-22,6.69417
2021-04-23,6.12104
2021-04-24,3.27831
2021-04-25,3.66804
2021-04-26,6.39614
2021-04-27,5.52498
2021-04-28,5.80009
2021-04-29,5.66254
2021-04-30,4.03484
2021-05-01,2.20082
2021-05-02,2.10912
2021-05-03,5.41036
2021-05-04,4.21824
2021-05-05,1.97157
2021-05-06,3.53049
2021-05-07,4.03484
2021-05-08,3.09491
2021-05-09,4.74552
2021-05-10,7.15268
2021-05-11,5.15818
2021-05-12,4.5392
2021-05-13,4.8143
2021-05-14,4.17239
2021-05-15,1.87987
2021-05-16,2.06327
2021-05-17,4.26409
2021-05-18,5.04355
2021-05-19,2.10912
2021-05-20,3.71389
2021-05-21,4.58505
2021-05-22,2.5447
2021-05-23,3.50756
2021-05-24,6.51077
2021-05-25,5.47913
2021-05-26,6.41907
2021-05-27,5.50206
2021-05-28,4.37872
2021-05-29,3.62219
2021-05-30,2.38422
2021-05-31,9.12425
2021-06-01,6.92342
2021-06-02,7.54241
2021-06-03,6.23567
2021-06-04,3.82851
2021-06-05,1.76524
2021-06-06,2.79688
2021-06-07,5.11233
2021-06-08,6.48784
2021-06-09,5.0894
2021-06-10,4.60797
2021-06-11,9.33058
2021-06-12,5.13525
2021-06-13,4.7226
2021-06-14,8.43649
2021-06-15,7.79458
2021-06-16,7.24438
2021-06-17,7.1756
2021-06-18,7.359
2021-06-19,3.11783
2021-06-20,3.87436
2021-06-21,5.59376
