date,ELB
2020-03-20,10.31714
2020-03-21,4.29546
2020-03-22,3.77358
2020-03-23,17.22199
2020-03-24,16.17824
2020-03-25,11.96306
2020-03-26,12.84624
2020-03-27,15.73665
2020-03-28,5.45965
2020-03-29,4.13488
2020-03-30,13.76957
2020-03-31,13.40826
2020-04-01,12.72581
2020-04-02,15.93737
2020-04-03,14.41188
2020-04-04,3.69329
2020-04-05,3.65315
2020-04-06,14.41188
2020-04-07,15.89723
2020-04-08,15.13448
2020-04-09,13.89
2020-04-10,9.91569
2020-04-11,4.3356
2020-04-12,4.41589
2020-04-13,13.60899
2020-04-14,13.24769
2020-04-15,5.0582
2020-04-16,15.45564
2020-04-17,13.12725
2020-04-18,4.49618
2020-04-19,3.2517
2020-04-20,12.56523
2020-04-21,13.32798
2020-04-22,12.88639
2020-04-23,14.41188
2020-04-24,16.33881
2020-04-25,4.93777
2020-04-26,5.17864
2020-04-27,11.72219
2020-04-28,10.83902
2020-04-29,8.06904
2020-04-30,4.45604
2020-05-01,2.48896
2020-05-02,2.36852
2020-05-03,3.45242
2020-05-04,5.82095
2020-05-05,4.65676
2020-05-06,13.20754
2020-05-07,11.24046
2020-05-08,12.72581
2020-05-09,4.05459
2020-05-10,3.69329
2020-05-11,11.40104
2020-05-12,12.28422
2020-05-13,19.42994
2020-05-14,12.24407
2020-05-15,10.11641
2020-05-16,5.78081
2020-05-17,3.45242
2020-05-18,9.51425
2020-05-19,9.87555
2020-05-20,9.39381
2020-05-21,9.15295
2020-05-22,11.36089
2020-05-23,4.29546
2020-05-24,3.53271
2020-05-25,10.39743
2020-05-26,11.80248
2020-05-27,8.7515
2020-05-28,12.00321
2020-05-29,10.83902
2020-05-30,4.01445
2020-05-31,3.613
2020-06-01,10.07627
2020-06-02,13.04696
2020-06-03,12.96668
2020-06-04,9.75511
2020-06-05,9.39381
2020-06-06,3.33199
2020-06-07,2.8904
2020-06-08,10.79887
2020-06-09,10.95945
2020-06-10,11.07988
2020-06-11,11.48133
2020-06-12,9.31352
2020-06-13,3.81372
2020-06-14,6.98514
2020-06-15,10.558
2020-06-16,9.95584
2020-06-17,9.87555
2020-06-18,9.19309
2020-06-19,9.51425
2020-06-20,3.73344
2020-06-21,3.01083
2020-06-22,9.07266
2020-06-23,10.51786
2020-06-24,9.15295
2020-06-25,9.31352
2020-06-26,8.7515
2020-06-27,4.77719
2020-06-28,2.56924
2020-06-29,9.95584
2020-06-30,8.87193
2020-07-01,8.35006
2020-07-02,8.18948
2020-07-03,7.86832
2020-07-04,2.76997
2020-07-05,2.76997
2020-07-06,8.18948
2020-07-07,9.23323
2020-07-08,8.99237
2020-07-09,8.3902
2020-07-10,7.34644
2020-07-11,3.73344
2020-07-12,2.56924
2020-07-13,10.31714
2020-07-14,9.1128
2020-07-15,8.71136
2020-07-16,9.03251
2020-07-17,7.50702
2020-07-18,3.17141
2020-07-19,4.25531
2020-07-20,8.83179
2020-07-21,8.7515
2020-07-22,9.43396
2020-07-23,8.83179
2020-07-24,8.47049
2020-07-25,8.26977
2020-07-26,4.17503
2020-07-27,9.03251
2020-07-28,8.91208
2020-07-29,12.56523
2020-07-30,11.16017
2020-07-31,7.42673
2020-08-01,3.09112
2020-08-02,3.81372
2020-08-03,7.54716
2020-08-04,9.39381
2020-08-05,8.79164
2020-08-06,10.71858
2020-08-07,8.87193
2020-08-08,4.57647
2020-08-09,2.8904
2020-08-10,9.51425
2020-08-11,8.0289
2020-08-12,8.18948
2020-08-13,8.22962
2020-08-14,7.14572
2020-08-15,2.72982
2020-08-16,2.20794
2020-08-17,4.57647
2020-08-18,7.62745
2020-08-19,6.98514
2020-08-20,7.46688
2020-08-21,7.54716
2020-08-22,2.00722
2020-08-23,2.48896
2020-08-24,8.06904
2020-08-25,8.87193
2020-08-26,8.18948
2020-08-27,8.10919
2020-08-28,7.26615
2020-08-29,2.60939
2020-08-30,2.48896
2020-08-31,7.58731
2020-09-01,7.02529
2020-09-02,8.18948
2020-09-03,7.78803
2020-09-04,7.06543
2020-09-05,2.36852
2020-09-06,2.8904
2020-09-07,8.7515
2020-09-08,8.47049
2020-09-09,7.50702
2020-09-10,9.23323
2020-09-11,7.78803
2020-09-12,2.68968
2020-09-13,2.48896
2020-09-14,7.10558
2020-09-15,8.51063
2020-09-16,8.3902
2020-09-17,7.70774
2020-09-18,8.0289
2020-09-19,2.81011
2020-09-20,3.13127
2020-09-21,7.46688
2020-09-22,8.14933
2020-09-23,6.82456
2020-09-24,7.74789
2020-09-25,6.98514
2020-09-26,2.00722
2020-09-27,2.12765
2020-09-28,6.14211
2020-09-29,4.97792
2020-09-30,1.88679
2020-10-01,1.40505
2020-10-02,3.01083
2020-10-03,1.72621
2020-10-04,2.28823
2020-10-05,8.10919
2020-10-06,6.74427
2020-10-07,8.18948
2020-10-08,8.06904
2020-10-09,2.93054
2020-10-10,3.05098
2020-10-11,2.81011
2020-10-12,7.18586
2020-10-13,8.83179
2020-10-14,7.50702
2020-10-15,8.26977
2020-10-16,7.82818
2020-10-17,3.81372
2020-10-18,2.85026
2020-10-19,7.90847
2020-10-20,7.82818
2020-10-21,7.18586
2020-10-22,7.98875
2020-10-23,7.26615
2020-10-24,2.93054
2020-10-25,2.12765
2020-10-26,7.10558
2020-10-27,9.15295
2020-10-28,7.42673
2020-10-29,7.54716
2020-10-30,6.30268
2020-10-31,2.97069
2020-11-01,2.64953
2020-11-02,7.54716
2020-11-03,7.98875
2020-11-04,6.98514
2020-11-05,7.74789
2020-11-06,7.14572
2020-11-07,3.65315
2020-11-08,2.64953
2020-11-09,7.14572
2020-11-10,9.07266
2020-11-11,7.18586
2020-11-12,6.78442
2020-11-13,6.945
2020-11-14,2.68968
2020-11-15,2.60939
2020-11-16,6.78442
2020-11-17,8.18948
2020-11-18,8.7515
2020-11-19,8.14933
2020-11-20,6.54355
2020-11-21,3.41228
2020-11-22,3.65315
2020-11-23,6.78442
2020-11-24,8.59092
2020-11-25,7.98875
2020-11-26,6.54355
2020-11-27,6.82456
2020-11-28,3.37213
2020-11-29,2.72982
2020-11-30,7.62745
2020-12-01,7.90847
2020-12-02,7.86832
2020-12-03,8.71136
2020-12-04,7.42673
2020-12-05,2.60939
2020-12-06,2.60939
2020-12-07,9.4741
2020-12-08,7.6676
2020-12-09,8.18948
2020-12-10,8.91208
2020-12-11,8.51063
2020-12-12,3.05098
2020-12-13,2.24809
2020-12-14,9.59454
2020-12-15,11.12003
2020-12-16,8.91208
2020-12-17,11.12003
2020-12-18,9.67482
2020-12-19,3.09112
2020-12-20,2.44881
2020-12-21,9.31352
2020-12-22,9.55439
2020-12-23,9.03251
2020-12-24,7.78803
