date,다이렉트자동차보험
2020-03-20,61.6714
2020-03-21,34.82481
2020-03-22,34.32765
2020-03-23,78.7642
2020-03-24,73.65056
2020-03-25,69.4839
2020-03-26,66.73768
2020-03-27,60.86647
2020-03-28,34.94318
2020-03-29,37.71306
2020-03-30,80.13731
2020-03-31,73.22443
2020-04-01,78.74053
2020-04-02,80.80018
2020-04-03,71.63825
2020-04-04,38.58901
2020-04-05,45.78598
2020-04-06,85.62973
2020-04-07,76.04166
2020-04-08,72.30113
2020-04-09,71.47253
2020-04-10,67.30587
2020-04-11,39.0625
2020-04-12,37.28693
2020-04-13,89.25189
2020-04-14,71.94602
2020-04-15,43.93939
2020-04-16,74.69223
2020-04-17,75.23674
2020-04-18,35.9375
2020-04-19,41.95075
2020-04-20,88.73106
2020-04-21,84.87215
2020-04-22,78.78787
2020-04-23,78.64583
2020-04-24,67.37689
2020-04-25,35.6534
2020-04-26,38.1392
2020-04-27,87.09753
2020-04-28,85.70075
2020-04-29,72.08806
2020-04-30,40.79071
2020-05-01,46.14109
2020-05-02,30.61079
2020-05-03,37.45265
2020-05-04,87.5
2020-05-05,50.33143
2020-05-06,100.0
2020-05-07,86.81344
2020-05-08,76.13636
2020-05-09,40.5303
2020-05-10,45.0284
2020-05-11,97.63257
2020-05-12,91.76136
2020-05-13,82.26799
2020-05-14,86.81344
2020-05-15,74.31344
2020-05-16,39.48863
2020-05-17,39.39393
2020-05-18,93.70265
2020-05-19,88.61268
2020-05-20,77.58049
2020-05-21,80.44507
2020-05-22,71.14109
2020-05-23,35.20359
2020-05-24,35.89015
2020-05-25,88.39962
2020-05-26,83.80681
2020-05-27,79.5928
2020-05-28,71.02272
2020-05-29,61.97916
2020-05-30,32.55208
2020-05-31,36.71875
2020-06-01,82.7178
2020-06-02,74.88162
2020-06-03,79.26136
2020-06-04,69.46022
2020-06-05,59.73011
2020-06-06,38.21022
2020-06-07,38.92045
2020-06-08,78.10132
2020-06-09,78.88257
2020-06-10,78.74053
2020-06-11,76.04166
2020-06-12,67.47159
2020-06-13,39.74905
2020-06-14,41.64299
2020-06-15,85.58238
2020-06-16,81.91287
2020-06-17,74.12405
2020-06-18,74.02935
2020-06-19,65.625
2020-06-20,33.12026
2020-06-21,38.02083
2020-06-22,81.77083
2020-06-23,76.08901
2020-06-24,73.17708
2020-06-25,81.55776
2020-06-26,69.83901
2020-06-27,38.84943
2020-06-28,35.81912
2020-06-29,79.35606
2020-06-30,78.36174
2020-07-01,70.83333
2020-07-02,71.6856
2020-07-03,66.47727
2020-07-04,33.09659
2020-07-05,34.54071
2020-07-06,81.48674
2020-07-07,77.50946
2020-07-08,72.20643
2020-07-09,70.52556
2020-07-10,63.75473
2020-07-11,36.74242
2020-07-12,36.60037
2020-07-13,82.03125
2020-07-14,77.69886
2020-07-15,79.94791
2020-07-16,66.00378
2020-07-17,65.74337
2020-07-18,34.99053
2020-07-19,35.96117
2020-07-20,76.91761
2020-07-21,75.28409
2020-07-22,70.09943
2020-07-23,71.28314
2020-07-24,63.0445
2020-07-25,33.68844
2020-07-26,33.49905
2020-07-27,78.29071
2020-07-28,74.19507
2020-07-29,67.35321
2020-07-30,65.74337
2020-07-31,52.36742
2020-08-01,32.14962
2020-08-02,30.56344
2020-08-03,74.66856
2020-08-04,72.01704
2020-08-05,69.01041
2020-08-06,67.56628
2020-08-07,64.7964
2020-08-08,30.89488
2020-08-09,34.75378
2020-08-10,73.20075
2020-08-11,71.82765
2020-08-12,69.41287
2020-08-13,66.59564
2020-08-14,66.3589
2020-08-15,34.16193
2020-08-16,32.10227
2020-08-17,43.32386
2020-08-18,78.71685
2020-08-19,79.28503
2020-08-20,76.51515
2020-08-21,67.89772
2020-08-22,33.94886
2020-08-23,36.00852
2020-08-24,81.77083
2020-08-25,78.59848
2020-08-26,70.66761
2020-08-27,73.65056
2020-08-28,61.86079
2020-08-29,33.97253
2020-08-30,35.44034
2020-08-31,80.30303
2020-09-01,79.37973
2020-09-02,76.44412
2020-09-03,71.66193
2020-09-04,66.92708
2020-09-05,33.83049
2020-09-06,35.20359
2020-09-07,84.99053
2020-09-08,78.7642
2020-09-09,73.81628
2020-09-10,74.83428
2020-09-11,68.27651
2020-09-12,38.7784
2020-09-13,38.0445
2020-09-14,80.3267
2020-09-15,77.43844
2020-09-16,77.98295
2020-09-17,71.73295
2020-09-18,67.40056
2020-09-19,32.88352
2020-09-20,39.48863
2020-09-21,77.81723
2020-09-22,77.15435
2020-09-23,69.31818
2020-09-24,66.73768
2020-09-25,66.64299
2020-09-26,34.87215
2020-09-27,32.24431
2020-09-28,77.74621
2020-09-29,58.85416
2020-09-30,27.88825
2020-10-01,25.02367
2020-10-02,25.37878
2020-10-03,25.87594
2020-10-04,36.50568
2020-10-05,98.93465
2020-10-06,89.20454
2020-10-07,89.32291
2020-10-08,74.52651
2020-10-09,40.71969
2020-10-10,31.1553
2020-10-11,37.35795
2020-10-12,91.59564
2020-10-13,82.19696
2020-10-14,81.48674
2020-10-15,74.40814
2020-10-16,64.63068
2020-10-17,32.31534
2020-10-18,35.72443
2020-10-19,87.14488
2020-10-20,75.71022
2020-10-21,78.21969
2020-10-22,74.62121
2020-10-23,68.20549
2020-10-24,35.70075
2020-10-25,36.00852
2020-10-26,84.01988
2020-10-27,80.65814
2020-10-28,74.7159
2020-10-29,74.62121
2020-10-30,63.49431
2020-10-31,35.98484
2020-11-01,37.57102
2020-11-02,84.75378
2020-11-03,74.0767
2020-11-04,70.9517
2020-11-05,72.46685
2020-11-06,65.83806
2020-11-07,33.99621
2020-11-08,33.92518
2020-11-09,78.17234
2020-11-10,78.19602
2020-11-11,76.87026
2020-11-12,68.27651
2020-11-13,67.1875
2020-11-14,32.14962
2020-11-15,36.97916
2020-11-16,78.07765
2020-11-17,77.05965
2020-11-18,71.82765
2020-11-19,66.85606
2020-11-20,55.61079
2020-11-21,33.07291
2020-11-22,37.16856
2020-11-23,73.39015
2020-11-24,68.98674
2020-11-25,69.93371
2020-11-26,63.37594
2020-11-27,61.74242
2020-11-28,34.39867
2020-11-29,35.15625
2020-11-30,71.21212
2020-12-01,73.65056
2020-12-02,76.96496
2020-12-03,69.62594
2020-12-04,67.37689
2020-12-05,35.72443
2020-12-06,40.38825
2020-12-07,78.14867
2020-12-08,75.68655
2020-12-09,75.87594
2020-12-10,76.44412
2020-12-11,66.9981
2020-12-12,35.79545
2020-12-13,37.73674
2020-12-14,78.92992
2020-12-15,78.19602
2020-12-16,73.48484
2020-12-17,68.44223
2020-12-18,61.05587
2020-12-19,35.58238
2020-12-20,35.27462
2020-12-21,77.46212
2020-12-22,74.62121
2020-12-23,70.33617
2020-12-24,61.43465
2020-12-25,33.59375
2020-12-26,33.92518
2020-12-27,39.607
2020-12-28,89.48863
2020-12-29,80.87121
2020-12-30,74.47916
2020-12-31,66.54829
2021-01-01,38.18655
2021-01-02,35.55871
2021-01-03,42.47159
2021-01-04,99.14772
2021-01-05,96.99337
2021-01-06,85.51136
2021-01-07,77.55681
2021-01-08,71.02272
2021-01-09,45.28882
2021-01-10,46.49621
2021-01-11,89.67803
2021-01-12,78.83522
2021-01-13,77.86458
2021-01-14,78.92992
2021-01-15,69.74431
2021-01-16,43.6553
2021-01-17,44.01041
2021-01-18,84.73011
2021-01-19,80.18465
2021-01-20,72.5142
2021-01-21,72.5142
2021-01-22,68.01609
2021-01-23,40.76704
2021-01-24,38.92045
2021-01-25,83.40435
2021-01-26,78.57481
2021-01-27,75.07102
2021-01-28,69.83901
2021-01-29,66.24053
2021-01-30,36.60037
2021-01-31,38.80208
2021-02-01,76.75189
2021-02-02,76.60984
2021-02-03,75.78125
2021-02-04,69.69696
2021-02-05,71.92234
2021-02-06,39.32291
2021-02-07,39.7964
2021-02-08,74.02935
2021-02-09,72.01704
2021-02-10,61.71875
2021-02-11,36.03219
2021-02-12,33.357
2021-02-13,33.52272
2021-02-14,40.36458
2021-02-15,95.92803
2021-02-16,85.96117
2021-02-17,79.07196
2021-02-18,74.66856
2021-02-19,66.28787
2021-02-20,40.86174
2021-02-21,39.15719
2021-02-22,83.30965
2021-02-23,77.60416
2021-02-24,76.60984
2021-02-25,75.7339
2021-02-26,61.90814
2021-02-27,41.09848
2021-02-28,36.60037
2021-03-01,47.84564
2021-03-02,97.65625
2021-03-03,83.28598
2021-03-04,88.94412
2021-03-05,75.26041
2021-03-06,41.47727
2021-03-07,42.94507
2021-03-08,89.29924
2021-03-09,75.6392
2021-03-10,84.25662
2021-03-11,81.03693
2021-03-12,75.78125
2021-03-13,42.96875
2021-03-14,42.14015
2021-03-15,90.81439
2021-03-16,85.53503
2021-03-17,80.70549
2021-03-18,78.48011
2021-03-19,69.27083
2021-03-20,40.55397
2021-03-21,41.50094
2021-03-22,89.63068
2021-03-23,79.16666
2021-03-24,74.00568
2021-03-25,72.86931
2021-03-26,63.0445
2021-03-27,40.19886
2021-03-28,39.91477
2021-03-29,84.16193
2021-03-30,76.5625
2021-03-31,64.46496
2021-04-01,70.88068
2021-04-02,59.51704
2021-04-03,40.5303
2021-04-04,42.30587
2021-04-05,78.38541
2021-04-06,73.05871
2021-04-07,73.1534
2021-04-08,79.78219
2021-04-09,63.7784
2021-04-10,34.75378
2021-04-11,34.1856
2021-04-12,88.37594
2021-04-13,78.125
2021-04-14,71.35416
2021-04-15,72.13541
2021-04-16,64.32291
2021-04-17,36.52935
2021-04-18,36.62405
2021-04-19,81.08428
2021-04-20,75.56818
2021-04-21,65.74337
2021-04-22,69.95738
2021-04-23,60.41666
2021-04-24,32.67045
2021-04-25,37.35795
2021-04-26,77.67518
2021-04-27,67.8267
2021-04-28,65.08049
2021-04-29,68.48958
2021-04-30,59.0909
2021-05-01,32.8125
2021-05-02,34.20928
2021-05-03,77.76988
2021-05-04,75.09469
2021-05-05,43.34753
2021-05-06,74.40814
2021-05-07,68.32386
2021-05-08,39.86742
2021-05-09,38.09185
2021-05-10,87.73674
2021-05-11,85.46401
2021-05-12,76.5625
2021-05-13,70.69128
2021-05-14,67.96875
2021-05-15,37.59469
2021-05-16,38.37594
2021-05-17,84.73011
2021-05-18,70.2178
2021-05-19,45.26515
2021-05-20,76.39678
2021-05-21,68.01609
2021-05-22,35.9375
2021-05-23,37.12121
2021-05-24,86.03219
2021-05-25,79.26136
2021-05-26,69.4839
2021-05-27,66.76136
2021-05-28,67.61363
2021-05-29,33.00189
2021-05-30,30.80018
2021-05-31,79.54545
2021-06-01,80.13731
2021-06-02,73.12973
2021-06-03,73.57954
2021-06-04,65.3409
2021-06-05,37.92613
2021-06-06,35.79545
2021-06-07,79.92424
2021-06-08,73.55587
2021-06-09,76.75189
2021-06-10,72.25378
2021-06-11,68.20549
2021-06-12,40.36458
2021-06-13,37.47632
2021-06-14,81.58143
2021-06-15,79.47443
2021-06-16,76.51515
2021-06-17,71.07007
2021-06-18,64.82007
2021-06-19,37.52367
2021-06-20,35.48768
2021-06-21,83.14393
2021-06-22,76.23106
2021-06-23,75.52083
2021-06-24,69.34185
2021-06-25,64.93844
2021-06-26,37.94981
2021-06-27,35.1089
2021-06-28,81.65246
2021-06-29,74.26609
2021-06-30,71.96969
2021-07-01,74.38446
2021-07-02,69.43655
2021-07-03,39.46496
