date,미국금리인상
2020-03-20,0.0668
2020-03-21,0.02783
2020-03-22,0.03896
2020-03-23,0.07515
2020-03-24,0.08906
2020-03-25,0.0668
2020-03-26,0.07236
2020-03-27,0.02783
2020-03-28,0.04453
2020-03-29,0.0334
2020-03-30,0.03618
2020-03-31,0.0501
2020-04-01,0.03061
2020-04-02,0.04453
2020-04-03,0.06123
2020-04-04,0.02226
2020-04-05,0.03618
2020-04-06,0.0501
2020-04-07,0.0334
2020-04-08,0.05288
2020-04-09,0.06123
2020-04-10,0.04731
2020-04-11,0.0501
2020-04-12,0.0334
2020-04-13,0.04731
2020-04-14,0.06123
2020-04-15,0.02783
2020-04-16,0.05288
2020-04-17,0.06401
2020-04-18,0.05288
2020-04-19,0.05566
2020-04-20,0.05288
2020-04-21,0.03896
2020-04-22,0.06123
2020-04-23,0.0501
2020-04-24,0.01948
2020-04-25,0.03896
2020-04-26,0.03061
2020-04-27,0.04731
2020-04-28,0.0668
2020-04-29,0.0501
2020-04-30,0.03618
2020-05-03,0.04175
2020-05-04,0.01948
2020-05-05,0.03061
2020-05-06,0.0668
2020-05-07,0.0501
2020-05-08,0.06123
2020-05-09,0.02783
2020-05-10,0.07793
2020-05-11,0.03618
2020-05-12,0.0167
2020-05-13,0.03618
2020-05-14,0.04731
2020-05-15,0.04175
2020-05-16,0.04453
2020-05-17,0.05845
2020-05-18,0.04731
2020-05-19,0.12525
2020-05-20,0.05845
2020-05-21,0.06123
2020-05-22,0.03061
2020-05-23,0.03618
2020-05-24,0.0167
2020-05-25,0.08628
2020-05-26,0.08071
2020-05-27,0.08071
2020-05-28,0.06958
2020-05-29,0.04731
2020-05-30,0.04731
2020-05-31,0.07236
2020-06-01,0.06958
2020-06-02,0.07793
2020-06-03,0.06958
2020-06-04,0.05288
2020-06-05,0.10576
2020-06-06,0.18091
2020-06-07,0.13916
2020-06-08,0.17813
2020-06-09,0.1837
2020-06-10,0.22823
2020-06-11,0.27555
2020-06-12,0.08628
2020-06-13,0.08071
2020-06-14,0.09185
2020-06-15,0.12246
2020-06-16,0.0835
2020-06-17,0.07236
2020-06-18,0.08071
2020-06-19,0.1002
2020-06-20,0.12525
2020-06-21,0.09741
2020-06-22,0.10855
2020-06-23,0.15586
2020-06-24,0.16421
2020-06-25,0.12246
2020-06-26,0.11968
2020-06-27,0.07515
2020-06-28,0.16421
2020-06-29,0.12803
2020-06-30,0.1002
2020-07-01,0.13081
2020-07-02,0.13081
2020-07-03,0.14473
2020-07-04,0.09185
2020-07-05,0.13638
2020-07-06,0.2004
2020-07-07,0.15865
2020-07-08,0.15586
2020-07-09,0.17813
2020-07-10,0.12803
2020-07-11,0.26998
2020-07-12,0.20875
2020-07-13,0.23101
2020-07-14,0.20596
2020-07-15,0.17535
2020-07-16,0.2171
2020-07-17,0.2338
2020-07-18,0.19205
2020-07-19,0.29225
2020-07-20,0.33121
2020-07-21,0.33956
2020-07-22,0.33678
2020-07-23,0.33121
2020-07-24,0.30895
2020-07-25,0.2004
2020-07-26,0.22545
2020-07-27,0.36461
2020-07-28,0.47038
2020-07-29,0.33678
2020-07-30,0.3674
2020-07-31,0.28946
2020-08-01,0.17813
2020-08-02,0.16978
2020-08-03,0.17813
2020-08-04,0.21988
2020-08-05,0.2839
2020-08-06,0.21431
2020-08-07,0.2505
2020-08-08,0.23936
2020-08-09,0.28946
2020-08-10,0.3173
2020-08-11,0.56223
2020-08-12,1.1523
2020-08-13,0.6346
2020-08-14,0.48986
2020-08-15,0.23936
2020-08-16,0.26163
2020-08-17,0.3173
2020-08-18,0.32565
2020-08-19,0.40636
2020-08-20,2.12647
2020-08-21,0.54275
2020-08-22,0.33121
2020-08-23,0.33678
2020-08-24,0.42306
2020-08-25,0.54275
2020-08-26,0.45646
2020-08-27,0.63181
2020-08-28,0.40358
2020-08-29,0.24215
2020-08-30,0.18648
2020-08-31,0.30338
2020-09-01,0.2338
2020-09-02,0.334
2020-09-03,0.41193
2020-09-04,0.67078
2020-09-05,0.29781
2020-09-06,0.26441
2020-09-07,0.32843
2020-09-08,0.31173
2020-09-09,0.32286
2020-09-10,0.25885
2020-09-11,0.3006
2020-09-12,0.20875
2020-09-13,0.26441
2020-09-14,0.4175
2020-09-15,0.38131
2020-09-16,0.30338
2020-09-17,0.37853
2020-09-18,0.13916
2020-09-19,0.12525
2020-09-20,0.1169
2020-09-21,0.15586
2020-09-22,0.15308
2020-09-23,0.21431
2020-09-24,0.21153
2020-09-25,0.15586
2020-09-26,0.17813
2020-09-27,0.1503
2020-09-28,0.15308
2020-09-29,0.10855
2020-09-30,0.10298
2020-10-01,0.07515
2020-10-02,0.17535
2020-10-03,0.18091
2020-10-04,0.23936
2020-10-05,0.27555
2020-10-06,0.29781
2020-10-07,0.41193
2020-10-08,0.2672
2020-10-09,0.17813
2020-10-10,0.21431
2020-10-11,0.16421
2020-10-12,0.30616
2020-10-13,0.28111
2020-10-14,0.25606
2020-10-15,0.20318
2020-10-16,0.25328
2020-10-17,0.18926
2020-10-18,1.05488
2020-10-19,1.05767
2020-10-20,0.7682
2020-10-21,0.94912
2020-10-22,0.55945
2020-10-23,0.49821
2020-10-24,0.43698
2020-10-25,0.42585
2020-10-26,0.50378
2020-10-27,0.49821
2020-10-28,0.69861
2020-10-29,0.5511
2020-10-30,0.47595
2020-10-31,0.3173
2020-11-01,0.43698
2020-11-02,0.61233
2020-11-03,0.7181
2020-11-04,0.61511
2020-11-05,0.82665
2020-11-06,0.48151
2020-11-07,0.39245
2020-11-08,0.49265
2020-11-09,0.80716
2020-11-10,0.86283
2020-11-11,0.7181
2020-11-12,0.57058
2020-11-13,0.96582
2020-11-14,0.34791
2020-11-15,0.40358
2020-11-16,0.62068
2020-11-17,0.56223
2020-11-18,0.64295
2020-11-19,0.69861
2020-11-20,0.75985
2020-11-21,0.6847
2020-11-22,0.64295
2020-11-23,0.77376
2020-11-24,0.84613
2020-11-25,0.92407
2020-11-26,0.90737
2020-11-27,0.83221
2020-11-28,0.74593
2020-11-29,0.94912
2020-11-30,0.95468
2020-12-01,0.95747
2020-12-02,1.00757
2020-12-03,1.40837
2020-12-04,1.07158
2020-12-05,0.82386
2020-12-06,0.87118
2020-12-07,0.94633
2020-12-08,0.99643
2020-12-09,0.98252
2020-12-10,0.96582
2020-12-11,1.08828
2020-12-12,0.82108
