date,ISA통장
2020-03-23,5.70469
2020-03-24,2.01342
2020-03-25,4.02684
2020-03-26,2.68456
2020-03-27,1.67785
2020-03-28,2.01342
2020-03-29,1.67785
2020-03-30,5.03355
2020-03-31,4.36241
2020-04-02,3.69127
2020-04-03,4.69798
2020-04-05,1.67785
2020-04-06,4.02684
2020-04-07,3.02013
2020-04-08,1.67785
2020-04-09,1.67785
2020-04-10,2.34899
2020-04-13,2.01342
2020-04-17,3.3557
2020-04-18,1.67785
2020-04-19,2.01342
2020-04-20,3.02013
2020-04-21,3.3557
2020-04-27,2.01342
2020-04-28,1.67785
2020-04-29,2.68456
2020-05-12,2.68456
2020-05-13,1.67785
2020-05-14,1.67785
2020-05-15,4.69798
2020-05-20,2.34899
2020-05-28,1.67785
2020-06-03,8.38926
2020-06-04,2.68456
2020-06-08,4.36241
2020-06-09,3.69127
2020-06-16,2.01342
2020-06-23,2.01342
2020-06-24,1.67785
2020-06-29,3.02013
2020-07-04,1.67785
2020-07-06,37.58389
2020-07-07,5.03355
2020-07-08,5.70469
2020-07-16,1.67785
2020-07-22,5.03355
2020-07-23,27.1812
2020-07-24,6.04026
2020-07-27,3.3557
2020-07-28,2.01342
2020-07-29,4.69798
2020-07-30,3.02013
2020-08-01,2.01342
2020-08-02,2.34899
2020-08-05,2.68456
2020-08-06,4.69798
2020-08-07,1.67785
2020-08-09,2.68456
2020-08-11,2.34899
2020-08-13,1.67785
2020-08-14,2.68456
2020-08-17,1.67785
2020-08-18,1.67785
2020-08-19,3.3557
2020-08-21,1.67785
2020-08-24,2.34899
2020-08-28,3.3557
2020-09-01,1.67785
2020-09-07,1.67785
2020-09-08,2.01342
2020-09-10,2.01342
2020-09-14,3.02013
2020-09-18,2.01342
2020-09-20,2.01342
2020-09-23,6.37583
2020-09-25,2.34899
2020-09-28,1.67785
2020-09-29,2.01342
2020-10-05,10.73825
2020-10-13,1.67785
2020-10-15,11.07382
2020-10-16,9.73154
2020-10-18,1.67785
2020-10-19,2.34899
2020-10-20,3.3557
2020-10-21,1.67785
2020-10-23,2.34899
2020-10-24,3.69127
2020-10-25,2.34899
2020-10-26,2.01342
2020-10-27,1.67785
2020-10-28,2.01342
2020-10-29,2.01342
2020-10-30,2.01342
2020-11-03,3.69127
2020-11-05,1.67785
2020-11-08,2.34899
2020-11-10,3.3557
2020-11-16,1.67785
2020-11-18,3.3557
2020-11-19,4.36241
2020-11-20,6.37583
2020-11-23,4.69798
2020-11-24,2.34899
2020-11-25,2.68456
2020-11-26,3.3557
2020-11-30,1.67785
2020-12-03,2.34899
2020-12-06,1.67785
2020-12-09,4.02684
2020-12-10,3.3557
2020-12-11,2.68456
2020-12-14,5.70469
2020-12-15,3.3557
2020-12-16,9.73154
2020-12-17,7.71812
2020-12-18,4.36241
2020-12-20,2.01342
2020-12-21,4.36241
2020-12-22,4.69798
2020-12-23,3.02013
2020-12-24,8.72483
2020-12-28,6.04026
2020-12-29,5.03355
2020-12-30,9.39597
2020-12-31,3.69127
2021-01-01,3.69127
2021-01-02,2.01342
2021-01-04,15.10067
2021-01-05,7.38255
2021-01-06,6.04026
2021-01-07,6.37583
2021-01-08,7.71812
2021-01-09,1.67785
2021-01-10,3.3557
2021-01-11,7.04697
2021-01-12,3.3557
2021-01-13,6.37583
2021-01-14,5.36912
2021-01-15,3.02013
2021-01-16,4.36241
2021-01-17,1.67785
2021-01-18,3.3557
2021-01-19,4.36241
2021-01-20,5.36912
2021-01-21,1.67785
2021-01-22,6.37583
2021-01-23,3.3557
2021-01-24,4.02684
2021-01-25,13.42281
