date,VIX지수
2020-03-20,22.96853
2020-03-21,21.30862
2020-03-22,14.50492
2020-03-23,27.31132
2020-03-24,32.04979
2020-03-25,37.99459
2020-03-26,29.01949
2020-03-27,19.61011
2020-03-28,11.65798
2020-03-29,10.41304
2020-03-30,12.42038
2020-03-31,10.89558
2020-04-01,15.17081
2020-04-02,10.68326
2020-04-03,7.14147
2020-04-04,6.29222
2020-04-05,4.26558
2020-04-06,7.82667
2020-04-07,6.89056
2020-04-08,6.19571
2020-04-09,5.28855
2020-04-10,4.31383
2020-04-11,2.42231
2020-04-12,3.31017
2020-04-13,5.87724
2020-04-14,4.67091
2020-04-15,7.45994
2020-04-16,6.35012
2020-04-17,4.22698
2020-04-18,2.92414
2020-04-19,4.41034
2020-04-20,6.45628
2020-04-21,9.10055
2020-04-22,7.4696
2020-04-23,3.47423
2020-04-24,3.47423
2020-04-25,2.11349
2020-04-26,2.16174
2020-04-27,3.57073
2020-04-28,3.61899
2020-04-29,2.98204
2020-04-30,2.70218
2020-05-01,4.20768
2020-05-02,3.0496
2020-05-03,2.31615
2020-05-04,3.55143
2020-05-05,2.57672
2020-05-06,3.88921
2020-05-07,2.95309
2020-05-08,2.08453
2020-05-09,2.04593
2020-05-10,1.43794
2020-05-11,3.03995
2020-05-12,3.1268
2020-05-13,4.15942
2020-05-14,5.63597
2020-05-15,3.47423
2020-05-16,2.93379
2020-05-17,2.23895
2020-05-18,2.92414
2020-05-19,2.66357
2020-05-20,2.07488
2020-05-21,2.01698
2020-05-22,2.3451
2020-05-23,2.46091
2020-05-24,2.68287
2020-05-25,3.22331
2020-05-26,2.58637
2020-05-27,2.57672
2020-05-28,2.74078
2020-05-29,2.31615
2020-05-30,1.84327
2020-05-31,1.34143
2020-06-01,2.79868
2020-06-02,2.74078
2020-06-03,3.40667
2020-06-04,3.58038
2020-06-05,2.3837
2020-06-06,2.01698
2020-06-07,1.41864
2020-06-08,2.22929
2020-06-09,3.44528
2020-06-10,3.17506
2020-06-11,7.73016
2020-06-12,20.32426
2020-06-13,7.79772
2020-06-14,4.26558
2020-06-15,15.44103
2020-06-16,8.01968
2020-06-17,4.34279
2020-06-18,3.86025
2020-06-19,3.19436
2020-06-20,2.52846
2020-06-21,1.77571
2020-06-22,3.1268
2020-06-23,3.20401
2020-06-24,3.13646
2020-06-25,5.52982
2020-06-26,2.86624
2020-06-27,2.9917
2020-06-28,2.12314
2020-06-29,4.42964
2020-06-30,3.0496
2020-07-01,2.35475
2020-07-02,3.37772
2020-07-03,2.02663
2020-07-04,1.20633
2020-07-05,1.44759
2020-07-06,2.15209
2020-07-07,2.44161
2020-07-08,2.25825
2020-07-09,2.29685
2020-07-10,2.40301
2020-07-11,1.47654
2020-07-12,1.07122
2020-07-13,1.84327
2020-07-14,4.28488
2020-07-15,2.29685
2020-07-16,2.64427
2020-07-17,2.82763
2020-07-18,2.98204
2020-07-19,2.07488
2020-07-20,2.2679
2020-07-21,2.78903
2020-07-22,2.49951
2020-07-23,2.46091
2020-07-24,3.34877
2020-07-25,2.37405
2020-07-26,1.6406
2020-07-27,2.55742
2020-07-28,2.78903
2020-07-29,2.47056
2020-07-30,3.61899
2020-07-31,2.48986
2020-08-01,1.51515
2020-08-02,1.07122
2020-08-03,1.69851
2020-08-04,2.08453
2020-08-05,1.76606
2020-08-06,1.93977
2020-08-07,1.91082
2020-08-08,1.69851
2020-08-09,1.61165
2020-08-10,1.97838
2020-08-11,2.74078
2020-08-12,2.91449
2020-08-13,2.07488
2020-08-14,2.43196
2020-08-15,1.85292
2020-08-16,1.6213
2020-08-17,2.48986
2020-08-18,3.28121
2020-08-19,2.68287
2020-08-20,5.55877
2020-08-21,3.82165
2020-08-22,1.93977
2020-08-23,2.19069
2020-08-24,1.92047
2020-08-25,2.14244
2020-08-26,1.80467
2020-08-27,3.48388
2020-08-28,9.7568
2020-08-29,4.11117
2020-08-30,2.2486
2020-08-31,4.05327
2020-09-01,5.2789
2020-09-02,4.71916
2020-09-03,6.08955
2020-09-04,27.51399
2020-09-05,16.5219
2020-09-06,14.64968
2020-09-07,12.89326
2020-09-08,21.52094
2020-09-09,22.36054
2020-09-10,13.87762
2020-09-11,14.08994
2020-09-12,10.07527
2020-09-13,5.18239
2020-09-14,10.00772
2020-09-15,7.38274
2020-09-16,9.80505
2020-09-17,12.87396
2020-09-18,8.82069
2020-09-19,4.5551
2020-09-20,2.89519
2020-09-21,11.64833
2020-09-22,11.2623
2020-09-23,6.61069
2020-09-24,13.40474
2020-09-25,7.25728
2020-09-26,3.8699
2020-09-27,2.2486
2020-09-28,4.32348
2020-09-29,4.68056
2020-09-30,4.04362
2020-10-01,3.38737
2020-10-02,13.59776
2020-10-03,4.30418
2020-10-04,2.57672
2020-10-05,5.43331
2020-10-06,5.43331
2020-10-07,4.95078
2020-10-08,3.59004
2020-10-09,3.0689
2020-10-10,2.39336
2020-10-11,1.6213
2020-10-12,3.0303
2020-10-13,4.5937
2020-10-14,4.17872
2020-10-15,6.07025
2020-10-16,4.4779
2020-10-17,3.52248
2020-10-18,3.28121
2020-10-19,3.43563
2020-10-20,4.39104
2020-10-21,3.61899
2020-10-22,3.55143
2020-10-23,2.76973
2020-10-24,1.78536
2020-10-25,1.29318
2020-10-26,3.13646
2020-10-27,7.14147
2020-10-28,10.74116
2020-10-29,17.03339
2020-10-30,9.37077
2020-10-31,4.88322
2020-11-01,2.96274
2020-11-02,4.67091
2020-11-03,4.60335
2020-11-04,4.98938
2020-11-05,5.01833
2020-11-06,3.90851
2020-11-07,3.60934
2020-11-08,1.93012
2020-11-09,4.41999
2020-11-10,3.80235
2020-11-11,4.72881
2020-11-12,4.29453
2020-11-13,4.17872
2020-11-14,2.21964
2020-11-15,2.02663
2020-11-16,2.90484
2020-11-17,2.81798
2020-11-18,3.11715
2020-11-19,3.7734
2020-11-20,2.89519
2020-11-21,1.6406
2020-11-22,1.47654
2020-11-23,2.50916
2020-11-24,3.0882
2020-11-25,5.86759
2020-11-26,5.04728
2020-11-27,3.13646
2020-11-28,2.57672
2020-11-29,1.80467
2020-11-30,3.68654
2020-12-01,4.01466
2020-12-02,3.26191
2020-12-03,3.23296
2020-12-04,2.92414
2020-12-05,2.07488
2020-12-06,1.79502
2020-12-07,4.15942
2020-12-08,3.8313
2020-12-09,3.53213
2020-12-10,4.31383
2020-12-11,4.613
2020-12-12,2.79868
2020-12-13,1.87222
2020-12-14,3.0303
2020-12-15,3.8699
2020-12-16,3.31017
2020-12-17,2.46091
2020-12-18,2.90484
2020-12-19,1.85292
2020-12-20,1.39934
2020-12-21,12.37212
2020-12-22,9.31287
2020-12-23,5.36575
2020-12-24,2.9917
2020-12-25,1.80467
2020-12-26,1.18702
2020-12-27,1.78536
2020-12-28,2.25825
2020-12-29,3.011
2020-12-30,3.37772
2020-12-31,2.45126
2021-01-01,1.78536
2021-01-02,1.37039
2021-01-03,1.85292
2021-01-04,3.03995
2021-01-05,8.10654
2021-01-06,5.51051
2021-01-07,4.4972
2021-01-08,4.5744
2021-01-09,3.31017
2021-01-10,3.1268
2021-01-11,10.04632
2021-01-12,9.49623
2021-01-13,4.97973
2021-01-14,3.84095
2021-01-15,4.69986
2021-01-16,3.91816
2021-01-17,2.98204
2021-01-18,4.08222
2021-01-19,3.34877
2021-01-20,3.07855
2021-01-21,3.41632
2021-01-22,4.03397
2021-01-23,2.44161
2021-01-24,1.89152
2021-01-25,2.83729
2021-01-26,6.0606
2021-01-27,6.0413
2021-01-28,19.70662
2021-01-29,17.265
2021-01-30,10.5385
2021-01-31,6.8423
2021-02-01,11.13684
2021-02-02,8.2513
2021-02-03,6.29222
2021-02-04,6.29222
2021-02-05,5.45261
2021-02-06,3.64794
2021-02-07,3.02065
2021-02-08,4.15942
2021-02-09,4.90252
2021-02-10,3.69619
2021-02-11,3.05925
2021-02-12,3.14611
2021-02-13,3.43563
2021-02-14,2.41266
2021-02-15,4.25593
2021-02-16,4.74811
2021-02-17,7.70121
2021-02-18,7.08357
2021-02-19,6.88091
2021-02-20,4.12082
2021-02-21,3.0689
2021-02-22,8.12584
2021-02-23,9.17776
2021-02-24,10.58675
2021-02-25,8.09689
2021-02-26,19.38814
2021-02-27,7.42134
2021-02-28,4.05327
2021-03-01,7.29588
2021-03-02,8.54082
2021-03-03,7.95213
2021-03-04,11.48426
2021-03-05,12.07295
2021-03-06,5.79038
2021-03-07,3.24261
2021-03-08,8.14514
2021-03-09,8.26095
2021-03-10,6.89056
2021-03-11,5.84829
2021-03-12,6.26326
2021-03-13,3.812
2021-03-14,2.52846
2021-03-15,5.24995
2021-03-16,5.95444
2021-03-17,7.55645
2021-03-18,7.10287
2021-03-19,6.94846
2021-03-20,3.66724
2021-03-21,2.70218
2021-03-22,4.66126
2021-03-23,6.15711
2021-03-24,5.83864
2021-03-25,5.93514
2021-03-26,4.90252
2021-03-27,3.011
2021-03-28,1.98803
2021-03-29,5.3175
2021-03-30,5.56842
2021-03-31,4.81567
2021-04-01,4.36209
2021-04-02,5.02798
2021-04-03,3.11715
2021-04-04,2.76008
2021-04-05,4.16907
2021-04-06,4.99903
2021-04-07,4.45859
2021-04-08,4.52615
2021-04-09,4.58405
2021-04-10,2.3837
2021-04-11,1.75641
2021-04-12,3.84095
2021-04-13,4.81567
2021-04-14,4.68056
2021-04-15,4.05327
2021-04-16,3.89886
2021-04-17,2.2679
2021-04-18,2.2486
2021-04-19,3.90851
2021-04-20,5.82899
2021-04-21,7.85562
2021-04-22,5.26925
2021-04-23,5.05693
2021-04-24,2.16174
2021-04-25,1.38969
2021-04-26,3.8699
2021-04-27,4.5744
2021-04-28,4.70951
2021-04-29,5.13414
2021-04-30,4.5937
2021-05-01,2.78903
2021-05-02,1.77571
2021-05-03,3.47423
2021-05-04,4.66126
2021-05-05,5.73248
2021-05-06,5.63597
2021-05-07,4.18838
2021-05-08,2.55742
2021-05-09,1.79502
2021-05-10,4.09187
2021-05-11,11.46496
2021-05-12,14.53387
2021-05-13,22.66936
2021-05-14,11.34916
2021-05-15,4.80602
2021-05-16,2.93379
2021-05-17,8.11619
2021-05-18,7.31519
2021-05-19,11.73518
2021-05-20,12.92221
2021-05-21,6.7651
2021-05-22,3.16541
2021-05-23,2.15209
2021-05-24,5.88689
2021-05-25,6.77475
2021-05-26,6.823
2021-05-27,8.2706
2021-05-28,7.00636
2021-05-29,4.5358
2021-05-30,3.15576
2021-05-31,4.33314
2021-06-01,6.16676
2021-06-02,6.34047
2021-06-03,7.4696
2021-06-04,6.19571
2021-06-05,2.81798
2021-06-06,1.28353
2021-06-07,4.70951
2021-06-08,6.77475
2021-06-09,5.92549
2021-06-10,6.77475
2021-06-11,5.57807
2021-06-12,2.90484
2021-06-13,1.42829
2021-06-14,4.67091
2021-06-15,7.4889
2021-06-16,6.58174
2021-06-17,7.67226
2021-06-18,6.90021
2021-06-19,5.89654
2021-06-20,2.65392
2021-06-21,9.22601
2021-06-22,8.58907
2021-06-23,7.18008
2021-06-24,6.33082
2021-06-25,5.3561
2021-06-26,3.47423
2021-06-27,2.61532
2021-06-28,6.39837
2021-06-29,6.88091
2021-06-30,7.26693
2021-07-01,6.15711
2021-07-02,6.25361
2021-07-03,3.76375
2021-07-04,2.47056
2021-07-05,3.98571
2021-07-06,5.87724
2021-07-07,9.22601
2021-07-08,19.96718
2021-07-09,16.43505
2021-07-10,4.29453
2021-07-11,2.45126
2021-07-12,7.15112
2021-07-13,9.72785
2021-07-14,10.40339
2021-07-15,10.79907
2021-07-16,9.0137
2021-07-17,5.44296
2021-07-18,2.47056
2021-07-19,16.47365
2021-07-20,26.66473
2021-07-21,18.99247
2021-07-22,13.4337
2021-07-23,10.93418
2021-07-24,4.23663
2021-07-25,2.3451
2021-07-26,9.48658
2021-07-27,11.97645
2021-07-28,11.66763
2021-07-29,8.42501
2021-07-30,10.02702
2021-07-31,3.93746
2021-08-01,2.27755
2021-08-02,6.38872
2021-08-03,9.16811
2021-08-04,8.2706
2021-08-05,7.97143
2021-08-06,6.31152
2021-08-07,3.43563
2021-08-08,1.69851
2021-08-09,6.20536
2021-08-10,8.04863
2021-08-11,8.53117
2021-08-12,8.9751
2021-08-13,8.2127
2021-08-14,4.08222
2021-08-15,1.74676
2021-08-16,7.74946
2021-08-17,11.87029
2021-08-18,10.68326
2021-08-19,19.87068
2021-08-20,15.95251
2021-08-21,8.48291
2021-08-22,4.32348
2021-08-23,9.53483
2021-08-24,11.32985
2021-08-25,9.31287
2021-08-26,9.42868
2021-08-27,10.77977
2021-08-28,4.05327
2021-08-29,2.42231
2021-08-30,7.13182
2021-08-31,8.55047
2021-09-01,8.76278
2021-09-02,9.38042
2021-09-03,10.21038
2021-09-04,7.42134
2021-09-05,6.27292
2021-09-06,7.25728
2021-09-07,27.57189
2021-09-08,19.33989
2021-09-09,14.49527
2021-09-10,11.04999
2021-09-11,8.00038
2021-09-12,4.16907
2021-09-13,11.53252
2021-09-14,13.71356
2021-09-15,11.86064
2021-09-16,10.71221
2021-09-17,10.39374
2021-09-18,6.07025
2021-09-19,2.3065
2021-09-20,18.34587
2021-09-21,28.65276
2021-09-22,17.81509
2021-09-23,16.05867
2021-09-24,13.86797
2021-09-25,6.56243
2021-09-26,3.46458
2021-09-27,9.04265
2021-09-28,17.87299
2021-09-29,26.06639
2021-09-30,16.82107
2021-10-01,19.88033
