date,채권
2020-03-20,35.00868
2020-03-21,20.73471
2020-03-22,22.18769
2020-03-23,47.35447
2020-03-24,43.16914
2020-03-25,32.82463
2020-03-26,45.83752
2020-03-27,32.48652
2020-03-28,18.89792
2020-03-29,19.59243
2020-03-30,25.01142
2020-03-31,25.36781
2020-04-01,28.1367
2020-04-02,26.61975
2020-04-03,20.92661
2020-04-04,15.51676
2020-04-05,18.78826
2020-04-06,23.54016
2020-04-07,24.44485
2020-04-08,23.40308
2020-04-09,22.19683
2020-04-10,21.15507
2020-04-11,13.10426
2020-04-12,17.72822
2020-04-13,23.17463
2020-04-14,20.4697
2020-04-15,14.44759
2020-04-16,18.13031
2020-04-17,17.7465
2020-04-18,12.84839
2020-04-19,13.49721
2020-04-20,20.61591
2020-04-21,22.64461
2020-04-22,25.05711
2020-04-23,22.51667
2020-04-24,20.44229
2020-04-25,13.38755
2020-04-26,14.7857
2020-04-27,19.40966
2020-04-28,17.2439
2020-04-29,17.5089
2020-04-30,12.93064
2020-05-01,11.96198
2020-05-02,9.01032
2020-05-03,11.2035
2020-05-04,14.57552
2020-05-05,13.65256
2020-05-06,16.11075
2020-05-07,16.6956
2020-05-08,13.36927
2020-05-09,10.49986
2020-05-10,10.49072
2020-05-11,20.25952
2020-05-12,17.70081
2020-05-13,20.19555
2020-05-14,22.91876
2020-05-15,14.98674
2020-05-16,11.34972
2020-05-17,10.22571
2020-05-18,16.10161
2020-05-19,16.86009
2020-05-20,17.39925
2020-05-21,16.62249
2020-05-22,15.17865
2020-05-23,9.82363
2020-05-24,11.13954
2020-05-25,15.38883
2020-05-26,16.71388
2020-05-27,15.99195
2020-05-28,17.35355
2020-05-29,15.12382
2020-05-30,9.26619
2020-05-31,10.49986
2020-06-01,13.34186
2020-06-02,15.88229
2020-06-03,16.65905
2020-06-04,15.94626
2020-06-05,14.13689
2020-06-06,10.1983
2020-06-07,9.99725
2020-06-08,22.03234
2020-06-09,17.75564
2020-06-10,18.98016
2020-06-11,18.10289
2020-06-12,16.43059
2020-06-13,12.33665
