date,KB다이렉트자동차보험
2020-03-20,34.20442
2020-03-21,18.43343
2020-03-22,17.13382
2020-03-23,37.87144
2020-03-24,31.59817
2020-03-25,33.72672
2020-03-26,34.03582
2020-03-27,30.38285
2020-03-28,15.21601
2020-03-29,16.5929
2020-03-30,38.32103
2020-03-31,34.23252
2020-04-01,36.2276
2020-04-02,34.97716
2020-04-03,32.75728
2020-04-04,17.89954
2020-04-05,18.13839
2020-04-06,41.45416
2020-04-07,36.5086
2020-04-08,34.94204
2020-04-09,34.79452
2020-04-10,34.0007
2020-04-11,18.80576
2020-04-12,17.03547
2020-04-13,39.79627
2020-04-14,36.64207
2020-04-15,22.5922
2020-04-16,39.23428
2020-04-17,36.2838
2020-04-18,18.05409
2020-04-19,16.55075
2020-04-20,40.42852
2020-04-21,34.73129
2020-04-22,32.73621
2020-04-23,35.32841
2020-04-24,38.21566
2020-04-25,20.36529
2020-04-26,18.876
2020-04-27,44.13768
2020-04-28,39.1008
2020-04-29,39.50122
2020-04-30,23.57569
2020-05-01,28.50017
2020-05-02,18.34211
2020-05-03,18.70741
2020-05-04,45.85177
2020-05-05,20.99754
2020-05-06,46.32244
2020-05-07,41.46118
2020-05-08,36.79662
2020-05-09,19.33263
2020-05-10,18.48261
2020-05-11,43.84264
2020-05-12,37.61152
2020-05-13,37.30944
2020-05-14,36.60695
2020-05-15,35.01229
2020-05-16,16.90902
2020-05-17,15.42676
2020-05-18,38.47558
2020-05-19,37.83631
2020-05-20,37.94169
2020-05-21,35.56726
2020-05-22,33.36143
2020-05-23,17.77309
2020-05-24,18.29996
2020-05-25,42.60625
2020-05-26,43.08394
2020-05-27,33.24903
2020-05-28,28.81629
2020-05-29,26.74394
2020-05-30,16.18545
2020-05-31,16.58587
2020-06-01,40.98349
2020-06-02,31.14857
2020-06-03,21.44011
2020-06-04,20.38637
2020-06-05,21.08886
2020-06-06,12.67298
2020-06-07,17.0987
2020-06-08,40.14752
2020-06-09,35.30031
2020-06-10,35.95363
2020-06-11,34.12715
2020-06-12,33.2982
2020-06-13,19.33263
2020-06-14,19.33965
2020-06-15,39.31858
2020-06-16,34.92799
2020-06-17,35.03336
2020-06-18,31.0713
2020-06-19,31.81594
2020-06-20,17.92061
