date,코카콜라주식
2020-03-20,11.71047
2020-03-21,11.21523
2020-03-22,10.12571
2020-03-23,14.17904
2020-03-24,16.67047
2020-03-25,15.30666
2020-03-26,14.43809
2020-03-27,12.58666
2020-03-28,10.35428
2020-03-29,12.20571
2020-03-30,13.49333
2020-03-31,14.49142
2020-04-01,12.90666
2020-04-02,11.31428
2020-04-03,9.69142
2020-04-04,7.39047
2020-04-05,6.49904
2020-04-06,10.41523
2020-04-07,10.83428
2020-04-08,12.54095
2020-04-09,9.92
2020-04-10,9.29523
2020-04-11,6.10285
2020-04-12,5.60761
2020-04-13,7.23809
2020-04-14,15.59619
2020-04-15,11.36
2020-04-16,10.20952
2020-04-17,10.26285
2020-04-18,9.37904
2020-04-19,7.2838
2020-04-20,8.85333
2020-04-21,12.11428
2020-04-22,12.71619
2020-04-23,10.52952
2020-04-24,9.81333
2020-04-25,6.07238
2020-04-26,5.69142
2020-04-27,7.94666
2020-04-28,9.79809
2020-04-29,8.97523
2020-04-30,8.22095
2020-05-01,9.02095
2020-05-02,6.08761
2020-05-03,5.57714
2020-05-04,9.42476
2020-05-05,11.00952
2020-05-06,9.4019
2020-05-07,9.85142
2020-05-08,8.93714
2020-05-09,7.50476
2020-05-10,5.22666
2020-05-11,7.45904
2020-05-12,7.97714
2020-05-13,7.89333
2020-05-14,8.4038
2020-05-15,7.41333
2020-05-16,6.98666
2020-05-17,4.27428
2020-05-18,6.59809
2020-05-19,8.94476
2020-05-20,8.32761
2020-05-21,7.69523
2020-05-22,7.04
2020-05-23,5.31047
2020-05-24,4.74666
2020-05-25,5.60761
2020-05-26,7.18476
2020-05-27,7.74857
2020-05-28,7.62666
2020-05-29,5.69904
2020-05-30,4.33523
2020-05-31,4.19809
2020-06-01,6.6819
2020-06-02,8.51809
2020-06-03,8.4038
2020-06-04,9.0438
2020-06-05,8.64761
2020-06-06,8.00761
2020-06-07,6.0419
2020-06-08,9.69904
2020-06-09,11.18476
2020-06-10,10.2019
2020-06-11,9.31809
2020-06-12,10.92571
2020-06-13,7.13904
2020-06-14,5.21904
2020-06-15,7.61904
2020-06-16,8.25904
2020-06-17,7.56571
2020-06-18,7.07047
2020-06-19,6.49904
2020-06-20,5.50857
2020-06-21,4.22857
2020-06-22,5.47809
2020-06-23,7.9619
2020-06-24,7.61904
2020-06-25,8.53333
2020-06-26,7.23047
2020-06-27,6.92571
2020-06-28,4.62476
2020-06-29,6.70476
2020-06-30,6.55238
2020-07-01,6.20952
2020-07-02,7.37523
2020-07-03,6.67428
2020-07-04,4.32
2020-07-05,4.67809
2020-07-06,7.47428
2020-07-07,9.00571
2020-07-08,8.39619
2020-07-09,8.06095
2020-07-10,8.73142
2020-07-11,4.99047
2020-07-12,4.55619
2020-07-13,7.33714
2020-07-14,8.20571
2020-07-15,7.74095
2020-07-16,6.95619
2020-07-17,6.56761
2020-07-18,4.76952
2020-07-19,4.89904
2020-07-20,6.65904
2020-07-21,9.02095
2020-07-22,8.35047
2020-07-23,8.30476
2020-07-24,5.99619
2020-07-25,4.54857
2020-07-26,4.49523
2020-07-27,6.07238
2020-07-28,6.8038
2020-07-29,6.46857
2020-07-30,5.47809
2020-07-31,5.73714
2020-08-01,4.76952
2020-08-02,3.73333
2020-08-03,5.23428
2020-08-04,7.42857
2020-08-05,6.4
2020-08-06,6.8038
2020-08-07,6.3238
2020-08-08,4.57142
2020-08-09,3.83999
2020-08-10,5.97333
2020-08-11,8.6019
2020-08-12,7.7638
2020-08-13,7.36761
2020-08-14,6.84952
2020-08-15,4.42666
2020-08-16,4.89904
2020-08-17,6.69714
2020-08-18,7.3219
2020-08-19,7.56571
2020-08-20,8.89142
2020-08-21,8.61714
2020-08-22,6.25523
2020-08-23,4.22095
2020-08-24,6.88761
2020-08-25,8.4038
2020-08-26,8.09904
2020-08-27,9.02095
2020-08-28,8.77714
2020-08-29,7.34476
2020-08-30,6.01904
2020-08-31,9.09714
2020-09-01,11.74857
2020-09-02,11.65714
2020-09-03,13.98095
2020-09-04,12.37333
2020-09-05,8.28952
2020-09-06,5.25714
2020-09-07,7.30666
2020-09-08,9.5238
2020-09-09,13.37142
2020-09-10,11.49714
2020-09-11,9.95809
2020-09-12,7.45904
2020-09-13,5.79809
2020-09-14,9.00571
2020-09-15,12.31238
2020-09-16,12.39619
2020-09-17,10.30095
2020-09-18,9.92
2020-09-19,8.83047
2020-09-20,5.46285
2020-09-21,11.33714
2020-09-22,13.28761
2020-09-23,11.13904
2020-09-24,12.19809
2020-09-25,10.5219
2020-09-26,7.71809
2020-09-27,4.70095
2020-09-28,7.24571
2020-09-29,7.73333
2020-09-30,7.93142
2020-10-01,8.10666
2020-10-02,9.53904
2020-10-03,7.85523
2020-10-04,5.42476
2020-10-05,8.98285
2020-10-06,10.63619
2020-10-07,9.80571
2020-10-08,8.83047
2020-10-09,7.58857
2020-10-10,6.5219
2020-10-11,4.52571
2020-10-12,6.86476
2020-10-13,11.36761
2020-10-14,11.71809
2020-10-15,10.8419
2020-10-16,9.54666
2020-10-17,6.83428
2020-10-18,5.21142
2020-10-19,7.63428
2020-10-20,9.46285
2020-10-21,9.21142
2020-10-22,9.77523
2020-10-23,8.43428
2020-10-24,5.51619
2020-10-25,4.30476
2020-10-26,6.47619
2020-10-27,9.16571
2020-10-28,8.53333
2020-10-29,11.48952
2020-10-30,8.85333
2020-10-31,6.4
2020-11-01,4.09142
2020-11-02,5.94285
2020-11-03,7.30666
2020-11-04,7.90857
2020-11-05,8.4038
2020-11-06,8.16
2020-11-07,5.75238
2020-11-08,3.77904
2020-11-09,8.21333
2020-11-10,12.98285
2020-11-11,11.2838
2020-11-12,8.86095
2020-11-13,7.42857
2020-11-14,5.62285
2020-11-15,3.4438
2020-11-16,10.63619
2020-11-17,12.16
2020-11-18,10.34666
2020-11-19,8.79238
2020-11-20,8.61714
2020-11-21,6.11047
2020-11-22,4.79238
2020-11-23,8.26666
2020-11-24,9.73714
2020-11-25,11.35238
2020-11-26,10.52952
2020-11-27,8.98285
2020-11-28,8.1219
2020-11-29,6.24
2020-11-30,7.89333
2020-12-01,12.30476
2020-12-02,11.67238
2020-12-03,11.80952
2020-12-04,12.45714
2020-12-05,9.6
2020-12-06,7.55047
2020-12-07,9.28761
2020-12-08,13.23428
2020-12-09,14.02666
2020-12-10,14.94095
2020-12-11,12.8
2020-12-12,21.5619
