date,연금저축추천
2020-03-20,14.16309
2020-03-21,10.72961
2020-03-22,13.30472
2020-03-23,14.16309
2020-03-24,19.3133
2020-03-25,18.88412
2020-03-26,18.02575
2020-03-27,8.58369
2020-03-28,13.7339
2020-03-29,13.30472
2020-03-30,18.02575
2020-03-31,20.17167
2020-04-01,16.73819
2020-04-02,13.30472
2020-04-03,17.59656
2020-04-04,9.44206
2020-04-05,10.72961
2020-04-06,18.45493
2020-04-07,9.44206
2020-04-08,13.30472
2020-04-09,11.15879
2020-04-10,11.15879
2020-04-11,15.45064
2020-04-12,12.01716
2020-04-13,13.30472
2020-04-14,13.7339
2020-04-15,7.29613
2020-04-16,12.87553
2020-04-17,15.45064
2020-04-18,7.29613
2020-04-19,11.15879
2020-04-20,7.29613
2020-04-21,15.87982
2020-04-22,16.73819
2020-04-23,15.87982
2020-04-24,10.72961
2020-04-25,7.72532
2020-04-26,10.30042
2020-04-27,18.45493
2020-04-28,11.15879
2020-04-29,15.45064
2020-04-30,8.58369
2020-05-01,10.72961
2020-05-02,7.29613
2020-05-03,14.16309
2020-05-04,23.17596
2020-05-05,6.43776
2020-05-06,8.1545
2020-05-07,14.59227
2020-05-08,9.87124
2020-05-09,9.44206
2020-05-10,4.72103
2020-05-11,18.45493
2020-05-12,14.59227
2020-05-13,15.02145
2020-05-14,15.87982
2020-05-15,15.02145
2020-05-16,8.58369
2020-05-17,8.58369
2020-05-18,15.87982
2020-05-19,9.87124
2020-05-20,6.43776
2020-05-21,12.01716
2020-05-22,11.58798
2020-05-23,6.00858
2020-05-24,3.86266
2020-05-25,19.74248
2020-05-26,18.88412
2020-05-27,18.45493
2020-05-28,9.87124
2020-05-29,9.44206
2020-05-30,3.00429
2020-05-31,8.58369
2020-06-01,17.16738
2020-06-02,12.87553
2020-06-03,14.16309
2020-06-04,12.44635
2020-06-05,7.72532
2020-06-06,6.43776
2020-06-07,8.1545
2020-06-08,11.58798
2020-06-09,8.1545
2020-06-10,9.01287
2020-06-11,9.44206
2020-06-12,8.1545
2020-06-13,4.29184
2020-06-14,9.01287
2020-06-15,10.30042
2020-06-16,7.72532
2020-06-17,3.86266
2020-06-18,7.29613
2020-06-19,6.00858
2020-06-20,8.58369
2020-06-21,6.00858
2020-06-22,9.44206
2020-06-23,12.01716
2020-06-24,6.86695
2020-06-25,8.58369
2020-06-26,2.14592
